Fecha,Nombre del establecimiento,groups,Dirección,Ciudad,Código postal,content,rating,Tipografía,Territorio
2020-12-21 09:18:14.356,Hospital Quirónsalud Málaga,"Andalucía, Hospi","Av. Imperio Argentina, 1",Málaga,29004,"Esperando en un -2 sin ventanas, lleno de gente, para una analítica. En pleno covid. Sentirse insegura en un hospital de salud no es a lo que uno viene. No hay control de aforos a través de citas previas.

(Translated by Google)
Waiting in a crowded, windowless -2 for analytics. In full covid. Feeling unsafe in a health hospital is not what one comes for. There is no capacity control through previous appointments.",1,Hospital,T3
2020-08-10 09:31:30.084,Hospital Quirónsalud Valencia,"Levante, Hospi","Avinguda De Blasco Ibáñez, 14",València,46010,"Atención telefónica pésima, toda la mañana llamando  y me pasan de un lado para otro sin darme solución.

(Translated by Google)
Terrible telephone attention, calling all morning and they pass me from one place to another without giving me a solution.",1,Hospital,T4
2020-08-08 11:07:58.531,Quirónsalud Alicante,"Levante, Hospi","Calle Cruz De Piedra, 4",Alicante (Alacant),3015,"Hace 2 días me acerqué por sospecha de covid y el médico José adsuar quesada me dejó esperando 30 min mientras conversaba para luego decirme a 4 metros de distancia y con 2 preguntas que tenía covid y que la prueba me salía 150€ así que me convenía irme a la ss me sacaron por la puerta de atrás y nada más, resulta que mi seguro si cubría solo había que hacer una llamada un trato horrible para una situación tan delicada

(Translated by Google)
Two days ago I approached for suspicion of covid and the doctor José adsuar quesada left me waiting 30 min while he talked and then told me from 4 meters away and with 2 questions that I had covid and that the test was € 150 so it was convenient for me to leave they took me out the back door and nothing else, it turns out that my insurance did cover only, I had to make a call, a horrible deal for such a delicate situation",1,Hospital,T4
2020-07-30 19:56:08.596,Hospital Quirónsalud Valencia,"Levante, Hospi","Avinguda De Blasco Ibáñez, 14",València,46010,"5 personas en el mostrador de la recepción y a cual más incompetente. Más de una hora de retraso en las RMN y en lugar de avisar a los pacientes para que decidan si ir o cambiar la cita, esperan a que llegues para decirte que hay más de una hora de retraso que si quieres te puedes ir. Vergonzosa la atención recibida. La última prueba que me hago en este hospital.

(Translated by Google)
5 people at the reception desk and which one more incompetent. More than an hour late in the MRI and instead of notifying patients to decide whether to go or change the appointment, they wait for you to arrive to tell you that there is more than an hour late that if you want you can leave. Shameful attention received. The last test I have at this hospital.",1,Hospital,T4
2020-07-23 00:34:06.458,Hospital Quirónsalud Valencia,"Levante, Hospi","Avinguda De Blasco Ibáñez, 14",València,46010,"Enhorabuena al doctor José Luis  López  Peris y todo su equipo de cirugía ortopédica de trauma , dudo mucho que en Valencia actualmente  , exista un equipo mejor .Grandes profesionales, con grandes valores humanos.

(Translated by Google)
Congratulations to Dr. José Luis López Peris and his entire team of orthopedic trauma surgery, I very much doubt that in Valencia at present, there is a better team. Great professionals, with great human values.",5,Hospital,T4
2020-07-27 11:05:43.370,Quirónsalud Alicante,"Levante, Hospi","Calle Cruz De Piedra, 4",Alicante (Alacant),3015,"Llegas y te hacen esperar más de media hora, las chicas que trabajan en admisión, no parar de hablar en voz alta sobre sus vidas, no veo nada profesional estás actitudes y más en un centro médico que es de pago

(Translated by Google)
You arrive and they make you wait more than half an hour, the girls who work in admission, do not stop talking aloud about their lives, I do not see anything professional, these attitudes and more in a medical center that is paid",1,Hospital,T4
2020-07-19 13:36:40.025,Hospital Quirónsalud Valencia,"Levante, Hospi","Avinguda De Blasco Ibáñez, 14",València,46010,"Llevamos 2 días aquí por una operación de cadera. El equipo médico genial. Pero lo que es el trato por parte de las enfermeras nefasto. Sin andadores ni elevadores para el baño.... Contestación de ellos hay muchas operaciones de cadera y no hay para todos..... Desde las 10 de la mañana esperando un micralax.... Con la gente que hay con ganas de trabajar.....

(Translated by Google)
We have been here for 2 days for a hip operation. The great medical team. But what is the nefarious treatment by the nurses. Without walkers or lifts for the bathroom .... Answering them there are many hip operations and there is not for everyone ..... Since 10 in the morning waiting for a micralax .... With the people there who want to to work.....",1,Hospital,T4
2020-07-18 13:55:24.878,Hospital Quirónsalud Valencia,"Levante, Hospi","Avinguda De Blasco Ibáñez, 14",València,46010,"Atención mínima, tras una operación nos quedamos ingresados en este hospital, la atención recibida ha sido pésima, más que por el personal por la falta de este, teníamos para toda una planta un@ enfermer@ y a ratitos había un@ auxiliar ayudando, he necesitado su atención y lo he tenido que reclamar en 3/4 ocasiones, tanto para curas, como para los cambios de goteros, hasta que me han visitado en la habitación.
A poder ser no repetiré en este hospital y no lo recomiendo en absoluto.

(Translated by Google)
Minimal attention, after an operation we were admitted to this hospital, the care received has been terrible, more than by the staff due to the lack of this, we had an @ nurse for a whole plant, and after a while there was an @ assistant helping, I needed His attention and I have had to claim it on 3/4 occasions, both for cures, and for the changes of droppers, until I have been visited in the room.
If possible, I will not repeat in this hospital and I do not recommend it at all.",1,Hospital,T4
2020-07-16 10:03:39.218,Hospital Quirónsalud Valencia,"Levante, Hospi","Avinguda De Blasco Ibáñez, 14",València,46010,"Simplemente no cojen el telefono 14 llamadas sin respuesta increíble 😡

(Translated by Google)
Just don't pick up the phone 14 incredible unanswered calls 😡",1,Hospital,T4
2020-07-20 13:56:23.168,Quirónsalud Alicante,"Levante, Hospi","Calle Cruz De Piedra, 4",Alicante (Alacant),3015,"hoy durante mis visitas diarias a la clínica Quironsalud, ya que soy un paciente registrado, ya han pasado 2 meses, titular del seguro, me enviaron de regreso, mis dos citas fueron canceladas.  La mia el  primera en el servicio de radiología y el segundo en los servicios pediátricos para mi hijo, con el pretexto de que mi tarjeta familiar ya no es válida para esta clínica; de lo contrario, debe pagar las consultas, y esta clínica está en mi entorno médicoinsatisfacción con su seriedad.
Après le mal entendu qui s'est passé, Je remercie infiniment Mme Pilar la superviseure commerciale pour le soin qu'elle apporté à mon sujet aussi la charmante Amina pour leur professionnalisme et accueil... Bon courage à vous

(Translated by Google)
Today during my daily visits to the Quironsalud clinic, since I am a registered patient, 2 months have already passed, the insurance holder, they sent me back, my two appointments were canceled. Mine, the first in the radiology service and the second in the pediatric services for my son, under the pretext that my family card is no longer valid for this clinic; otherwise, you must pay for consultations, and this clinic is in my medical environment dissatisfied with its seriousness.
Après le misunderstanding qui s'est passé, Je remercie infiniment Mme Pilar la superviseure commerciale pour le soin qu'elle apporté à mon subjet aussi la charmante Amina pour leur professionnalisme et accueil ... Bon courage à vous",4,Hospital,T4
