Fecha,Nombre del establecimiento,groups,Dirección,Ciudad,Código postal,content,rating,Tipografía,Territorio
2019-11-26 16:45:20.857,Hospital Quirónsalud Murcia,"Levante, Hospi","Calle Miguel Hernández, 12",Murcia,30011,,5,Hospital,T4
2019-11-24 19:58:52.837,Hospital Quirónsalud Murcia,"Levante, Hospi","Calle Miguel Hernández, 12",Murcia,30011,"Un gran servicio Medica y muy eficaz

(Translated by Google)
A great medical service and very effective",4,Hospital,T4
2019-11-16 18:11:47.256,Hospital Quirónsalud Murcia,"Levante, Hospi","Calle Miguel Hernández, 12",Murcia,30011,"Perfecto

(Translated by Google)
Perfect",5,Hospital,T4
2019-10-29 13:09:07.085,Hospital Universitario Quirónsalud Madrid,"Madrid Privados, Hospi","C. Diego de Velázquez, 1",Pozuelo De Alarcón,28223,"Mi experiencia fatal no vuelvo

(Translated by Google)
My fatal experience I do not return",1,Hospital,T1
2019-05-26 09:13:23.909,Hospital Quirónsalud Barcelona,"Cataluña, Hospi","Plaza Alfonso Comin, 5-7",Barcelona,08023,,5,Hospital,T2
2019-11-10 09:17:59.291,Hospital Quirónsalud Murcia,"Levante, Hospi","Calle Miguel Hernández, 12",Murcia,30011,"Me operaron del pecho y solo fue bien, los enfermeros no están atentos

(Translated by Google)
They operated on my chest and it just went well, the nurses are not attentive",5,Hospital,T4
2019-11-02 21:28:59.054,Hospital Quirónsalud Murcia,"Levante, Hospi","Calle Miguel Hernández, 12",Murcia,30011,,1,Hospital,T4
2019-10-31 09:16:00.112,Hospital Quirónsalud Murcia,"Levante, Hospi","Calle Miguel Hernández, 12",Murcia,30011,,4,Hospital,T4
2019-11-16 13:40:41.005,Hospital Quirónsalud Toledo,"Castilla-La Mancha, Hospi",Urbanización Tres Culturas,Toledo,45005,"(Translated by Google) We have been waiting for 1.5 hours in the pediatric emergency room and we did not pass. The emergencies at this hospital are terrible. nothing recommended

(Original)
Llevamos 1,5h esperando en urgencias pediatricas y no pasamos. Las urgencias del este hospital son terribles. Nada recomendado",1,Hospital,T6
2019-07-03 16:34:08.052,Hospital Universitario Quirónsalud Madrid,"Madrid Privados, Hospi","C. Diego de Velázquez, 1",Pozuelo De Alarcón,28223,"todo mi agradecimiento a la Doctora Inmaculada Bodegas. Mi hijo Rodrigo estuvo ingresado con neumonía la semana pasada y tenemos que agradecer tanto el trato personal como profesional. También la fisioterapeuta, Cecilia, un encanto de chica!!!

(Translated by Google)
All my thanks to Dr. Inmaculada Bodegas. My son Rodrigo was admitted with pneumonia last week and we have to thank both personal and professional treatment. Also the physiotherapist, Cecilia, a girl charm!",5,Hospital,T1
