,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,snippet,likes,user.local_guide,user.photos,extracted_snippet.original,extracted_snippet.translated,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURodktERlN3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDhvKDFSw%7CCgwIvsmKoAYQ8Jb4pQM%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURodktERlN3EAE,Jorge. Ortega,https://www.google.com/maps/contrib/116553620650869904793?hl=en-US,116553620650869904793,https://lh3.googleusercontent.com/a-/ALV-UjUOpFshqQxrjoEBMOUBQFJvUTsjY5HS5RSgwukby-zXkn0=s40-c-rp-mo-br100,2,,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoaE9lNm9nRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDhhOe6ogE%7CCgwImrT9nwYQ8P6e9QE%7C?hl=en-US,5.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoaE9lNm9nRRAB,Rocio Rodriguez,https://www.google.com/maps/contrib/112687475064479484831?hl=en-US,112687475064479484831,https://lh3.googleusercontent.com/a/ACg8ocLi2pH7FhOopR_K0-S1YLW8whCW38aqY1rgxrBIScXf=s40-c-rp-mo-ba3-br100,62,Mi experiencia es muy buena en unos cuantos años visitando este hospital. Especial mención a todos los profesionales de obstetricia y ginecología.,2.0,True,81.0,Mi experiencia es muy buena en unos cuantos años visitando este hospital. Especial mención a todos los profesionales de obstetricia y ginecología.,My experience is very good in a few years visiting this hospital. Special mention to all obstetrics and gynecology professionals.,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoLU9QTFRnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDh-OPLTg%7CCgsI-rr8nwYQoN_qGw%7C?hl=en-US,4.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoLU9QTFRnEAE,Javier V.R,https://www.google.com/maps/contrib/108907856132616320230?hl=en-US,108907856132616320230,https://lh3.googleusercontent.com/a-/ALV-UjXEvtcfg8KtsAuF1avnQH7WwHUGHg8cST1cUAa78p963g=s40-c-rp-mo-ba7-br100,530,"Es un amplio hospital situado a las afueras del centro urbano de Alcorcón,muy cerca de la estación de metro/cercanías de Alcorcón central,de un campus universitario y de una importante zona comercial (Parque Oeste).
Es un hospital semi público que interiormente cuenta con amplias instalaciones sanitarias, cafetería,kiosko y un amplio parking ( de pago)",3.0,True,1704.0,"Es un amplio hospital situado a las afueras del centro urbano de Alcorcón,muy cerca de la estación de metro/cercanías de Alcorcón central,de un campus universitario y de una importante zona comercial (Parque Oeste).
Es un hospital semi público que interiormente cuenta con amplias instalaciones sanitarias, cafetería,kiosko y un amplio parking ( de pago)","It is a large hospital located on the outskirts of the urban center of Alcorcón, very close to the central Alcorcón metro/suburban station, a university campus and an important commercial area (Parque Oeste).
It is a semi-public hospital that internally has extensive sanitary facilities, a cafeteria, a kiosk and a large parking lot (paid).","['https://lh5.googleusercontent.com/p/AF1QipO5S0ESja60mD8_aZyrRMMs84xw-97OiKVruoU=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP90nApeIjFmo6qFSibBzl13_-ElBmfvyZfbtc=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMXDQGBAmJckO3LDyNZBZLUE6Qd0LP-jF52RG8=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPdZHt4NQsbw36BSnsqiIceqDMzazNjEmZXZS8=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMXolyJt1DdQX9ORCQmYYtyqDp0yeWldq5JmFc=w100-h100-p-n-k-no']"
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoME1fQnJ3RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDh0M_BrwE%7CCgsIg4DznwYQ0KmsJg%7C?hl=en-US,4.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoME1fQnJ3RRAB,JOSE LUIS,https://www.google.com/maps/contrib/108615094834802820702?hl=en-US,108615094834802820702,https://lh3.googleusercontent.com/a-/ALV-UjU6vgofLeOHKNeY59FykEOxRWoeHEOMWJy1CCu3rUcEBA=s40-c-rp-mo-ba4-br100,12,,,True,8.0,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoa003dVlBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDhkM7uYA%7CCgsIgt7xnwYQ8IP8Ew%7C?hl=en-US,1.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoa003dVlBEAE,Ans MKoopman,https://www.google.com/maps/contrib/106413422566449780067?hl=en-US,106413422566449780067,https://lh3.googleusercontent.com/a-/ALV-UjUpj-1QeXKD5Kj3C6qWDisW6NoJ4ZleawXT4ZmBDP8D4ueB=s40-c-rp-mo-br100,24,"He llamado 5 veces el día de hoy y es que de verdad , la mujer que me atiende primero con toda la mala actitud y aptitud que deja mucho que desear y Segundo me dice que no me escucha y me cuelga la llamada, he intentado con otros departamentos y si me escuchan perfectamente y me dicen que no saben que puede estar pasando , pero a ver una persona así de cara al público por favor de verdad , uno llama para un hospital por necesidad no a preguntar la hora. He llamado al 916219400 y espero la opción  que dice que me mantenga en espera y pues eso. Insólito , me encantaría algún día poder comunicarme con neurología URGENTE .",2.0,,3.0,"He llamado 5 veces el día de hoy y es que de verdad , la mujer que me atiende primero con toda la mala actitud y aptitud que deja mucho que desear y Segundo me dice que no me escucha y me cuelga la llamada, he intentado con otros departamentos y si me escuchan perfectamente y me dicen que no saben que puede estar pasando , pero a ver una persona así de cara al público por favor de verdad , uno llama para un hospital por necesidad no a preguntar la hora. He llamado al 916219400 y espero la opción  que dice que me mantenga en espera y pues eso. Insólito , me encantaría algún día poder comunicarme con neurología URGENTE .","I have called 5 times today and the truth is, the woman who answers me first with all the bad attitude and aptitude that leaves a lot to be desired and Second tells me that she does not listen to me and hangs up on me, I have tried others departments and yes they listen to me perfectly and tell me that they don't know what could be happening, but to see a person like that in front of the public please really, one calls a hospital out of necessity not to ask the time. I have called 916219400 and I am waiting for the option that says to keep me on hold and that's it. Unusual, I would love to one day be able to communicate with URGENT neurology.",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoMTdIRGV3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICh17HDew%7CCgwI8v3inwYQuJ-AhwI%7C?hl=en-US,5.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNoMTdIRGV3EAE,mari carmen garcia,https://www.google.com/maps/contrib/108918752612314551083?hl=en-US,108918752612314551083,https://lh3.googleusercontent.com/a/ACg8ocItnW0KCpIvOq5sx3qlQ77bnORy-t1AkgUDY_JIW1IA=s40-c-rp-mo-br100,6,Siempre ha sido buena,1.0,,,Siempre ha sido buena,It's always been good,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoeDl1dWpRRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIChx9uujQE%7CCgsIuITfnwYQiOiTKg%7C?hl=en-US,5.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNoeDl1dWpRRRAB,Noventa Jara,https://www.google.com/maps/contrib/105003005881866235390?hl=en-US,105003005881866235390,https://lh3.googleusercontent.com/a/ACg8ocJHt75ptsE_7WradqJpGhamsPOXfTE7f1wEI8-rprqV=s40-c-rp-mo-br100,16,"Si tuviera que volver a dar a luz elegiría este Hospital sin dudarlo. Gracias por cuidarme y tratarme tan bien. Las matronas, enfermeras, pediatras son un encanto.
Super agradecida",3.0,,,"Si tuviera que volver a dar a luz elegiría este Hospital sin dudarlo. Gracias por cuidarme y tratarme tan bien. Las matronas, enfermeras, pediatras son un encanto.
Super agradecida","If I had to give birth again I would choose this Hospital without hesitation. Thank you for taking care of me and treating me so well. The midwives, nurses, and pediatricians are lovely.
Super grateful",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoeTlXOThnRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIChy9W98gE%7CCgsInLjXnwYQuJX0Hw%7C?hl=en-US,2.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNoeTlXOThnRRAB,Lourdes BH,https://www.google.com/maps/contrib/106776975236359630622?hl=en-US,106776975236359630622,https://lh3.googleusercontent.com/a/ACg8ocK6jjnRa4VRADPGYA2IyxpWieszM3-YuBMu798GffJO=s40-c-rp-mo-ba2-br100,9,"El pasado lunes 20 Febrero fué mi madre a acompañar a mi tía a urgencias por fiebre alta. El trato de médicos , enfermeras y auxiliares del primer turno fué estupendo. Pero cuando llegó el turno de las 22 hs, vino una auxiliar (no sabemos el nombre, pero ya próxima a la jubilación), que montó en cólera de que vió tantos pacientes allí y algunos acompañantes.. Les dijo que en lugar de estar allí y de aplaudirles tanto durante el pandemia,  tenían que haber ido a la manifestación "" contra la Ayuso""  , que por culpa de ella estaban así... A mi madre ( tiene 83 años) le quitó la silla que le había dado su compañera del turno anterior, diciéndole que era para los enfermos, no para los acompañantes...
Lamentable que una persona que trabaja en Sanidad, tenga esa actitud y esa mala educación con los enfermos y con personas mayores y que convierta el hospital en un mitin político. Si no le gusta su trabajo y no tiene vocación de ayuda a los enfermos, que deje su puesto a otras personas...",5.0,True,,"El pasado lunes 20 Febrero fué mi madre a acompañar a mi tía a urgencias por fiebre alta. El trato de médicos , enfermeras y auxiliares del primer turno fué estupendo. Pero cuando llegó el turno de las 22 hs, vino una auxiliar (no sabemos el nombre, pero ya próxima a la jubilación), que montó en cólera de que vió tantos pacientes allí y algunos acompañantes.. Les dijo que en lugar de estar allí y de aplaudirles tanto durante el pandemia,  tenían que haber ido a la manifestación "" contra la Ayuso""  , que por culpa de ella estaban así... A mi madre ( tiene 83 años) le quitó la silla que le había dado su compañera del turno anterior, diciéndole que era para los enfermos, no para los acompañantes...
Lamentable que una persona que trabaja en Sanidad, tenga esa actitud y esa mala educación con los enfermos y con personas mayores y que convierta el hospital en un mitin político. Si no le gusta su trabajo y no tiene vocación de ayuda a los enfermos, que deje su puesto a otras personas...","Last Monday, February 20, my mother went to accompany my aunt to the emergency room due to a high fever. The treatment of doctors, nurses and assistants on the first shift was great. But when the 10 p.m. and to applaud them so much during the pandemic, they should have gone to the ""against Ayuso"" demonstration, because of her they were like this... My mother (she is 83 years old) took away the chair that her classmate had given her. previous shift, telling him that it was for the sick, not for the companions...
It is unfortunate that a person who works in Health has that attitude and that bad manners towards the sick and the elderly and turns the hospital into a political rally. If you don't like your job and have no desire to help the sick, leave your position to other people...",
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoay1hTTNRRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIChk-aM3QE%7CCgwIo8LSnwYQwPfypAE%7C?hl=en-US,3.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNoay1hTTNRRRAB,anonimo,https://www.google.com/maps/contrib/109416631718247992717?hl=en-US,109416631718247992717,https://lh3.googleusercontent.com/a/ACg8ocIo_q15XGWGQI9o3VHN5x8sIeTtRelO9Ktzq4IuMel5=s40-c-rp-mo-br100,14,Mucho de tiempo de espera para especialistas y pruebas. La gestión de citas un poco desastre. Cada vez menos médicos entregan nformes. Buenos profesionales médicos.,,,1.0,Mucho de tiempo de espera para especialistas y pruebas. La gestión de citas un poco desastre. Cada vez menos médicos entregan nformes. Buenos profesionales médicos.,Lots of waiting time for specialists and tests. Appointment management a bit of a disaster. Fewer and fewer doctors provide reports. Good medical professionals.,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNodzdYYkxREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIChw7XbLQ%7CCgwIv73PnwYQgKPZkwE%7C?hl=en-US,5.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNodzdYYkxREAE,Esperanza Diaz,https://www.google.com/maps/contrib/107891591053976972283?hl=en-US,107891591053976972283,https://lh3.googleusercontent.com/a/ACg8ocL37Va43khCuGfSQrDBKEUJvdu6IPoT7t9AQZKcpl2G=s40-c-rp-mo-br100,14,A mi y mi marido siempre nos han atendido muy bien,1.0,,1.0,A mi y mi marido siempre nos han atendido muy bien,They have always taken care of me and my husband very well,
