,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,images,snippet,extracted_snippet.original,extracted_snippet.translated,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGcTZIb05nEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICFq6HoNg%7CCgsIy_uOqgYQ-OipDA%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGcTZIb05nEAE,Guillermo Cle Gonzalez,https://www.google.com/maps/contrib/100837463093716067145?hl=en-US,100837463093716067145,https://lh3.googleusercontent.com/a-/ALV-UjWzVg0H14IYbhYVzdHmfHY_K9zru3cq0rkTA1MMbmP2Gb8=s40-c-rp-mo-ba4-br100,True,67,5.0,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGcTZTYWVnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICFq6Saeg%7CCgwI0OSOqgYQ4Ju97QE%7C?hl=en-US,5.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGcTZTYWVnEAE,L,https://www.google.com/maps/contrib/118319698697262569525?hl=en-US,118319698697262569525,https://lh3.googleusercontent.com/a-/ALV-UjUwHwISKmSvp1IwYVU_SBOY9BzwRL7DFKqI65q6Mg9SMnI=s40-c-rp-mo-ba5-br100,True,225,304.0,['https://lh5.googleusercontent.com/p/AF1QipNEN7WSjseuijy9FR5f2UWBIZc_OJhW7LQNgqi1=w100-h100-p-n-k-no'],"Perfecto    como siempre sin problemas.
He ido a donar sangre    todo de lujo y cuando he terminado me he ido a la cafetería a por un bocata de jamón y una botella de agua. Tenía prisa y le he dicho al camarero de cafetería que me lo pusiera para llevar, está es la sorpresa cuando he ido a comerme el bocata.","Perfecto    como siempre sin problemas.
He ido a donar sangre    todo de lujo y cuando he terminado me he ido a la cafetería a por un bocata de jamón y una botella de agua. Tenía prisa y le he dicho al camarero de cafetería que me lo pusiera para llevar, está es la sorpresa cuando he ido a comerme el bocata.","Perfect    as always without problems.
I went to donate blood    everything was luxurious and when I was done I went to the cafeteria for a ham sandwich and a bottle of water. I was in a hurry and I told the cafeteria waiter to get it for me to take away, this is the surprise when I went to eat the sandwich.",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNGbFpLcDN3RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICFlZKp3wE%7CCgwIpdr9qQYQwOTMkQM%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNGbFpLcDN3RRAB,Tusabes klk,https://www.google.com/maps/contrib/112945797840146758553?hl=en-US,112945797840146758553,https://lh3.googleusercontent.com/a-/ALV-UjVYLz2Zj9oSeSKECgoSb-wgH_qALgtyS9EjGqRMsTFKAPQ=s40-c-rp-mo-br100,,3,1.0,['https://lh5.googleusercontent.com/p/AF1QipN_lVvJyoSyYOwGHf3-EEyFunxF8PVV-aYM5T2n=w100-h100-p-n-k-no'],"El trato de urgencias es inhumano con tratos lamentables gente esperando 4,5 horas y nadie les atiende es una vergüenza luego estan todos sentados charlando en los ordenadores que vergüenza.","El trato de urgencias es inhumano con tratos lamentables gente esperando 4,5 horas y nadie les atiende es una vergüenza luego estan todos sentados charlando en los ordenadores que vergüenza.","The emergency treatment is inhumane with deplorable treatment, people waiting 4.5 hours and no one attends to them, it is a shame, then they are all sitting chatting on the computers, what a shame.",2.0
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGdHVlNEhnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICFtue4Hg%7CCgwIkNfxqQYQwKqatgM%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGdHVlNEhnEAE,Natalia Sanchez Garcia,https://www.google.com/maps/contrib/118380306259768463289?hl=en-US,118380306259768463289,https://lh3.googleusercontent.com/a/ACg8ocJPrR7CtcES49azSHkCWUvIpAU98XQDbhh5qKzVfvvT=s40-c-rp-mo-br100,,17,14.0,,"Quiero hacer una mención a la planta de paritorio y a todas las matronas porque son EXCELENTES y en especial a una matrona joven que se llama Isa (mi ángel)
Hace 4 meses di a luz en este hospital y tuve la suerte de encontrarme con ella. Hizo de mi parto el viaje más duro y bonito que pudiera haber imaginado. Todos los días me acuerdo de ella al mirar a mi hija y todos los días agradezco que la suerte la pusiera ese día a mi lado.
No he tocado nunca con nadie que en su trabajo fuera tan empatica, tan generosa, tan cercana, tan sonriente, tan dispuesta , tan inteligente , tan efectiva… TAN HUMANA.
Ojalá la vida nos vuelva a juntar porque si como profesional fuiste un 10 como persona te limitarías.
No puedo parar de presumirte porque eres lo que el mundo necesita.
Enhorabuena a todos, sois un equipo para estar orgullosos ♥️
@Natsangar","Quiero hacer una mención a la planta de paritorio y a todas las matronas porque son EXCELENTES y en especial a una matrona joven que se llama Isa (mi ángel)
Hace 4 meses di a luz en este hospital y tuve la suerte de encontrarme con ella. Hizo de mi parto el viaje más duro y bonito que pudiera haber imaginado. Todos los días me acuerdo de ella al mirar a mi hija y todos los días agradezco que la suerte la pusiera ese día a mi lado.
No he tocado nunca con nadie que en su trabajo fuera tan empatica, tan generosa, tan cercana, tan sonriente, tan dispuesta , tan inteligente , tan efectiva… TAN HUMANA.
Ojalá la vida nos vuelva a juntar porque si como profesional fuiste un 10 como persona te limitarías.
No puedo parar de presumirte porque eres lo que el mundo necesita.
Enhorabuena a todos, sois un equipo para estar orgullosos ♥️
@Natsangar","I want to mention the delivery room and all the midwives because they are EXCELLENT and especially a young midwife named Isa (my angel)
4 months ago I gave birth in this hospital and I was lucky to meet her. He made my birth the hardest and most beautiful journey I could have imagined. Every day I remember her when I look at my daughter and every day I am grateful that luck placed her by my side that day.
I have never met anyone who in their work was so empathetic, so generous, so close, so smiling, so willing, so intelligent, so effective... SO HUMAN.
I hope life brings us together again because if as a professional you were a 10 as a person you would limit yourself.
I can't stop bragging about you because you are what the world needs.
Congratulations everyone, you are a team to be proud of ♥️
@Natsangar",3.0
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1MXFMV3VnRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID51qLWugE%7CCgwIt63eqQYQ-Mbq_wI%7C?hl=en-US,4.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1MXFMV3VnRRAB,Luis Salgado Zambade,https://www.google.com/maps/contrib/106878191494901194337?hl=en-US,106878191494901194337,https://lh3.googleusercontent.com/a-/ALV-UjU2fNID9rB5yqePpHoCq7pttE0cktNcP0VkFfY_yCX2JD6T=s40-c-rp-mo-ba3-br100,True,49,58.0,,Buen trato al paciente,Buen trato al paciente,Good patient treatment,1.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1dXE3YlpREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID5uq7bZQ%7CCgwIprjZqQYQ0ICzvgI%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQ1dXE3YlpREAE,Verónica Margut,https://www.google.com/maps/contrib/106045927017040045022?hl=en-US,106045927017040045022,https://lh3.googleusercontent.com/a/ACg8ocKTJi14GNBd1tYH63AwgnJxYXxlgvh2Y0mb-IOoDraa=s40-c-rp-mo-br100,,1,,,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1aW9MMnB3RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID5ioL2pwE%7CCgwI4_jTqQYQyIPr-gI%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1aW9MMnB3RRAB,Teresa pardo,https://www.google.com/maps/contrib/104680290750547297207?hl=en-US,104680290750547297207,https://lh3.googleusercontent.com/a-/ALV-UjX207SOIqSA6jQD3Jq5Hk4_K5WsvwE5KzzqjOdG952fEyc=s40-c-rp-mo-ba3-br100,True,64,2.0,,"Limpieza perfecto
Médicos, enfermeras, y todos los profesionales son muy buenos.
Les doy un 10 a los qué trabajan allí.
Una mano de profesionales para arreglar suelo estaría muy muy bien","Limpieza perfecto
Médicos, enfermeras, y todos los profesionales son muy buenos.
Les doy un 10 a los qué trabajan allí.
Una mano de profesionales para arreglar suelo estaría muy muy bien","Perfect cleaning
Doctors, nurses, and all professionals are very good.
I give a 10 to those who work there.
A professional hand to fix the floor would be very very good",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1aXNqNEVREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID5isj4EQ%7CCgwIkObTqQYQsIzVowE%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQ1aXNqNEVREAE,Medea Fernan,https://www.google.com/maps/contrib/103137654657100460049?hl=en-US,103137654657100460049,https://lh3.googleusercontent.com/a/ACg8ocLQwuesNL7riTT7QeIjDPCA2Hbi31wb13w5GxjX_rFh=s40-c-rp-mo-br100,,4,,,"Cada día trabajan peor
Informan poco o nada tanto al paciente como al familiar no se molestan en leer los informes e historiales del paciente.","Cada día trabajan peor
Informan poco o nada tanto al paciente como al familiar no se molestan en leer los informes e historiales del paciente.","Every day they work worse
They provide little or no information to both the patient and the family member; they do not bother to read the patient's reports and records.",1.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1NHJLVnlBRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID54rKVyAE%7CCgwItsPPqQYQ4KPUnwE%7C?hl=en-US,4.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1NHJLVnlBRRAB,Roberto Sala,https://www.google.com/maps/contrib/105876835963438230519?hl=en-US,105876835963438230519,https://lh3.googleusercontent.com/a-/ALV-UjWXp2g6lcX5AhChPdU3zHRzkwVew2MDcDqaZChAvaMfOQ=s40-c-rp-mo-ba4-br100,True,53,191.0,,Demora en atencion urgencias pediatría,Demora en atencion urgencias pediatría,Delay in pediatric emergency care,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM1OGZ5aUp3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC58fyiJw%7CCgwI-76uqQYQ2ODUgAM%7C?hl=en-US,2.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM1OGZ5aUp3EAE,Liesbeth Garcia,https://www.google.com/maps/contrib/106724677031234931762?hl=en-US,106724677031234931762,https://lh3.googleusercontent.com/a-/ALV-UjWCRoYehRlvhn8HCauEwuutxjeOsKis_bbszHs-30ETufI=s40-c-rp-mo-br100,,9,,,"No estaría de más que indicarán en su web que para cancelar una cita por teléfono, de 08.00 a 15.00, tenga que ser de LUNES A VIERNES y sobretodo…que tengan trabajando en la centralita gente MAS AMABLE que no te trate como si fueras tonto!","No estaría de más que indicarán en su web que para cancelar una cita por teléfono, de 08.00 a 15.00, tenga que ser de LUNES A VIERNES y sobretodo…que tengan trabajando en la centralita gente MAS AMABLE que no te trate como si fueras tonto!","It wouldn't hurt that they would indicate on their website that to cancel an appointment by phone, from 8:00 a.m. to 3:00 p.m., it has to be from MONDAY TO FRIDAY and above all... that they have KINDER people working at the switchboard who won't treat you as if you were stupid!",2.0
