,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNObGFuSzhBRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICNlanK8AE%7CCgwInc6ZrQYQ2OmUxAE%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNObGFuSzhBRRAB,"Llamas al teléfono y no sirve de nada!!! Te contestan después de 5 minutos de espera en la llamada y hacen como que NO te oyen, lo siguiente que hacen es colgarte! VERGONOZOSO!!!",Diiana Andreea,https://www.google.com/maps/contrib/116639215964293728390?hl=en-US,116639215964293728390,https://lh3.googleusercontent.com/a-/ALV-UjWK0WESPjXkzEKnQ2N_4hoetMUC7gsCbR6G29lpawxO0g=s40-c-rp-mo-ba2-br100,True,8,"Llamas al teléfono y no sirve de nada!!! Te contestan después de 5 minutos de espera en la llamada y hacen como que NO te oyen, lo siguiente que hacen es colgarte! VERGONOZOSO!!!","You call the phone and it's of no use!!! They answer you after 5 minutes of waiting on the call and pretend they DON'T hear you, the next thing they do is hang up on you! SHAMEFUL!!!",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNONWZpUHVBRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICN5fiPuAE%7CCgsI_o6ZrQYQ4O6LMg%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNONWZpUHVBRRAB,,Pilar Jordán Álvarez,https://www.google.com/maps/contrib/100264534995689611554?hl=en-US,100264534995689611554,https://lh3.googleusercontent.com/a-/ALV-UjXT7MnrB92x8lXRBklBAVXCTjKORI39XFsoyZCyb4yV8d8=s40-c-rp-mo-ba4-br100,True,19,,,224.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNObnBia0ZnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICNnpbkFg%7CCgwIkOaQrQYQ0PyZqAM%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNObnBia0ZnEAE,Mis padres llevan años siendo tratados en este centro por diferentes especialidades y profesionales siempre con gran profesionalidad y empatia,Isabel Álvarez Rayo,https://www.google.com/maps/contrib/114338748112364697898?hl=en-US,114338748112364697898,https://lh3.googleusercontent.com/a/ACg8ocL9H8iBsX-9te8y2_tGuh-T8QOlMa7FHQWf7FA0p2H-=s40-c-rp-mo-br100,,2,Mis padres llevan años siendo tratados en este centro por diferentes especialidades y profesionales siempre con gran profesionalidad y empatia,"My parents have been treated at this center for years by different specialties and professionals, always with great professionalism and empathy.",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOOU5pU25nRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICN9NiSngE%7CCgwIp_aErQYQ6N6RwQE%7C?hl=en-US,4.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNOOU5pU25nRRAB,"Personal de información amable, fácil aparcamiento, 45 minutos gratis.",Daniel D,https://www.google.com/maps/contrib/106120217434637237613?hl=en-US,106120217434637237613,https://lh3.googleusercontent.com/a-/ALV-UjV_ZXck48VXYCNsS4BRbmN-9vzcOi7tafzUt83_YIqqpc8=s40-c-rp-mo-ba5-br100,True,173,"Personal de información amable, fácil aparcamiento, 45 minutos gratis.","Friendly information staff, easy parking, 45 minutes free.",377.0,"['https://lh5.googleusercontent.com/p/AF1QipNOYMh-YcOP1ekPSXwpLWYmlnP3Fewgm7OiNQu4=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNE-M5nE3MTtIXghjXK6e2fn1d75bb4s4-aUVVM=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMBKLsGSN1vZKhzK346qJMPe0gEWTqbxWoywOQq=w100-h100-p-n-k-no']"
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNOOEw2YWVREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICN8L6aeQ%7CCgwI3vX_rAYQsPWn-gE%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNOOEw2YWVREAE,,Montse Molino,https://www.google.com/maps/contrib/109307306249816534756?hl=en-US,109307306249816534756,https://lh3.googleusercontent.com/a/ACg8ocJ-Om9J-bIEbk6LIGfLu9CI-7Im2njWktu9YJn4iUbU=s40-c-rp-mo-ba2-br100,True,12,,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOME9PUnV3RRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICN0OORuwE%7CCgwI9bP_rAYQgNWQigE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNOME9PUnV3RRAB,,RoB,https://www.google.com/maps/contrib/113265050852870110626?hl=en-US,113265050852870110626,https://lh3.googleusercontent.com/a/ACg8ocKlV2g8DP8gBuIQ69OHR2cUHeAnRJUCVg53BQmokHxL=s40-c-rp-mo-br100,,26,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxNy1EYmN3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID17-Dbcw%7CCgwI1Y38rAYQ-N3TkgM%7C?hl=en-US,4.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQxNy1EYmN3EAE,,Jose Ignacio Cruz Carretero,https://www.google.com/maps/contrib/104332928425074472097?hl=en-US,104332928425074472097,https://lh3.googleusercontent.com/a-/ALV-UjUKXYRSP8WO8GNp40K3RDB0OxURoejzaCtfxIYMN3wu6g=s40-c-rp-mo-br100,,126,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxNl8ySURnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID16_2IDg%7CCgwIsb_5rAYQwOil6QE%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQxNl8ySURnEAE,"Dan las citas cuando ellos quieren, ya que cuando les explicas que no puedes ir por la tarde te dicen que vale que por la mañana tienes la cita hecha, pues no, van y como no encuentran cita o es que contratan a gente inepta, porque siempre me están cambiando las citas, me dicen que es por la mañana cuando es por la tarde, vaya panda de idiotas los de las citas...",Fernando Salgado,https://www.google.com/maps/contrib/118145189009243567683?hl=en-US,118145189009243567683,https://lh3.googleusercontent.com/a-/ALV-UjUsUKdS5DJIb5-GdIQgj_eXG_yvcScbbU3pzMk6S9nlwA=s40-c-rp-mo-br100,,5,"Dan las citas cuando ellos quieren, ya que cuando les explicas que no puedes ir por la tarde te dicen que vale que por la mañana tienes la cita hecha, pues no, van y como no encuentran cita o es que contratan a gente inepta, porque siempre me están cambiando las citas, me dicen que es por la mañana cuando es por la tarde, vaya panda de idiotas los de las citas...","They make appointments when they want, since when you explain that you can't go in the afternoon they tell you that it's okay that in the morning you have the appointment made, well no, they go and since they can't find an appointment or they hire inept people, because They are always changing my appointments, they tell me it's in the morning when it's in the afternoon, what a bunch of idiots those at the appointments...",1.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxbzQ2YjZRRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID1o46b6QE%7CCgwIqtP2rAYQyKLmlAM%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQxbzQ2YjZRRRAB,,Manuel BLAZQUEZ MANJON,https://www.google.com/maps/contrib/109631616284103719413?hl=en-US,109631616284103719413,https://lh3.googleusercontent.com/a/ACg8ocJ5s-eh1ttCA3o92sGpC4nBDjWUcBnYz3_iutKh0_vJ=s40-c-rp-mo-ba4-br100,True,108,,,44.0,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxdzRUbUZBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgID1w4TmFA%7CCgwIzZf2rAYQkLuE2QM%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQxdzRUbUZBEAE,"De vergüenza, nos citan a las 12:30 para una operación de 20 minutos, son las 19:10 y aún no a entrado en quirófano",Kylo Ren,https://www.google.com/maps/contrib/110114957356918560553?hl=en-US,110114957356918560553,https://lh3.googleusercontent.com/a-/ALV-UjXVn2NSKAphhKXuzCIbNjkL__W7uct7pMNraMOwH4i8Mws=s40-c-rp-mo-ba3-br100,True,46,"De vergüenza, nos citan a las 12:30 para una operación de 20 minutos, son las 19:10 y aún no a entrado en quirófano","Out of shame, they scheduled us at 12:30 for a 20-minute operation, it's 7:10 p.m. and he hasn't entered the operating room yet.",3.0,
