,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.local_guide,user.photos,likes,details.hoy_25_7_23,details.hoy_8_2_22
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaa3FXd21BRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZkqWwmAE%7CCgsI9vTmpwYQsJOHWw%7C?hl=en-US,2.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNaa3FXd21BRRAB,"Los dispensadores de gel desinfectante que hay distibuidos por las diferentes salas de espera, estan vacios ya desde hace tiempo",Familia RP,https://www.google.com/maps/contrib/110197226408475110184?hl=en-US,110197226408475110184,https://lh3.googleusercontent.com/a/ACg8ocJR8Ht0ql6_e7gKxXqfXviGUPBB5sdIuyBhiy8fwuyD=s40-c-rp-mo-br100,4,"Los dispensadores de gel desinfectante que hay distibuidos por las diferentes salas de espera, estan vacios ya desde hace tiempo",The disinfectant gel dispensers that are distributed throughout the different waiting rooms have been empty for a long time.,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaNHIyUC1nRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZ4r2P-gE%7CCgsIsp7mpwYQwLX-VA%7C?hl=en-US,5.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNaNHIyUC1nRRAB,,Cris D,https://www.google.com/maps/contrib/100387890090905309830?hl=en-US,100387890090905309830,https://lh3.googleusercontent.com/a-/ALV-UjVcohb_sqFu30itxwgCFJd4asB8-ejGGSEuUiyFBUc7WBg=s40-c-rp-mo-ba3-br100,22,,,True,16.0,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaM01MeVRBEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZ3MLyTA%7CCgwIxPXgpwYQ6Ir-oAM%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaM01MeVRBEAE,"Eso de que en todos los trabajos se fuma es cierto. Solo tenéis que comprobarlo en este Hospital. Dan las 10:00 y claro, como llevan ya 2 horas trabajando, todos en desfile a tomar café y a fumar, excepto los poquitas excepciones de profesionales con vergüenza que se quedan en su puesto para dar un buen servicio. Una pena como funciona la Sanidad pública en este país y no x culpa de instalaciones, sueldos o falta de personal, si no x la desidia generalizada del funcionariado.",ALBERTO,https://www.google.com/maps/contrib/116146997256545387906?hl=en-US,116146997256545387906,https://lh3.googleusercontent.com/a/ACg8ocLlN7YjgOLtCIp2AvHdfZcr4fhd8vlChSGwfUL4eJEh=s40-c-rp-mo-br100,4,"Eso de que en todos los trabajos se fuma es cierto. Solo tenéis que comprobarlo en este Hospital. Dan las 10:00 y claro, como llevan ya 2 horas trabajando, todos en desfile a tomar café y a fumar, excepto los poquitas excepciones de profesionales con vergüenza que se quedan en su puesto para dar un buen servicio. Una pena como funciona la Sanidad pública en este país y no x culpa de instalaciones, sueldos o falta de personal, si no x la desidia generalizada del funcionariado.","That thing about smoking in all jobs is true. You just have to check it out at this Hospital. It's 10:00 and of course, since they've been working for 2 hours now, everyone is in parade to drink coffee and smoke, except for the few exceptions of embarrassed professionals who stay at their jobs to provide good service. It's a shame how public health works in this country and not because of facilities, salaries or lack of personnel, but because of the general apathy of the civil service.",,,9.0,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNacks2T1Z3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgICZrK6OVw%7CCgwI2oDepwYQ2Krq1QI%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNacks2T1Z3EAE,"Una vergüenza de médicos en este hospital, tienen a los pacientes de urgencia con dolores en los pasillos, sin atención, sin analgésicos, solo se preocupan de increpar a los pacientes que no lleven puesta la mascarilla, es lo único que les interesa, lo demás les da igual",Rosa GP,https://www.google.com/maps/contrib/110029512516894856921?hl=en-US,110029512516894856921,https://lh3.googleusercontent.com/a-/ALV-UjWepwUI69Xn-cQPdnXH3carTCXreEShD1uCPnih0KBWHHg=s40-c-rp-mo-ba2-br100,27,"Una vergüenza de médicos en este hospital, tienen a los pacientes de urgencia con dolores en los pasillos, sin atención, sin analgésicos, solo se preocupan de increpar a los pacientes que no lleven puesta la mascarilla, es lo único que les interesa, lo demás les da igual","A shameful doctors in this hospital, they have emergency patients with pain in the corridors, without attention, without painkillers, they only worry about scolding patients who are not wearing the mask, it is the only thing that interests them, the rest they do not care",True,,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwNjRtY0hREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDp64mcHQ%7CCgwItvW3pwYQ-Ker1QE%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwNjRtY0hREAE,"Horrible, hemos ingresado muchas veces con pancreatitis aguda y el caso que se nos ha hecho ha sido deprimente",Paloma Moreno,https://www.google.com/maps/contrib/114551195498920510325?hl=en-US,114551195498920510325,https://lh3.googleusercontent.com/a/ACg8ocKUL5ADnvGc0zFr90VRfgSagEb5pLWAsQVpJfaGaXy2=s40-c-rp-mo-br100,1,"Horrible, hemos ingresado muchas veces con pancreatitis aguda y el caso que se nos ha hecho ha sido deprimente","Horrible, we have been admitted many times with acute pancreatitis and the case we have been given has been depressing",,,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMwX0xTUUVREAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIC0_LSQEQ%7CCgsIzL-jpwYQiNvfIA%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMwX0xTUUVREAE,"Hoy 25/8/23 : Gracias Laura Bermejo , Dra. Raquel Martínez,  en biopsia Radiología,  cuidando cada detalle , profesionales,  humanas y vocación,  es de agradecer que en este tipo de pruebas , todo sea excelente   ,  muchas gracias   

Hoy 25/7/23 : Gracias , Maria , Pepa , Dra. Silvia Alonso , en Radiología y biopsia , grandes profesionales cuidando cada detalle , un equipo de ángeles con una calidad humana y excelencia profesional , sois un lujo .

Hoy 8/2/22: Mi Agradecimiento para la Dra. ALONSO y todo su equipo de grandes profesionales de RADIOLOGIA, muy profesionales y la calidad humana de sus acciones y profesionalidad, apoyando a nivel humano al paciente es un honor, muchas gracias de corazón, medalla de honor a vuestra vocación, todas las estrellas, y más, ✴️✴️✴️✴️✴️,
Gracias   

Hoy estuve en el Area de Ginecología , y la Dra. Merinero y todo su equipo , excelente profesional , diagnóstico , tratamiento y la calidad humana , extraordinaria , muy detallista y su equipo .
En Atención al Paciente , con Almudena , gran Profesional , intentando colaborar en las citas , de la mejor manera posible , me ubico un hueco para Alergología que estaba pendiente aun , y lo necesitaba con urgencia mi revisión anual .
En General y a todo el equipo de Administrativos , en Recepción , Ginecología , Alergia , Neumología , Urología , atención muy profesional y exquisita , muchas Gracias , a todo el equipo de grandes profesionales de Fundación Hospital Alcorcón , somos  vecinos y pacientes del Hospital .
30/8/22 : Gracias a Marta de Trabajo Social, excelente profesional, muy humana.",Patrick Rox,https://www.google.com/maps/contrib/105439935617758445231?hl=en-US,105439935617758445231,https://lh3.googleusercontent.com/a-/ALV-UjU267lwBXTnHKraIrTtqmtyVhLE1y8kO9j4JhBkeLr6JQ=s40-c-rp-mo-ba4-br100,166,"Hoy 25/8/23 : Gracias Laura Bermejo , Dra. Raquel Martínez,  en biopsia Radiología,  cuidando cada detalle , profesionales,  humanas y vocación,  es de agradecer que en este tipo de pruebas , todo sea excelente   ,  muchas gracias   

Hoy 25/7/23 : Gracias , Maria , Pepa , Dra. Silvia Alonso , en Radiología y biopsia , grandes profesionales cuidando cada detalle , un equipo de ángeles con una calidad humana y excelencia profesional , sois un lujo .

Hoy 8/2/22: Mi Agradecimiento para la Dra. ALONSO y todo su equipo de grandes profesionales de RADIOLOGIA, muy profesionales y la calidad humana de sus acciones y profesionalidad, apoyando a nivel humano al paciente es un honor, muchas gracias de corazón, medalla de honor a vuestra vocación, todas las estrellas, y más, ✴️✴️✴️✴️✴️,
Gracias   

Hoy estuve en el Area de Ginecología , y la Dra. Merinero y todo su equipo , excelente profesional , diagnóstico , tratamiento y la calidad humana , extraordinaria , muy detallista y su equipo .
En Atención al Paciente , con Almudena , gran Profesional , intentando colaborar en las citas , de la mejor manera posible , me ubico un hueco para Alergología que estaba pendiente aun , y lo necesitaba con urgencia mi revisión anual .
En General y a todo el equipo de Administrativos , en Recepción , Ginecología , Alergia , Neumología , Urología , atención muy profesional y exquisita , muchas Gracias , a todo el equipo de grandes profesionales de Fundación Hospital Alcorcón , somos  vecinos y pacientes del Hospital .
30/8/22 : Gracias a Marta de Trabajo Social, excelente profesional, muy humana.","Today 8/25/23: Thank you Laura Bermejo, Dr. Raquel Martínez, in Radiology biopsy, taking care of every detail, professional, human and vocation, it is appreciated that in this type of tests, everything is excellent   , thank you very much   

Today 7/25/23: Thank you, Maria, Pepa, Dr. Silvia Alonso, in Radiology and biopsy, great professionals taking care of every detail, a team of angels with human quality and professional excellence, you are a luxury.

Today 2/8/22: My thanks to Dr. ALONSO and her entire team of great RADIOLOGY professionals, very professional and the human quality of their actions and professionalism, supporting the patient on a human level is an honor, thank you very much from the bottom of my heart. , medal of honor for your vocation, all the stars, and more, ✴️✴️✴️✴️✴️,
Thank you   

Today I was in the Gynecology Area, and Dr. Merinero and her entire team, excellent professional, diagnosis, treatment and human quality, extraordinary, very detailed, and her team.
In Patient Care, with Almudena, a great Professional, trying to collaborate in the appointments, in the best possible way, I found a space for Allergology that was still pending, and my annual review urgently needed it.
In General and to the entire Administrative team, in Reception, Gynecology, Allergy, Pulmonology, Urology, very professional and exquisite attention, Thank you very much, to the entire team of great professionals at Fundación Hospital Alcorcón, we are neighbors and patients of the Hospital.
8/30/22: Thanks to Marta from Social Work, excellent professional, very human.",True,131.0,1.0,"Gracias , Maria , Pepa , Dra. Silvia Alonso , en Radiología y biopsia , grandes profesionales cuidando cada detalle , un equipo de ángeles con una calidad humana y excelencia profesional , sois un lujo .","Mi Agradecimiento para la Dra. ALONSO y todo su equipo de grandes profesionales de RADIOLOGIA, muy profesionales y la calidad humana de sus acciones y profesionalidad, apoyando a nivel humano al paciente es un honor, muchas gracias de corazón, medalla de honor a vuestra vocación, todas las estrellas, y más, ✴️✴️✴️✴️✴️,"
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwdWJTY0l3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDpubScIw%7CCgsIwvygpwYQ0J-6Wg%7C?hl=en-US,4.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwdWJTY0l3EAE,,susana Morales Lorenzo,https://www.google.com/maps/contrib/107153793359340490178?hl=en-US,107153793359340490178,https://lh3.googleusercontent.com/a/ACg8ocL4aEUz3LVZUqsxC6xVwQVKBCvVO-FP_nJ1S6VUnb3G=s40-c-rp-mo-ba2-br100,8,,,True,16.0,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwNmJxcG5RRRAB!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDp6bqpnQE%7CCgwIi62epwYQ0Kun3AE%7C?hl=en-US,5.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwNmJxcG5RRRAB,,Teresa Alonso,https://www.google.com/maps/contrib/101641558988829323478?hl=en-US,101641558988829323478,https://lh3.googleusercontent.com/a/ACg8ocIfbKRzdJF-2F490RNw69H8xCgZ43ZQkkundMwfmzXc=s40-c-rp-mo-ba3-br100,11,,,True,,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwb1ktSUN3EAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDpoY-ICw%7CCgwI54GYpwYQuMWfrQM%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwb1ktSUN3EAE,El personal es agresivo e incompetente.,yerai gomez,https://www.google.com/maps/contrib/112259298792249984802?hl=en-US,112259298792249984802,https://lh3.googleusercontent.com/a-/ALV-UjVNS3yRPv3NJ18yv_9WxodojNR5DpYlV177WlGSh6Zh=s40-c-rp-mo-br100,34,El personal es agresivo e incompetente.,The staff is aggressive and incompetent.,,1.0,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwZ2RfWWFnEAE!2m1!1s0x0:0x2485c300bbdbbc52!3m1!1s2@1:CIHM0ogKEICAgIDpgd_Yag%7CCgwI19iWpwYQyP_KkwM%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwZ2RfWWFnEAE,,fernando damian cardozo,https://www.google.com/maps/contrib/106070206798725155527?hl=en-US,106070206798725155527,https://lh3.googleusercontent.com/a-/ALV-UjUK1L6fbRaxArc48qlEIARKSf7gaopQiRhlhz0RJ2qbS91G=s40-c-rp-mo-ba2-br100,5,,,True,22.0,,,
