,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoNWREdUlBEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDh5dDuIA%7CCgwI_r-9oAYQ6PPhngM%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoNWREdUlBEAE,"Un desastre! Tengo un inconveniente por el que se que voy a llegar 10 minutos tarde a una cita de dermatologia pediátrica que me dieron hace 3 meses y me tiro más de 30 minutos llamando para avisar mi asistencia. Nunca nadie coge el teléfono pero lo peor.....llego jugandome la vida para no perder la cita, para descubrir al llegar que el 2 de febrero me habían cambiado la cita para abril!! Hay que ser clarividente para saberlo puesto que la única cita que tenía confirmada era la de hoy!! Manda coj....!!!",2.0,Mime Alvarez,https://www.google.com/maps/contrib/118245610606402705817?hl=en-US,118245610606402705817,https://lh3.googleusercontent.com/a/ACg8ocI_orjrLHKGdZJ4KK6kP4Cfx08lrlzm2Eb1lYit6gwR=s40-c-rp-mo-br100,85,82.0,"Un desastre! Tengo un inconveniente por el que se que voy a llegar 10 minutos tarde a una cita de dermatologia pediátrica que me dieron hace 3 meses y me tiro más de 30 minutos llamando para avisar mi asistencia. Nunca nadie coge el teléfono pero lo peor.....llego jugandome la vida para no perder la cita, para descubrir al llegar que el 2 de febrero me habían cambiado la cita para abril!! Hay que ser clarividente para saberlo puesto que la única cita que tenía confirmada era la de hoy!! Manda coj....!!!","A disaster! I have a problem where I know that I am going to arrive 10 minutes late for a pediatric dermatology appointment that I had 3 months ago and I spend more than 30 minutes calling to notify my attendance. No one ever picks up the phone but the worst thing... I arrived, risking my life not to miss the appointment, to discover when I arrived that on February 2 they had changed my appointment to April!! You have to be clairvoyant to know this since the only appointment I had confirmed was today's!! Send fuck....!!!",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoOXE2bnRRRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDh9q6ntQE%7CCgwI_cOioAYQqOjHpwE%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoOXE2bnRRRRAB,"Un lugar donde impera el orden la cordialidad, la limpieza, la profesionalidad, seres humanos calificados para atender efectivamente a la población , para mí y mi madre excelente servicio prestado , segunda vez que mi madre vuelve a la vida gracias a todo el personal involucrado, mil gracias",,Francisco Cabrera,https://www.google.com/maps/contrib/103173098640441151040?hl=en-US,103173098640441151040,https://lh3.googleusercontent.com/a-/ALV-UjVrxjxwpDo5Uo_V3hJ6r5t-9z5U2kK6E5VewBexENXyt6c=s40-c-rp-mo-ba3-br100,55,38.0,"Un lugar donde impera el orden la cordialidad, la limpieza, la profesionalidad, seres humanos calificados para atender efectivamente a la población , para mí y mi madre excelente servicio prestado , segunda vez que mi madre vuelve a la vida gracias a todo el personal involucrado, mil gracias","A place where order, cordiality, cleanliness, professionalism prevail, human beings qualified to effectively serve the population, for me and my mother excellent service provided, second time that my mother comes back to life thanks to all the staff involved, thank you",True,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURocHZ2VHdnRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhpvvTwgE%7CCgsI4NWdoAYQgKP7Xg%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURocHZ2VHdnRRAB,"Las urgencias pediátricas de pena ,médicos soberbios que se piensan que pueden hablar a los pacientes de cualquier manera por ser médicos poco respeto a los pacientes y a los familiares",1.0,Pepi,https://www.google.com/maps/contrib/112068924579858576337?hl=en-US,112068924579858576337,https://lh3.googleusercontent.com/a/ACg8ocLUPY2ClXFpWpeJ17yhNCRJ2njq4rEufKDexIbBqny_=s40-c-rp-mo-br100,23,,"Las urgencias pediátricas de pena ,médicos soberbios que se piensan que pueden hablar a los pacientes de cualquier manera por ser médicos poco respeto a los pacientes y a los familiares","Pediatric emergencies are painful, arrogant doctors who think they can talk to patients in any way because they are doctors, they have little respect for patients and family members.",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURodXJTZ3Z3RRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhurSgvwE%7CCgsIq-iZoAYQkLPfDQ%7C?hl=en-US,4.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURodXJTZ3Z3RRAB,,,Pablo Mialdea Rico,https://www.google.com/maps/contrib/116613915995771539279?hl=en-US,116613915995771539279,https://lh3.googleusercontent.com/a/ACg8ocKPCJWcX-e6jikUKynOJ6WxXyYCKCoXHZE8i5ADaeQJ=s40-c-rp-mo-br100,3,,,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoa3A3RjF3RRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhkp7F1wE%7CCgwI26-RoAYQ4Kq77AE%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoa3A3RjF3RRAB,"Ginecología y Obstetricia, pésimos.",1.0,Maria Castedo Sanchez,https://www.google.com/maps/contrib/106036124113273684737?hl=en-US,106036124113273684737,https://lh3.googleusercontent.com/a/ACg8ocKiNU_9UkXqNhy9es1a4hpvs01k3ZsBHkCZoecd4dc=s40-c-rp-mo-br100,7,,"Ginecología y Obstetricia, pésimos.","Gynecology and Obstetrics, terrible.",,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobk1hQThRRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhnMaA8QE%7CCgwIo-aIoAYQkJOktwM%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURobk1hQThRRRAB,"Mala educación por parte del personal.
Exploración Funcionales.Seccion Colonoscopia.",3.0,Látigo ****,https://www.google.com/maps/contrib/116438933457607070967?hl=en-US,116438933457607070967,https://lh3.googleusercontent.com/a-/ALV-UjWfiUEMhkTfAiL-EQziir2-MRhbWuEb1ZWXvi5sn_P79zs=s40-c-rp-mo-br100,25,5.0,"Mala educación por parte del personal.
Exploración Funcionales.Seccion Colonoscopia.","Bad education on the part of the staff.
Functional Exploration. Colonoscopy Section.",,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoMU1fMzVBRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDh1M_35AE%7CCgwIhaSDoAYQ2JL9_gE%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoMU1fMzVBRRAB,"En información me dicen que no hace falta que pase la tarjeta sanitaria por la máquina, que me llamaran, después de tres cuartos de hora esperando me acerco a la puerta y me dicen que espere ya pasada una hora vuelvo a preguntar y el radiólogo me dice que lo hubiera dicho antes, son muy bordes y la de información  debería dedicarse a otra cosa. Muy incompetentes  todos!",2.0,Sonia Merino Carnicero,https://www.google.com/maps/contrib/104701066956161746142?hl=en-US,104701066956161746142,https://lh3.googleusercontent.com/a/ACg8ocKZm7odEmf7QE2YelPuCt7AHv3eZa-dq9MI2WRInsO5=s40-c-rp-mo-br100,2,,"En información me dicen que no hace falta que pase la tarjeta sanitaria por la máquina, que me llamaran, después de tres cuartos de hora esperando me acerco a la puerta y me dicen que espere ya pasada una hora vuelvo a preguntar y el radiólogo me dice que lo hubiera dicho antes, son muy bordes y la de información  debería dedicarse a otra cosa. Muy incompetentes  todos!","In the information they tell me that it is not necessary to pass the health card through the machine, that they will call me, after three quarters of an hour waiting I approach the door and they tell me to wait, after an hour I ask again and the radiologist tells me I would have said it before, they are very rude and the information department should be dedicated to something else. Everyone is very incompetent!",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoMlAzOG5RRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDh2P38nQE%7CCgwIy_v5nwYQiOmquAI%7C?hl=en-US,1.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoMlAzOG5RRRAB,"La experiencia pésima  casi 3 horas de espera para que atiendesen a mi mujer embarazada, tenia  clásico  catarro y nos preocupaba por qué no se puede tomar cualquier medicamento estando embarazada. Preguntamos en  recepción y decían que no faltaría mucho para que nos atendiese el médico.Minutos después les llega a recepción pedido de burger King  desde luego eran los kings  entiendo que haya que cenar y sobretodo ellos trabajando y de guardia, ese no es el caso... Sino la cantidad de gente  que esperaba con nosotros, habia una señora de unos 80 con una vía periférica,o intravenosa (no soy médico) pero  en el brazo,ahí esperando. En conclusión. Sanidad en Madrid por mi experiencia penosa.",5.0,Bosco Aranda Garcia-albi,https://www.google.com/maps/contrib/112498253863317666673?hl=en-US,112498253863317666673,https://lh3.googleusercontent.com/a-/ALV-UjWPC7bDwlQJ4REGa_YzBzg5_bwFbeS-tz0uvbyHZALU_u0=s40-c-rp-mo-br100,3,,"La experiencia pésima  casi 3 horas de espera para que atiendesen a mi mujer embarazada, tenia  clásico  catarro y nos preocupaba por qué no se puede tomar cualquier medicamento estando embarazada. Preguntamos en  recepción y decían que no faltaría mucho para que nos atendiese el médico.Minutos después les llega a recepción pedido de burger King  desde luego eran los kings  entiendo que haya que cenar y sobretodo ellos trabajando y de guardia, ese no es el caso... Sino la cantidad de gente  que esperaba con nosotros, habia una señora de unos 80 con una vía periférica,o intravenosa (no soy médico) pero  en el brazo,ahí esperando. En conclusión. Sanidad en Madrid por mi experiencia penosa.","The terrible experience, almost 3 hours of waiting for my pregnant wife to be seen, she had a classic cold and we were worried about why you can't take any medication while pregnant. We asked at the reception and they said that it wouldn't be long before the doctor would see us. Minutes later the order for a Burger King arrived at the reception. Of course they were the kings, I understand that we have to have dinner and, above all, they are working and on duty, that is not the case. .. But the number of people waiting with us, there was a woman of about 80 with a peripheral line, or intravenous (I'm not a doctor) but in her arm, there waiting. In conclusion. Health in Madrid for my painful experience.",,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoeUpmVW1RRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhyJfUmQE%7CCgwIpfH2nwYQsN_FrQE%7C?hl=en-US,3.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoeUpmVW1RRRAB,"Es grande y con instalaciones bastante nuevas.
Las tarifas del parking son caras y para aparcar de forma gratuita es complicado en los alrededores.",1.0,María Humanes (Mary María),https://www.google.com/maps/contrib/117041431892373425152?hl=en-US,117041431892373425152,https://lh3.googleusercontent.com/a-/ALV-UjWsFBYSkCR0gnAJ4QrR1G2brRU0I4xx5N6jpsrse8qKRBc=s40-c-rp-mo-ba4-br100,158,148.0,"Es grande y con instalaciones bastante nuevas.
Las tarifas del parking son caras y para aparcar de forma gratuita es complicado en los alrededores.","It is large and with fairly new facilities.
Parking rates are expensive and free parking is difficult in the surrounding areas.",True,['https://lh5.googleusercontent.com/p/AF1QipONWEKQbarWkyWNLo6GijNHKRPG613G0P6IbWvB=w100-h100-p-n-k-no']
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURob05xN0ZREAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDhoNq7FQ%7CCgsItpbvnwYQ0IX4ZA%7C?hl=en-US,1.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURob05xN0ZREAE,"Nunca he tenido problemas en este hospital, pero he de decir que esperar 4 horas para que me atiendan en urgencias, y me tenga que marchar sin asistencia médica, es una vergüenza. No entiendo el triaje de éste hospital, no entiendo que sin afluencia abundante de pacientes, se pase por delante mía a cualquier otra persona que consideren “minimamente” peor que yo. He esperado mis santas 4 horas, y ya no podía resistir mi cuerpo más. Lamentable. Pd: no era la única en esa situación.",4.0,Pilar Soler,https://www.google.com/maps/contrib/102380924193472131898?hl=en-US,102380924193472131898,https://lh3.googleusercontent.com/a-/ALV-UjUBLYE2o0WxF_nCa5r-yCjbmUk7UVwGIrgSTfbs4S8xKeA=s40-c-rp-mo-br100,47,16.0,"Nunca he tenido problemas en este hospital, pero he de decir que esperar 4 horas para que me atiendan en urgencias, y me tenga que marchar sin asistencia médica, es una vergüenza. No entiendo el triaje de éste hospital, no entiendo que sin afluencia abundante de pacientes, se pase por delante mía a cualquier otra persona que consideren “minimamente” peor que yo. He esperado mis santas 4 horas, y ya no podía resistir mi cuerpo más. Lamentable. Pd: no era la única en esa situación.","I have never had problems in this hospital, but I have to say that waiting 4 hours to be treated in the emergency room, and having to leave without medical assistance, is a shame. I do not understand the triage of this hospital, I do not understand that without an abundant influx of patients, any other person they consider “minimally” worse than me is passed in front of me. I waited for my holy days for 4 hours, and my body couldn't resist it anymore. Regrettable. PS: I wasn't the only one in that situation.",,
