,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,snippet,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGNWJ5QzVnRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDF5byC5gE%7CCgwIq7-vqgYQ4JHHzAI%7C?hl=en-US,1.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURGNWJ5QzVnRRAB,JESUS PEREZ LABRADO,https://www.google.com/maps/contrib/101844294099472896693?hl=en-US,101844294099472896693,https://lh3.googleusercontent.com/a-/ALV-UjW0P4PfguChg_dTEGmW8tf_uRZMBHT6HZLvjQUE8HCZKA=s40-c-rp-mo-br100,5.0,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGM3RfaEZnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDF3t_hFg%7CCgsI2veoqgYQ6NXoKA%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGM3RfaEZnEAE,miguelpk94,https://www.google.com/maps/contrib/114955528268072505430?hl=en-US,114955528268072505430,https://lh3.googleusercontent.com/a-/ALV-UjWAsMjeg_gBpRv6WTcb8OA9SJQCK6270UwEQn8I8rpRNQ=s40-c-rp-mo-br100,10.0,Experiencia nefasta en urgencias 6 horas de espera,2.0,Experiencia nefasta en urgencias 6 horas de espera,Disastrous experience in the emergency room 6 hours of waiting,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGeHVlYjlBRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDFxueb9AE%7CCgsIw9mkqgYQ4PnGKw%7C?hl=en-US,3.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURGeHVlYjlBRRAB,FCOJAVIER HERRERO SÁNCHEZ,https://www.google.com/maps/contrib/115742755276920971400?hl=en-US,115742755276920971400,https://lh3.googleusercontent.com/a-/ALV-UjXVFlK6QfFAtePsSUVblGdLq_IMiszWE9-XmOOq4csZYDw=s40-c-rp-mo-ba6-br100,280.0,"Sanidad pública de tod@s y para tod@s.
Buenos profesionales sobre pasados de carga de trabajo y medios ajustados.",2066.0,"Sanidad pública de tod@s y para tod@s.
Buenos profesionales sobre pasados de carga de trabajo y medios ajustados.","Public health of everyone and for everyone.
Good professionals about past workloads and tight means.",True,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGeHRLREp3EAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDFxtKDJw%7CCgwIz6KkqgYQoMLv2QM%7C?hl=en-US,2.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURGeHRLREp3EAE,Danieris LM,https://www.google.com/maps/contrib/104272302645335102397?hl=en-US,104272302645335102397,https://lh3.googleusercontent.com/a/ACg8ocJ1hd7EBB214fw2lHQ5qygZSik80V-ptIhBO5xCieSS=s40-c-rp-mo-br100,6.0,"Gestión semiprivada de citas, imposible ponerse en contacto o hablar con un médico. Mal servicio, falta de personal, de especialidades y camas. Médicos en prácticas, muy a menudo poco profesionales. Si tienes una urgencia y puedes, vete a la Paz.",,"Gestión semiprivada de citas, imposible ponerse en contacto o hablar con un médico. Mal servicio, falta de personal, de especialidades y camas. Médicos en prácticas, muy a menudo poco profesionales. Si tienes una urgencia y puedes, vete a la Paz.","Semi-private appointment management, impossible to contact or speak to a doctor. Bad service, lack of staff, specialties and beds. Doctors in training, very often unprofessional. If you have an emergency and you can, go to Peace.",,1.0
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURGc3RLZDZ3RRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDFstKd6wE%7CCgsIpr2bqgYQqOyxIw%7C?hl=en-US,1.0,3 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURGc3RLZDZ3RRAB,Lana Kutolina,https://www.google.com/maps/contrib/103887071617844569890?hl=en-US,103887071617844569890,https://lh3.googleusercontent.com/a/ACg8ocIBmou3I1orEoRbT1ph7UjD01vFnOH6jPjLUervxYpp=s40-c-rp-mo-br100,,,,,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGNl9iVEdnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICF6_bTGg%7CCgsI4bOPqgYQoOOKAw%7C?hl=en-US,1.0,3 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGNl9iVEdnEAE,V. M.,https://www.google.com/maps/contrib/105748348717561820982?hl=en-US,105748348717561820982,https://lh3.googleusercontent.com/a/ACg8ocKlIm8g7y953FAJfpyojwTLqik4LPcPgreqSO-QZwBY=s40-c-rp-mo-br100,10.0,"Pésimo hospital, si tienes una urgencia mejor no vengas. Tanto el personal de urgencias como el personal de cirugía ambulatoria, vergonzoso. Empatía 0, nos tratan como carne, ningún tipo de humanidad con el paciente ni con los familiares. No es que sea un hospital malo es que es HORROSO. No hay ganas de trabajar, no hay vocación. Pésimo",,"Pésimo hospital, si tienes una urgencia mejor no vengas. Tanto el personal de urgencias como el personal de cirugía ambulatoria, vergonzoso. Empatía 0, nos tratan como carne, ningún tipo de humanidad con el paciente ni con los familiares. No es que sea un hospital malo es que es HORROSO. No hay ganas de trabajar, no hay vocación. Pésimo","Terrible hospital, if you have an emergency it is better not to come. Both the emergency room staff and the outpatient surgery staff, shameful. Empathy 0, they treat us like meat, no type of humanity with the patient or family members. It's not that it's a bad hospital, it's just that it's HORRIBLE. There is no desire to work, there is no vocation. Appalling",,4.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGbmFubFVnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICFnanlUg%7CCgwI6vaDqgYQuNvBvgI%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGbmFubFVnEAE,Baddest witch,https://www.google.com/maps/contrib/101529862417501645534?hl=en-US,101529862417501645534,https://lh3.googleusercontent.com/a-/ALV-UjWFAzbL-nwHxUhxjyY2wCvnQkyGKMlBYQjRAp4fT9OJwKc=s40-c-rp-mo-br100,7.0,"Qué pena no poder -200000000 estrellas. Es terrible este hospital. Aquí dejaron fallecer a mi padre en marzo. Una semana entera mandandole a casa con “ dolor de garganta”. Falleció o fue fallecido mas bien, el ultimo dia que le ingresaron, con neumonia se supone, sin oxigeno, sin atencion. Las enfermeras partiendose de risa por la planta y sin hacer caso. Le dejaron directamente. El medico ultimo sin mandarle a uci cuando estaba fatal. Y sin ninguna empatia te dicen “ que se ha ido”. Le dejaron. Joven y fuerte. Es un infierno de lugar. Ayer tuve que regresar y terrible. Ahora han puesto maquinas que no te dejan sacar el ticket de sala si llegas un poco antes. Y luego vas a la sala de espera y esta absolutamente vacia. Lo unico que veiamos era enfermeras comiendo por dentro de los pasillo, partiendose, contando los dias que les daban libres en los puentes… un poco de disimulo al menos, y sobre todo de humanidad. No se como estaran los demas hospitales, pero este, sin duda, no lo pueden superar.",,"Qué pena no poder -200000000 estrellas. Es terrible este hospital. Aquí dejaron fallecer a mi padre en marzo. Una semana entera mandandole a casa con “ dolor de garganta”. Falleció o fue fallecido mas bien, el ultimo dia que le ingresaron, con neumonia se supone, sin oxigeno, sin atencion. Las enfermeras partiendose de risa por la planta y sin hacer caso. Le dejaron directamente. El medico ultimo sin mandarle a uci cuando estaba fatal. Y sin ninguna empatia te dicen “ que se ha ido”. Le dejaron. Joven y fuerte. Es un infierno de lugar. Ayer tuve que regresar y terrible. Ahora han puesto maquinas que no te dejan sacar el ticket de sala si llegas un poco antes. Y luego vas a la sala de espera y esta absolutamente vacia. Lo unico que veiamos era enfermeras comiendo por dentro de los pasillo, partiendose, contando los dias que les daban libres en los puentes… un poco de disimulo al menos, y sobre todo de humanidad. No se como estaran los demas hospitales, pero este, sin duda, no lo pueden superar.","What a shame not to be able to -200000000 stars. This hospital is terrible. They let my father die here in March. A whole week sending him home with a “sore throat”. He died, or rather was deceased, on the last day he was admitted, with pneumonia, presumably, without oxygen, without attention. The nurses laughing their asses off on the floor and paying no attention. They left him directly. The last doctor without sending him to the ICU when he was fatal. And without any empathy they tell you “it's gone.” They left him. Young and strong. It's a hell of a place. Yesterday I had to return and it was terrible. Now they have put machines that don't let you get your hall ticket if you arrive a little early. And then you go to the waiting room and it's absolutely empty. The only thing we saw was nurses eating inside the hallways, breaking up, counting the days they were given off on the bridges... a little dissimulation at least, and above all, humanity. I don't know how the other hospitals are, but this one, without a doubt, they can't beat it.",,8.0
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNGOGJHX2dBRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICF8bG_gAE%7CCgwIos_1qQYQiJ3QmwE%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNGOGJHX2dBRRAB,daniel pita,https://www.google.com/maps/contrib/100742066825692430181?hl=en-US,100742066825692430181,https://lh3.googleusercontent.com/a-/ALV-UjX9RrSih6jSABLAf6O0ZXcqB9TRSpWfh1V9kLyCHCP7_Jg=s40-c-rp-mo-ba4-br100,90.0,"Entiendo que tengamos poco personal, estoy con mi padre en el hospital, está recién operado de vejiga y están las enfermeras contándose chistes, riéndose a un volumen que están incomodando a todos los que estamos en el mismo pasillo, ahora mismo está mi padre con 40 de fiebre y llevamos 45 minutos aquí esperando a que nos atiendan y todavía no le han dicho nada, entiendo que tengan poco personal pero del personal que hay el 80% no realiza su trabajo como tiene que ser, es una vergüenza que tenga que saber que la hija de una doctora tenga un hijo que le ha presentado a su novia o que la otra discuta el nombre de la novia del hijo de su compañera",6.0,"Entiendo que tengamos poco personal, estoy con mi padre en el hospital, está recién operado de vejiga y están las enfermeras contándose chistes, riéndose a un volumen que están incomodando a todos los que estamos en el mismo pasillo, ahora mismo está mi padre con 40 de fiebre y llevamos 45 minutos aquí esperando a que nos atiendan y todavía no le han dicho nada, entiendo que tengan poco personal pero del personal que hay el 80% no realiza su trabajo como tiene que ser, es una vergüenza que tenga que saber que la hija de una doctora tenga un hijo que le ha presentado a su novia o que la otra discuta el nombre de la novia del hijo de su compañera","I understand that we have few staff, I am with my father in the hospital, he has just had bladder surgery and the nurses are telling jokes, laughing at a volume that is making everyone uncomfortable in the same hallway, right now my father is 40 fever and we have been here for 45 minutes waiting to be attended to and they still haven't told you anything, I understand that they have little staff but of the staff that there is, 80% do not do their job as they should, it is a shame that they have to know that a doctor's daughter has a son that she has introduced to her girlfriend or the other discusses the name of the girlfriend of her colleague's son",True,1.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNGMUlmX2ZREAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICF1If_fQ%7CCgsI8eLvqQYQ8JzDPw%7C?hl=en-US,4.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNGMUlmX2ZREAE,Juan Antonio Sayalero,https://www.google.com/maps/contrib/114800544991909361423?hl=en-US,114800544991909361423,https://lh3.googleusercontent.com/a/ACg8ocISBjgKGX56acq8cD5QTD4ZsgenfvUH61IsNRt3ahUe=s40-c-rp-mo-br100,39.0,"Larga espera con gran acumulación de público,  pero el personal de 10  paciente y eficaz",,"Larga espera con gran acumulación de público,  pero el personal de 10  paciente y eficaz","Long wait with a large crowd, but the staff of 10 patient and efficient",,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1MTlYWXRBRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgID519XYtAE%7CCgwIi5TuqQYQuJKrhQM%7C?hl=en-US,3.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1MTlYWXRBRRAB,Marina LC,https://www.google.com/maps/contrib/109507956226196947937?hl=en-US,109507956226196947937,https://lh3.googleusercontent.com/a/ACg8ocL80rCIC8McfOhRV3jL7gxTBGD95_Qwszj1JS-QygI=s40-c-rp-mo-ba3-br100,5.0,,,,,True,
