,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.local_guide,snippet,user.photos,extracted_snippet.original,extracted_snippet.translated,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwX2ZudjhBRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDp_fnv8AE%7CCgwIyJSupwYQ-NiokwM%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwX2ZudjhBRRAB,ÂlisPlayØmm,https://www.google.com/maps/contrib/109318732725188939759?hl=en-US,109318732725188939759,https://lh3.googleusercontent.com/a-/ALV-UjVJEDlP1OpYDzEBC_m9OI4ZR2hdc7Z0hTC05Loeu51TJIE=s40-c-rp-mo-br100,1,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwNWMzcFR3EAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDp5c3pTw%7CCgwIyM2kpwYQiP22kwM%7C?hl=en-US,4.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwNWMzcFR3EAE,Aitor,https://www.google.com/maps/contrib/113896546273883968770?hl=en-US,113896546273883968770,https://lh3.googleusercontent.com/a-/ALV-UjWmfryR6ExiXV4qSRBDJSQ-bRsx7zdJyuSH6lw58foLJw-4=s40-c-rp-mo-ba3-br100,15,True,,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURweWRmdVZ3EAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDpydfuVw%7CCgwInb2dpwYQuJbVwgE%7C?hl=en-US,5.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURweWRmdVZ3EAE,Francisco Gutiérrez Sáez,https://www.google.com/maps/contrib/118056677255344693517?hl=en-US,118056677255344693517,https://lh3.googleusercontent.com/a-/ALV-UjWUzhVUT-H_UXMWUElcdTj8ZV8ekXfeaEbNOGTa_HfMTTk=s40-c-rp-mo-ba5-br100,258,True,Personal muy amable y atento.,16.0,Personal muy amable y atento.,Very friendly and helpful staff.,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwa2ViOC1nRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDpkeb8-gE%7CCgsIjPCYpwYQ6MXIbA%7C?hl=en-US,5.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwa2ViOC1nRRAB,jose Ramon Ibañez revert,https://www.google.com/maps/contrib/117792351869396023290?hl=en-US,117792351869396023290,https://lh3.googleusercontent.com/a-/ALV-UjWxQDZB17TXPn-qNhM8scpYqkRoBMb_kQKqKo_g33xLyw=s40-c-rp-mo-ba3-br100,12,True,"He llamado para preguntar por un familiar en urgencias, la respuesta ha sido rápida, eficiente y muy amable.
Gracias.",2.0,"He llamado para preguntar por un familiar en urgencias, la respuesta ha sido rápida, eficiente y muy amable.
Gracias.","I called to ask about a family member in the emergency room, the response was quick, efficient and very friendly.
Thank you.",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwN3Rxd29BRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDp7tqwoAE%7CCgwI572SpwYQkIf2oAI%7C?hl=en-US,4.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwN3Rxd29BRRAB,Ana A. G.,https://www.google.com/maps/contrib/115530892119879177220?hl=en-US,115530892119879177220,https://lh3.googleusercontent.com/a-/ALV-UjUqDN3EfEggYr2xnhIV-f05Y-jzib2IWHQTVCBtYvz2iGDd=s40-c-rp-mo-ba3-br100,28,True,"Se nota que es un hospital Universitario perteneciente al área de La Paz.
A pesar del maltrato a la sanidad pública, tiene profesionales que se esfuerzan en darnos el servicio que, como ciudadanos merecemos.",14.0,"Se nota que es un hospital Universitario perteneciente al área de La Paz.
A pesar del maltrato a la sanidad pública, tiene profesionales que se esfuerzan en darnos el servicio que, como ciudadanos merecemos.","It is noted that it is a University hospital belonging to the La Paz area.
Despite the mistreatment of public health, it has professionals who strive to give us the service that we, as citizens, deserve.",['https://lh5.googleusercontent.com/p/AF1QipP_O3leqsH7eV9d0hNsbDCzJ_lfDLsbML-_xHKo=w100-h100-p-n-k-no']
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwOXJHLUtBEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDp9rG-KA%7CCgsItZWPpwYQwOfbaA%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwOXJHLUtBEAE,Yannick,https://www.google.com/maps/contrib/107717998450592616544?hl=en-US,107717998450592616544,https://lh3.googleusercontent.com/a-/ALV-UjUXh7HIqnI0k91_dGvYAv3A9vwbF-ZsmdImdXV5q2rd6ofR=s40-c-rp-mo-br100,13,,,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwdHNTMEZREAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDptsS0FQ%7CCgwImp2OpwYQqKe4zwE%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwdHNTMEZREAE,Armida Ortiz,https://www.google.com/maps/contrib/105384242943044489984?hl=en-US,105384242943044489984,https://lh3.googleusercontent.com/a/ACg8ocI4BErZrC6HITjhWlZ5JNeUwI-eUpU4pIXwfRfsJpbd=s40-c-rp-mo-br100,1,,"4 horas para que vean una radiografía, ya vista la radiografía y el sufrimiento de mi hijo el tobillo roto",,"4 horas para que vean una radiografía, ya vista la radiografía y el sufrimiento de mi hijo el tobillo roto","4 hours for them to see an x-ray, already seen the x-ray and the suffering of my son's broken ankle",
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwcG9HSm53RRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDppoGJnwE%7CCgwIwOqLpwYQgOrPxgE%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwcG9HSm53RRAB,Gemma Poyato,https://www.google.com/maps/contrib/110326593798624161844?hl=en-US,110326593798624161844,https://lh3.googleusercontent.com/a/ACg8ocIvtSHwgfDrjlSndKDUeXNGsJ4JUg6xUjLaoaygEaqh=s40-c-rp-mo-br100,12,,,,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwNHB1QjRRRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDp4puB4QE%7CCgwI7YmCpwYQkKT_gQE%7C?hl=en-US,1.0,6 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURwNHB1QjRRRRAB,Gabriel Maldonado,https://www.google.com/maps/contrib/100899376927825662193?hl=en-US,100899376927825662193,https://lh3.googleusercontent.com/a-/ALV-UjXQri7BzkkUxe3Lfj5wBVqYDjtOvrrVTneCg6UJtClcKcEs=s40-c-rp-mo-br100,7,,"Es de chiste tener que esperar 5 horas y media en urgencias y seguir sin ser atendido, la urgencia menos urgente, una verguenza",1.0,"Es de chiste tener que esperar 5 horas y media en urgencias y seguir sin ser atendido, la urgencia menos urgente, una verguenza","It's a joke to have to wait 5 and a half hours in the emergency room and still not be attended to, the least urgent emergency, a shame",
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwNHB1VlhnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDp4puVXg%7CCgwI2-D_pgYQ-PTangI%7C?hl=en-US,1.0,6 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURwNHB1VlhnEAE,Liz Sosa,https://www.google.com/maps/contrib/101021921719501750851?hl=en-US,101021921719501750851,https://lh3.googleusercontent.com/a-/ALV-UjVlbJ-5iKX1-9VIuJayK7TG0MfoxFpsZzAjOl6_Lyy7sw=s40-c-rp-mo-br100,5,,"Una vergüenza, llevo 5 horas esperando en urgencia y viendo cómo llaman a personas que vinieron mucho después, supuestamente se le da prioridad a personas que están muy mal",,"Una vergüenza, llevo 5 horas esperando en urgencia y viendo cómo llaman a personas que vinieron mucho después, supuestamente se le da prioridad a personas que están muy mal","A shame, I've been waiting in the emergency room for 5 hours and seeing how they call people who came much later, supposedly priority is given to people who are very sick",
