,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,images,user.photos,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4LWNQcFVBEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICx-cPpUA%7CCgsI856powYQ2NSQIQ%7C?hl=en-US,1.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4LWNQcFVBEAE,"La verdad es que, no sé como este hospital sigue en pie. De media, vas a esperar 4 horas como mínimo y si tienes suerte.
Si vas a urgencias, mejor cambia de hospital. Porque tus 6 horas vas a estar ahí plantado, sin poder hablar con nadie y sin movimiento alguno de gente que entre a ser atendido.
Las personas que esperaban conmigo, llevaban esperando más de 4 horas. Y esto, no es de un día puntual. Solo hay que leer el resto de reseñas. Esto parece ser una situación normal en este edificio vacío y sin atención mínima. No se le puede calificar de hospital.",30.0,Laura Rodríguez,https://www.google.com/maps/contrib/115207874457233832213?hl=en-US,115207874457233832213,https://lh3.googleusercontent.com/a-/ALV-UjWNyEq_LWj2ILKkstiHVRcLwp9mRaWn4Xbap51SwyihMA=s40-c-rp-mo-br100,5,"La verdad es que, no sé como este hospital sigue en pie. De media, vas a esperar 4 horas como mínimo y si tienes suerte.
Si vas a urgencias, mejor cambia de hospital. Porque tus 6 horas vas a estar ahí plantado, sin poder hablar con nadie y sin movimiento alguno de gente que entre a ser atendido.
Las personas que esperaban conmigo, llevaban esperando más de 4 horas. Y esto, no es de un día puntual. Solo hay que leer el resto de reseñas. Esto parece ser una situación normal en este edificio vacío y sin atención mínima. No se le puede calificar de hospital.","The truth is, I don't know how this hospital is still standing. On average, you will wait at least 4 hours and if you are lucky.
If you go to the emergency room, it's better to change hospitals. Because for 6 hours you will be standing there, without being able to talk to anyone and without any movement of people coming in to be attended to.
The people who were waiting with me had been waiting for more than 4 hours. And this is not from a specific day. You just have to read the rest of the reviews. This seems to be a normal situation in this empty and minimally attended building. It cannot be described as a hospital.",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4cWIzZjdRRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICxqb3f7QE%7CCgsIwK6kowYQ6OrIWg%7C?hl=en-US,1.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4cWIzZjdRRRAB,Muy racista no ceria atender me y estuve muriendo de dolor,,Afritish,https://www.google.com/maps/contrib/103094275381383120113?hl=en-US,103094275381383120113,https://lh3.googleusercontent.com/a-/ALV-UjUmXhBz7Ajk9lQ53ZLuL1zBhaarfOst-sWF1R74tpcDhbg=s40-c-rp-mo-br100,5,Muy racista no ceria atender me y estuve muriendo de dolor,"Very racist, he couldn't help me and I was dying of pain.",['https://lh5.googleusercontent.com/p/AF1QipNm6OXMddhHjuPT8sWFTFvrd9tgAwpmEc9-W5ly=w100-h100-p-n-k-no'],1.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4cVpMY3pRRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICxqZLczQE%7CCgwIzP2jowYQ-NHotgM%7C?hl=en-US,1.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4cVpMY3pRRRAB,Este hospital es penoso vergonzoso y patético que vergüenza de sanidsd ni tienen almuadas para los enfermos,2.0,Pilar Orgaz,https://www.google.com/maps/contrib/116649289791998478244?hl=en-US,116649289791998478244,https://lh3.googleusercontent.com/a/ACg8ocJlriGwi7aE8vFvZe_tt7zO06ssmSK4ZVaBWnUoLtOz=s40-c-rp-mo-br100,17,Este hospital es penoso vergonzoso y patético que vergüenza de sanidsd ni tienen almuadas para los enfermos,"This hospital is pitiful, shameful and pathetic, what a shame it is for healthcare, they don't even have pillows for the sick.",,2.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4c2Eyb3FnRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICxsa2oqgE%7CCgwI3NSgowYQ8NvtpwE%7C?hl=en-US,1.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN4c2Eyb3FnRRAB,"Llegué a las 11 de la noche por un problema y son las 4 de la mañana y sigo esperando, esto no puede ser así, antes quería comprar en las máquinas que tienen un sándwich que costaba 1.90€ y pagué en tarjeta, me cobró 3€ y no me dio ni el sándwich, esto es una vergüenza la espera más de 5h y las máquinas un timo",,Monir El Ammary aarab,https://www.google.com/maps/contrib/109697262418871015741?hl=en-US,109697262418871015741,https://lh3.googleusercontent.com/a/ACg8ocKgps4mURC39h_tP4cxhXG-criYAGHvYIeg4N0T9Fpo=s40-c-rp-mo-br100,5,"Llegué a las 11 de la noche por un problema y son las 4 de la mañana y sigo esperando, esto no puede ser así, antes quería comprar en las máquinas que tienen un sándwich que costaba 1.90€ y pagué en tarjeta, me cobró 3€ y no me dio ni el sándwich, esto es una vergüenza la espera más de 5h y las máquinas un timo","I arrived at 11 at night due to a problem and it is 4 in the morning and I am still waiting, this cannot be like this, before I wanted to buy at the machines that have a sandwich that cost €1.90 and I paid by card, they charged me €3 and he didn't even give me the sandwich, this is a shame, the wait for more than 5 hours and the machines are a scam",,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4Z2FET0NnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICxgaDOCg%7CCgwIkqeaowYQsKDdpgM%7C?hl=en-US,1.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4Z2FET0NnEAE,"No tienen profesionalidad, no tienen vocación . Lo peor que puede haber en sanidad",,MARISOL NIETO NOVILLO,https://www.google.com/maps/contrib/112750917579203476283?hl=en-US,112750917579203476283,https://lh3.googleusercontent.com/a/ACg8ocLhsyvJBLCtFad-p2qM3_ejHSgj8PkgovIag6nKVtn1=s40-c-rp-mo-ba3-br100,48,"No tienen profesionalidad, no tienen vocación . Lo peor que puede haber en sanidad","They have no professionalism, they have no vocation. The worst thing there can be in healthcare",,7.0,True
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4aHRuM0R3EAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICxhtn3Dw%7CCgsIlpONowYQsOXXUw%7C?hl=en-US,1.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4aHRuM0R3EAE,"El peor hospital de la Comunidad de Madrid. Las listas de espera quirúrgica publicadas son mentira. Más de seis meses. No te cogen el teléfono, no te solucionan. Más de un año para una resonancia magnética. Los ciudadanos que tienen este Hospital de referencia no tienen prácticamente atención sanitaria, una estafa.",13.0,Sonia Peñalver,https://www.google.com/maps/contrib/102623171886831524718?hl=en-US,102623171886831524718,https://lh3.googleusercontent.com/a/ACg8ocInVxvx-OXpPdchMD382-UMhGXwmCnTkP1RF3CUTZIC=s40-c-rp-mo-br100,3,"El peor hospital de la Comunidad de Madrid. Las listas de espera quirúrgica publicadas son mentira. Más de seis meses. No te cogen el teléfono, no te solucionan. Más de un año para una resonancia magnética. Los ciudadanos que tienen este Hospital de referencia no tienen prácticamente atención sanitaria, una estafa.","The worst hospital in the Community of Madrid. The published surgical waiting lists are lies. More than six months. They don't answer the phone, they don't solve you. More than a year for an MRI. The citizens who have this reference Hospital have practically no health care, a scam.",,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4MUpqemNnEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgICx1Jjzcg%7CCgwI5aLzogYQwOO80QI%7C?hl=en-US,1.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN4MUpqemNnEAE,"Estuve ingresada hace bastantes años por un problema puntual de salud, y no tengo nada malo que decir, todo lo contrario. El problema son las urgencias… la gestión es nefasta, si tienes algo grave y urgente de verdad, reza porque no te pase algo antes. He llegado a tirarme 4 horas en la sala de espera sin mirarme , con muchísima fiebre y una posible apendicitis, y eso que no había mucha gente como para que esté tan saturado. Cuando llegó mi turno, el personal desganado y bromeando entre ellos, como si les fastidiara mucho tener que quedarse a trabajar. En total me tiré unas 6 horas en urgencias. Quizá por eso no funciona, porque hace falta gente con vocación y ganas de ayudar a los demás.",12.0,Silvia Acevedo,https://www.google.com/maps/contrib/112478554944775539711?hl=en-US,112478554944775539711,https://lh3.googleusercontent.com/a/ACg8ocIncoDIKqEqvfdAMqpf3Z5-XKeeYRZrwc1hjB49iSB6=s40-c-rp-mo-br100,4,"Estuve ingresada hace bastantes años por un problema puntual de salud, y no tengo nada malo que decir, todo lo contrario. El problema son las urgencias… la gestión es nefasta, si tienes algo grave y urgente de verdad, reza porque no te pase algo antes. He llegado a tirarme 4 horas en la sala de espera sin mirarme , con muchísima fiebre y una posible apendicitis, y eso que no había mucha gente como para que esté tan saturado. Cuando llegó mi turno, el personal desganado y bromeando entre ellos, como si les fastidiara mucho tener que quedarse a trabajar. En total me tiré unas 6 horas en urgencias. Quizá por eso no funciona, porque hace falta gente con vocación y ganas de ayudar a los demás.","I was admitted several years ago for a specific health problem, and I have nothing bad to say, quite the opposite. The problem is emergencies... the management is disastrous, if you have something seriously serious and urgent, pray that something doesn't happen to you sooner. I have spent 4 hours in the waiting room without looking at myself, with a high fever and possible appendicitis, and there were not many people to make it so saturated. When my turn came, the staff was listless and joking among themselves, as if it bothered them a lot to have to stay to work. In total I spent about 6 hours in the emergency room. Maybe that's why it doesn't work, because we need people with a vocation and desire to help others.",,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSOTlXUm1RRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDR99WRmQE%7CCgwI5bnYogYQuIeY1QI%7C?hl=en-US,3.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSOTlXUm1RRRAB,Rápida atención médica,,Juan Miguel Banegas Heradio,https://www.google.com/maps/contrib/101929652861679814264?hl=en-US,101929652861679814264,https://lh3.googleusercontent.com/a/ACg8ocISmGXnjuEKGDL4il0_EMQW6S0BlxgGSBTBa1Zt9D8U=s40-c-rp-mo-ba3-br100,69,Rápida atención médica,Quick medical attention,,9.0,True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSeDdXeHFRRRAB!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDRx7WxqQE%7CCgwI0_vSogYQ-LTmrAM%7C?hl=en-US,2.0,9 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURSeDdXeHFRRRAB,"Referido a los análisis clínicos.
Nos tienen que borregos en una cola y de pie, cuando están dotados de sistema de llamada.
Vergonzoso.",,Jose Madrid,https://www.google.com/maps/contrib/115660635218695126493?hl=en-US,115660635218695126493,https://lh3.googleusercontent.com/a/ACg8ocIR0qrl4rcUCNAY2QDskaUR_IqDcYxRH-jXj5k11Bub=s40-c-rp-mo-ba5-br100,115,"Referido a los análisis clínicos.
Nos tienen que borregos en una cola y de pie, cuando están dotados de sistema de llamada.
Vergonzoso.","Referring to clinical analyses.
They have to us sheep in a queue and standing, when they are equipped with a call system.
Shameful.",,81.0,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURScTh5ckxBEAE!2m1!1s0x0:0xfab3127fb18b149a!3m1!1s2@1:CIHM0ogKEICAgIDRq8yrLA%7CCgsIz-DLogYQsN73Vw%7C?hl=en-US,1.0,9 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURScTh5ckxBEAE,Desde las 17 de la tarde n son casi las 2 de la mañana y aún sigo aquí  es vergonzoso. Un posible cólico nefrítico y aquí horas y horas. Pacientes con sondas empapados por falta de personal . Ancianos abandonados durante horas  análisis en los pasillos.  Es tercermundista lo de este hospital,1.0,Raquel Gala,https://www.google.com/maps/contrib/108113348569784168905?hl=en-US,108113348569784168905,https://lh3.googleusercontent.com/a/ACg8ocJm-9ZcgWkjNJoT8Y1ITBuYIUzgeAI87gmXhlqPhzAm=s40-c-rp-mo-br100,12,Desde las 17 de la tarde n son casi las 2 de la mañana y aún sigo aquí  es vergonzoso. Un posible cólico nefrítico y aquí horas y horas. Pacientes con sondas empapados por falta de personal . Ancianos abandonados durante horas  análisis en los pasillos.  Es tercermundista lo de este hospital,"Since 5pm it's almost 2am and I'm still here, it's embarrassing. A possible renal colic and here for hours and hours. Patients with soaked tubes due to lack of personnel. Elderly people abandoned for hours analysis in the hallways. This hospital is third world",,4.0,
