,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide,images,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURkdUxqZTRBRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDduLje4AE%7CCgwIsbbUrgYQiLTP-gE%7C?hl=en-US,5.0,a week ago,Google,ChdDSUhNMG9nS0VJQ0FnSURkdUxqZTRBRRAB,"Agradecida por el trato de todo el equipo de neonatos y ginecología. Mi parto fue de 10 y el trato a mis mellizos cuando estuvieron ingresados inmejorable, les cuidaron muy bien. Sin duda un hospital muy bueno. ¡Gracias equipo!",Tamara Monasterio,https://www.google.com/maps/contrib/103044350870808575286?hl=en-US,103044350870808575286,https://lh3.googleusercontent.com/a-/ALV-UjWqMmc0FAECObD-kbUdHQfxL2ViOzg3weFvc2kAOREoLSQ=s40-c-rp-mo-br100,13,2.0,"Agradecida por el trato de todo el equipo de neonatos y ginecología. Mi parto fue de 10 y el trato a mis mellizos cuando estuvieron ingresados inmejorable, les cuidaron muy bien. Sin duda un hospital muy bueno. ¡Gracias equipo!","Grateful for the treatment of the entire neonatal and gynecology team. My birth was a 10 and the treatment of my twins when they were admitted was unbeatable, they were taken very good care of. Without a doubt a very good hospital. Thanks team!",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkcl9iV3BBRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICdr_bWpAE%7CCgsIysfNrgYQgNDwMw%7C?hl=en-US,1.0,a week ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkcl9iV3BBRRAB,"Tengo 3 horas y media esperando, muy mal servicio me vieron en urgencias y ni siquiera se detuvo a verme bien no tardó ni un minuto en pasarme a otro servicio ya tendré que esperar más todavía, una señora no podía ni caminar y ni una silla de ruedas le ofrecieron solo la veían y le decían pase pase de verdad!!!!! Que sucede hoy en día!! primero se cura solo el enfermo antes que le atiendan",Erle,https://www.google.com/maps/contrib/107393765707720392049?hl=en-US,107393765707720392049,https://lh3.googleusercontent.com/a/ACg8ocL33BOljTTIP_4m88AzeL1IImZ3qu9EPFSib6f-SLQd=s40-c-rp-mo-br100,3,,"Tengo 3 horas y media esperando, muy mal servicio me vieron en urgencias y ni siquiera se detuvo a verme bien no tardó ni un minuto en pasarme a otro servicio ya tendré que esperar más todavía, una señora no podía ni caminar y ni una silla de ruedas le ofrecieron solo la veían y le decían pase pase de verdad!!!!! Que sucede hoy en día!! primero se cura solo el enfermo antes que le atiendan","I have been waiting for 3 and a half hours, very bad service, they saw me in the emergency room and they didn't even stop to check on me, it didn't take even a minute to transfer me to another service, I will have to wait even longer, a lady couldn't even walk and there wasn't even a chair. wheels they offered her, they only saw her and told her pass, really pass!!!!! What is happening today!! First the patient is cured alone before being treated",,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkZzRMT0VBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICdg4LOEA%7CCgwIn-fDrgYQiKypzQI%7C?hl=en-US,3.0,a week ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkZzRMT0VBEAE,,Alfredo Barrios Rosquett,https://www.google.com/maps/contrib/110482890853759421653?hl=en-US,110482890853759421653,https://lh3.googleusercontent.com/a/ACg8ocJ6V90a2EAuISOXOX0KRh6uywKNC1KF-lefTHRcS3mN=s40-c-rp-mo-br100,13,2.0,,,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkallQbmxnRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICdjYPnlgE%7CCgsI0KjBrgYQ8JPIaA%7C?hl=en-US,4.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNkallQbmxnRRAB,,Antonio GM,https://www.google.com/maps/contrib/109433771664951585577?hl=en-US,109433771664951585577,https://lh3.googleusercontent.com/a-/ALV-UjUng_795BoH3d0cjA3J1GFjMPuJ5WldnFgJGNuj-fUJuH4=s40-c-rp-mo-ba5-br100,41,1.0,,,True,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkbGFITEtREAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICdlaHLKQ%7CCgsIz8e_rgYQwPL6Fw%7C?hl=en-US,5.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkbGFITEtREAE,,Alexandra NP,https://www.google.com/maps/contrib/103953615855008785638?hl=en-US,103953615855008785638,https://lh3.googleusercontent.com/a-/ALV-UjWbtI3zEDm20RqScXZuYTp5JnHWXkoQAJmsihvmNHpN2K0=s40-c-rp-mo-br100,53,,,,,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkdnNHUVdREAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICdvsGQWQ%7CCgsI3bm4rgYQgNfTLg%7C?hl=en-US,3.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkdnNHUVdREAE,,Jesus Gallego,https://www.google.com/maps/contrib/109877902980560551130?hl=en-US,109877902980560551130,https://lh3.googleusercontent.com/a/ACg8ocK0vBzEwjP3CAlw_asfDmJnpYTZUoHR-WrQIwv6tHiotw=s40-c-rp-mo-ba5-br100,103,159.0,,,True,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNkNVAzUVp3EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICd5P3QZw%7CCgwI7fOnrgYQ0KaArwI%7C?hl=en-US,5.0,2 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNkNVAzUVp3EAE,,Juan Cuesta,https://www.google.com/maps/contrib/104720300555556192771?hl=en-US,104720300555556192771,https://lh3.googleusercontent.com/a-/ALV-UjXiPCQkMe6kPi4iIbU1U7GgXf8innz_F3Ud8LR-f1tL4w=s40-c-rp-mo-ba5-br100,99,1152.0,,,True,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxbHR2MzlnRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIC1ltv39gE%7CCgwInsGkrgYQyOHglQE%7C?hl=en-US,5.0,2 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxbHR2MzlnRRAB,"Gracias al equipo médico, oncologico , y todos los que me llevan en este área por todo su trabajo , cuidados y cariño.
No se puede describir lo que significa todo esto, hasta que no pasas una batalla tan dura como el cáncer.Sois lo mejor y los corazones más grandes y bonitos que tenemos en los hospitales. Millón de gracias por vuestro esfuerzo, vuestra humanidad, labor, trabajo y dedicación. No seguimos viendo. Feliz año 2024 corazones bonitos!!!❤️♾️⭐️",Mara,https://www.google.com/maps/contrib/100133031818246130185?hl=en-US,100133031818246130185,https://lh3.googleusercontent.com/a-/ALV-UjVIxbo0y9xTGvc3u9mMV08tF5lUhZRH1g4Bh31g7mPGc9xS=s40-c-rp-mo-ba5-br100,193,246.0,"Gracias al equipo médico, oncologico , y todos los que me llevan en este área por todo su trabajo , cuidados y cariño.
No se puede describir lo que significa todo esto, hasta que no pasas una batalla tan dura como el cáncer.Sois lo mejor y los corazones más grandes y bonitos que tenemos en los hospitales. Millón de gracias por vuestro esfuerzo, vuestra humanidad, labor, trabajo y dedicación. No seguimos viendo. Feliz año 2024 corazones bonitos!!!❤️♾️⭐️","Thanks to the medical and oncology team, and everyone who leads me in this area for all their work, care and affection.
You cannot describe what all this means, until you go through a battle as hard as cancer. You are the best and the biggest and most beautiful hearts we have in the hospitals. Thank you very much for your effort, your humanity, work, work and dedication. We don't continue watching. Happy new year 2024 beautiful hearts!!!❤️♾️⭐️",True,"['https://lh5.googleusercontent.com/p/AF1QipPpOH8pQLG-NMMZxdn4ylGz-Vcke_F-MaD5cifv=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNzN5EXtkhS01fEsVqQsuY_gd_YXwcuPPf90hXM=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMvjX5J-fJxokPPNzUy8o5OVFXZ4WrF4fCWGbB1=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOKMcel9SNiBbsJh_SPw5ommnsvJHD6zLnMJolP=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPgujhNdITZMHDkYMuNH7toEiiqKa6LqBYPMISQ=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMl1bL05WOXN0gaXEVvORxmtD_aeNxW3IzFAy1C=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMQTw_1H2QOeUKbMhHgPx8c2DP-kXfvP0hBPEUQ=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipML4ULvKESDrIcT5_jyHxIPId_TxtT2P7zuRfQG=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOZtE1lPodb55hJtgs74K6gKuDSeBfUXGwzLCYF=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNUWkEVeQs7PlHIk1DYNb6gbe_rMBqcO2ArfeRf=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOhldw954rkIIuWCVLPV5MCeITA6X56aomy4N57=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOXVCallCeDGk1gu155tK41M8zvc1HS_2zO6GLW=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO_nPxHSmxRhG843aHoXK9eiCqww_dCiAN8Tz2v=w100-h100-p-n-k-no']",4.0
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0czdydEVBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDts7rtEA%7CCgwIws2KrgYQsIidxAE%7C?hl=en-US,4.0,3 weeks ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR0czdydEVBEAE,Todo bien,José Carlos Paredes Acero (JCPA),https://www.google.com/maps/contrib/118100456148262860594?hl=en-US,118100456148262860594,https://lh3.googleusercontent.com/a-/ALV-UjXNo-MpCf3BAwy8x8M3K7ShIbSWdUAOLt4LSlrPnxohzA=s40-c-rp-mo-ba4-br100,74,131.0,Todo bien,All good,True,,1.0
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR0N1pDXzBRRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDt7ZC_0QE%7CCgsIheuHrgYQ0OiUJw%7C?hl=en-US,1.0,3 weeks ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR0N1pDXzBRRRAB,"COMIDA DEL HOSPITAL
Es una verguenza la calidad de la comida. Comida incomestible. La elaboración es mala de narices, hasta llegar al punto que se le tiene que llevar a los pacientes ingresados la comida de casa.
Eso sin hablar ya de la cafetería, calidad cantidad y precios de verguenza nuevamente. El hospital está aislado y no hay otra opción en los alrededores de restauración sin que haya que desplazarse en coche. La Comunidad de Madrid debería exigir unos mínimos para adjudicar este tipo de concesiones. Tanto los pacientes como familiares no estamos de ocio, si no por necesidad.
Nuevamente otro ejemplo más, donde prima más el beneficio de un empresario a las necesidades de los ciudadanos.",Beatriz Lara,https://www.google.com/maps/contrib/105861740088907881798?hl=en-US,105861740088907881798,https://lh3.googleusercontent.com/a/ACg8ocLSpLUTfb_k8yGqTXSfGDInTgtLrWxAwBNtXQkH2ggo=s40-c-rp-mo-br100,9,,"COMIDA DEL HOSPITAL
Es una verguenza la calidad de la comida. Comida incomestible. La elaboración es mala de narices, hasta llegar al punto que se le tiene que llevar a los pacientes ingresados la comida de casa.
Eso sin hablar ya de la cafetería, calidad cantidad y precios de verguenza nuevamente. El hospital está aislado y no hay otra opción en los alrededores de restauración sin que haya que desplazarse en coche. La Comunidad de Madrid debería exigir unos mínimos para adjudicar este tipo de concesiones. Tanto los pacientes como familiares no estamos de ocio, si no por necesidad.
Nuevamente otro ejemplo más, donde prima más el beneficio de un empresario a las necesidades de los ciudadanos.","HOSPITAL FOOD
The quality of the food is a shame. Inedible food. The preparation is bad as hell, to the point where food from home has to be brought to hospitalized patients.
Not to mention the cafeteria, quality, quantity and shameful prices again. The hospital is isolated and there is no other option in the surrounding area for catering without having to travel by car. The Community of Madrid should require minimums to award this type of concessions. Both patients and family members are not out of leisure, but out of necessity.
Again another example, where the profit of a businessman takes precedence over the needs of the citizens.",,,
