,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,images,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobE1fRWh3RRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhlM_EhwE%7CCgsIzteBoAYQ8O-AWg%7C?hl=en-US,5.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURobE1fRWh3RRAB,"Desde mi diagnóstico hecho allí con toda la celeridad del caso he recibido de cada uno de los especialistas que me atendieron una excelente atención.
Quiero agradecer a través de este medio mi gratitud al dr. Carlos Ortiz, su dedicación, calidad humana fue de otro nivel....al personal de planta 2 E a Mónica, Sara,Ana,Adrián,Alberto...ellos lograron que mi recuperación fuera de 10....Ustedes los mejores!!!!!",4.0,asiray marco perez,https://www.google.com/maps/contrib/101686787556207511286?hl=en-US,101686787556207511286,https://lh3.googleusercontent.com/a/ACg8ocIjbgN0Xik3beUPhUiGPIhXTrFB4ggxK3w-UJIn-4oU=s40-c-rp-mo-br100,4,4.0,"Desde mi diagnóstico hecho allí con toda la celeridad del caso he recibido de cada uno de los especialistas que me atendieron una excelente atención.
Quiero agradecer a través de este medio mi gratitud al dr. Carlos Ortiz, su dedicación, calidad humana fue de otro nivel....al personal de planta 2 E a Mónica, Sara,Ana,Adrián,Alberto...ellos lograron que mi recuperación fuera de 10....Ustedes los mejores!!!!!","Since my diagnosis was made there with all the speed of the case, I have received excellent care from each of the specialists who treated me.
I want to thank through this means my gratitude to Dr. Carlos Ortiz, his dedication, human quality was of another level....to the staff of plant 2 E to Mónica, Sara, Ana, Adrián, Alberto...they made my recovery a 10....You are the best !!!!!",,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoZ0xuT093EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhgLnOOw%7CCgwIlMH8nwYQsJr3ngM%7C?hl=en-US,3.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoZ0xuT093EAE,"sanitariamente bien, limpieza de urgencias nefastas, la silla donde está mi padre tiene pelos de hace un año. Asqueroso.",1.0,Esther Chinarro Diaz,https://www.google.com/maps/contrib/114847483794783288628?hl=en-US,114847483794783288628,https://lh3.googleusercontent.com/a/ACg8ocIs2kQZqKUHez0VcNbeuE4MovHazgLbAERn5cfP_a2h=s40-c-rp-mo-br100,9,2.0,"sanitariamente bien, limpieza de urgencias nefastas, la silla donde está mi padre tiene pelos de hace un año. Asqueroso.","sanitary good, cleaning of disastrous emergencies, the chair where my father is sitting has hair from a year ago. Disgusting.","['https://lh5.googleusercontent.com/p/AF1QipPj9m06ggss73OCmVPxH6fNF-fvivz7hGqHd2BG=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP-JD_GD2ECjzfij2RUpGYsfIFQ3hBxhgh-d9Nh=w100-h100-p-n-k-no']",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoME5QRjVnRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDh0NPF5gE%7CCgwI7_DynwYQyNbo2QE%7C?hl=en-US,1.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoME5QRjVnRRAB,Y por que no le puedo poner un 0 me parece que el hospital tiene una gestión nefasta por no decir patética. Dan citas para el el año que viene gracias Ayuso por cuidar de los mayores,4.0,Jose Maria Del Rio,https://www.google.com/maps/contrib/112278050254745478936?hl=en-US,112278050254745478936,https://lh3.googleusercontent.com/a-/ALV-UjWfhRM1LlSUzTEu6p_QWdeDLkK8ragQBbAd_03q81xa41k=s40-c-rp-mo-br100,3,,Y por que no le puedo poner un 0 me parece que el hospital tiene una gestión nefasta por no decir patética. Dan citas para el el año que viene gracias Ayuso por cuidar de los mayores,"And because I can't give it a 0, it seems to me that the hospital has disastrous, if not pathetic, management. They give appointments for next year, thank you Ayuso for taking care of the elderly",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURob0tIWmRnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhoKHZdg%7CCgwI_q7vnwYQuNPe1AE%7C?hl=en-US,4.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURob0tIWmRnEAE,,,maria Sas,https://www.google.com/maps/contrib/103487993077341092602?hl=en-US,103487993077341092602,https://lh3.googleusercontent.com/a-/ALV-UjUzWlC4X1vB0qZnglEcGL6nJF_B3rOEET4m8PUgOdMky0sH=s40-c-rp-mo-ba5-br100,249,406.0,,,,True
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoZ05yQVF3EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIDhgNrAQw%7CCgsI-MftnwYQsKmqPw%7C?hl=en-US,4.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoZ05yQVF3EAE,Muy grande y bien señal8zado..En uno de los parkings la primera hora es gratuita,1.0,Alvaro fernandez olivar,https://www.google.com/maps/contrib/101708065534988084745?hl=en-US,101708065534988084745,https://lh3.googleusercontent.com/a-/ALV-UjU4Z272uM1CGfjZuFkHM8WUUSjAoGUFDA9MyoMUByki9qUo=s40-c-rp-mo-ba6-br100,263,1679.0,Muy grande y bien señal8zado..En uno de los parkings la primera hora es gratuita,Very large and well signposted. In one of the car parks the first hour is free,,True
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoOTliV0J3EAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICh99bWBw%7CCgwI0MLknwYQuLOdiQI%7C?hl=en-US,1.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNoOTliV0J3EAE,2 horas de espera para recibir pastillas y no queda nada para morir,1.0,Dani Santos,https://www.google.com/maps/contrib/104057543974936282860?hl=en-US,104057543974936282860,https://lh3.googleusercontent.com/a-/ALV-UjXs1nTCtnbmQ-bhxNMNn2Z8HO4q2E7t-vccDvNBN66QmD4=s40-c-rp-mo-br100,1,,2 horas de espera para recibir pastillas y no queda nada para morir,2 hours of waiting to receive pills and there is nothing left to die,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoOS1EYnJBRRAB!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgICh9-DbrAE%7CCgwI2JPknwYQsNezpgE%7C?hl=en-US,1.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNoOS1EYnJBRRAB,"Indignante la atención sanitaria de este centro como explican es un cuadro viral se le pasará sólo, cuando una niña de 5 años lleva presentando cuadros febriles durante 15 días, con vómitos, con dificultad para respirar, deshidratacion la llevas 4 veces el mismo mes por urgencia pediátrica con fiebre de 39,6 y te digan es un cuadro viral.

Que ni siquiera una orden de analítica ni observación de al menos 1 hora son capaces de hacer, y te llegan y dicen esperemos 4 días más, te mandan a casa y la niña aún con fiebre alguien que me explique esto por favor díganme a que tenemos que esperar a que los niños se nos mueran en nuestra casa? Por una fiebre que ellos no quieren controlar",6.0,scarlet,https://www.google.com/maps/contrib/101003674544122912856?hl=en-US,101003674544122912856,https://lh3.googleusercontent.com/a/ACg8ocKADatoiwQuaylVqmtzn-2g6OgjQR_p_vi4XfEu9vic=s40-c-rp-mo-br100,2,,"Indignante la atención sanitaria de este centro como explican es un cuadro viral se le pasará sólo, cuando una niña de 5 años lleva presentando cuadros febriles durante 15 días, con vómitos, con dificultad para respirar, deshidratacion la llevas 4 veces el mismo mes por urgencia pediátrica con fiebre de 39,6 y te digan es un cuadro viral.

Que ni siquiera una orden de analítica ni observación de al menos 1 hora son capaces de hacer, y te llegan y dicen esperemos 4 días más, te mandan a casa y la niña aún con fiebre alguien que me explique esto por favor díganme a que tenemos que esperar a que los niños se nos mueran en nuestra casa? Por una fiebre que ellos no quieren controlar","The health care of this center is outrageous, as they explain, it is a viral condition, it will only go away, when a 5-year-old girl has been presenting feverish symptoms for 15 days, with vomiting, difficulty breathing, dehydration, you take her 4 times in the same month for emergency pediatric with a fever of 39.6 and they tell you it is a viral condition.

That not even an analysis order or observation of at least 1 hour are capable of being done, and they come to you and say let's wait 4 more days, they send you home and the girl still has a fever, someone explain this to me, please tell me what we have What to wait for the children to die in our house? For a fever that they don't want to control",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNobC1YZGJnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIChl-Xdbg%7CCgwI_JfinwYQiNmqngI%7C?hl=en-US,2.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNobC1YZGJnEAE,En en momento de llegar hay una fila muy larga no tengo información de como hacer porque es la primera vez que acudo a este centro de salud no sabia que hacer la señorita que me dio el turno fue mi salvación muy gentil pero me toco esperar arto seria bueno que siempre abordarán un paciente que se sienta desorientado muchas gracias.,1.0,Angie Calderón,https://www.google.com/maps/contrib/111696256769177743703?hl=en-US,111696256769177743703,https://lh3.googleusercontent.com/a-/ALV-UjU7muyPkuM8rt754jRzUoCFDWUZI3weFv85gGuqWuDI1Ig=s40-c-rp-mo-ba4-br100,46,59.0,En en momento de llegar hay una fila muy larga no tengo información de como hacer porque es la primera vez que acudo a este centro de salud no sabia que hacer la señorita que me dio el turno fue mi salvación muy gentil pero me toco esperar arto seria bueno que siempre abordarán un paciente que se sienta desorientado muchas gracias.,"At the time of arrival there is a very long line, I have no information on how to do it because it is the first time I go to this health center, I did not know what to do. The lady who gave me my turn was my salvation, very kind, but I had to wait very seriously. Good that they will always approach a patient who feels disoriented, thank you very much.",,True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNocDZiRVhBEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIChp6bEXA%7CCgwI5bLfnwYQiJqWggI%7C?hl=en-US,5.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNocDZiRVhBEAE,Me han tratado de maravilla.,2.0,Susana Barroso Cabo,https://www.google.com/maps/contrib/111299479291436557821?hl=en-US,111299479291436557821,https://lh3.googleusercontent.com/a/ACg8ocJyL9yzpogJtlUY8qrqSSYNDSqsbFXeeho1BP6OhQ48=s40-c-rp-mo-ba4-br100,116,1.0,Me han tratado de maravilla.,They have treated me wonderfully.,,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNody1tWkVnEAE!2m1!1s0x0:0xc2076009cb9792c2!3m1!1s2@1:CIHM0ogKEICAgIChw-mZEg%7CCgwI1bHPnwYQuJ_ljAM%7C?hl=en-US,1.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNody1tWkVnEAE,Llegas con una rinitis alérgica después de haberte hecho las pruebas de alergia hacia dos horas en el hospital y diciéndote los médicos q cualquier cosa anormal vayas a las 3 hora todavía sin atender en urgencias vergonzoso,1.0,Ana palomeras,https://www.google.com/maps/contrib/110752271427729780746?hl=en-US,110752271427729780746,https://lh3.googleusercontent.com/a/ACg8ocKEAAorpPJFastjwInDnIefPWqlykdiunZ4Fowz4-CK=s40-c-rp-mo-br100,13,,Llegas con una rinitis alérgica después de haberte hecho las pruebas de alergia hacia dos horas en el hospital y diciéndote los médicos q cualquier cosa anormal vayas a las 3 hora todavía sin atender en urgencias vergonzoso,"You arrive with allergic rhinitis after having had allergy tests done two hours ago at the hospital and the doctors telling you that if there is anything abnormal, go at 3 hours still without attending to the emergency room, embarrassing.",,
