,link,rating,date,images,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,likes,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4X3E3YjFnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICx_q7b1gE%7CCgwIkeqZowYQyLGj_wI%7C?hl=en-US,5.0,9 months ago,['https://lh5.googleusercontent.com/p/AF1QipMO6w2AQMVtF9Zo4zc84hkvRiJ5AYBnID0ZaIBI=w100-h100-p-n-k-no'],Google,ChdDSUhNMG9nS0VJQ0FnSUN4X3E3YjFnRRAB,Me gusta mucho,manolo castillo,https://www.google.com/maps/contrib/117563294778211613109?hl=en-US,117563294778211613109,https://lh3.googleusercontent.com/a-/ALV-UjVARZI2Ih3M73NFSEUoPquJSfqaZ7o8NULnJsfKwaT_7RQ=s40-c-rp-mo-br100,6,9.0,Me gusta mucho,I like it a lot,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4NXBub2l3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICx5pnoiwE%7CCgwI0ZOPowYQoL2ukQI%7C?hl=en-US,5.0,9 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUN4NXBub2l3RRAB,"Hospital de atención universal, desbordado. Si es guardia Recomiendo ir en el horario de menor demanda al ingreso, eso sucede entre las 7 am hasta 10 am más o menos,
Yo vengo de varios días de fiebre muy alta, me han atendido 10 puntos, no han encontrado el motivo pero me están haciendo nuevas analíticas, me siento cuidado, gracias a la salud pública catalana",Ariel Antolin,https://www.google.com/maps/contrib/117802986223519196355?hl=en-US,117802986223519196355,https://lh3.googleusercontent.com/a/ACg8ocJhdgiLKA8yaYRa_7aKpDqlUi4rBfvRHA4FdtShky4pYw=s40-c-rp-mo-br100,5,11.0,"Hospital de atención universal, desbordado. Si es guardia Recomiendo ir en el horario de menor demanda al ingreso, eso sucede entre las 7 am hasta 10 am más o menos,
Yo vengo de varios días de fiebre muy alta, me han atendido 10 puntos, no han encontrado el motivo pero me están haciendo nuevas analíticas, me siento cuidado, gracias a la salud pública catalana","Universal care hospital, overwhelmed. If you are a guard, I recommend going during the time of least demand at the entrance, that happens between 7 am to 10 am more or less,
I come from several days of very high fever, they have treated me for 10 points, they have not found the reason but they are doing new tests on me, I feel cared for, thanks to the Catalan public health",1.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4cHRqck9REAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICxptjrOQ%7CCgwI3KKOowYQuNmKmQI%7C?hl=en-US,5.0,9 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUN4cHRqck9REAE,,Mirna Asti,https://www.google.com/maps/contrib/109053509988084532213?hl=en-US,109053509988084532213,https://lh3.googleusercontent.com/a/ACg8ocIYm57E560rkW4Aq9FY2VW2OvtOPJtRTtrQ-OZWBgBd=s40-c-rp-mo-ba4-br100,52,481.0,,,,True
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4N0l5LUtREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICx7Iy-KQ%7CCgwIzfL4ogYQyKPrsQI%7C?hl=en-US,1.0,9 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUN4N0l5LUtREAE,Eviteu les Urgències d'aquest Hospital a qualsevol preu. Són les pitjors que hi ha.,Lluís Català,https://www.google.com/maps/contrib/111107843562217771109?hl=en-US,111107843562217771109,https://lh3.googleusercontent.com/a-/ALV-UjUzoQ2oDGJXkj-0weqyuF6QEZxduCY0n_6XrMVmnMKo4zg=s40-c-rp-mo-br100,58,20.0,Eviteu les Urgències d'aquest Hospital a qualsevol preu. Són les pitjors que hi ha.,Avoid the Emergency Department of this Hospital at all costs. They are the worst there are.,1.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4aU9icEF3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICxiObpAw%7CCgwIsZXoogYQ6JSAvgI%7C?hl=en-US,1.0,9 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSUN4aU9icEF3EAE,Mala,Juan Derio,https://www.google.com/maps/contrib/105264983690748421111?hl=en-US,105264983690748421111,https://lh3.googleusercontent.com/a/ACg8ocK3Xdj7noYOic5ZL6GEqG9C7-FtURD3OpEIbsg8tvpv=s40-c-rp-mo-br100,1,,Mala,Bad,1.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURScF9xRm1RRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRp_qFmQE%7CCgwI9MfTogYQ-Ny01wI%7C?hl=en-US,5.0,10 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSURScF9xRm1RRRAB,,Mathias Florin,https://www.google.com/maps/contrib/115283995379209866326?hl=en-US,115283995379209866326,https://lh3.googleusercontent.com/a-/ALV-UjW7mq3CAFJDfIEnVuKVMdJyglacITbQX3K33k_IgVcD8To=s40-c-rp-mo-br100,49,2.0,,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURScDZMRVh3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRp6LEXw%7CCgwIir3TogYQsJG35AE%7C?hl=en-US,5.0,10 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSURScDZMRVh3EAE,Personale competente efficiente disponibile e molto molto gentile,Rosalia Guglielmi,https://www.google.com/maps/contrib/101803369665431127359?hl=en-US,101803369665431127359,https://lh3.googleusercontent.com/a/ACg8ocJVhREGC8hxL-CSNXrZoGfjU4rRgBR2qQXhKRnWq-NBRw=s40-c-rp-mo-br100,5,,Personale competente efficiente disponibile e molto molto gentile,"Competent, efficient and very friendly staff",1.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSODkzRHpnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDR893DzgE%7CCgwIxNPJogYQgO7Z3gE%7C?hl=en-US,1.0,10 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSURSODkzRHpnRRAB,Después  de 5 horas me e tenido que ir a otro hospital  una vergüenza. Mucho  clinic y poco profesionales,Raul Godoy,https://www.google.com/maps/contrib/113394363010697986498?hl=en-US,113394363010697986498,https://lh3.googleusercontent.com/a/ACg8ocKnxJUayPsw76bBPyEBfMpYUSt7HgCmk9YEWXy7AwBW=s40-c-rp-mo-br100,6,,Después  de 5 horas me e tenido que ir a otro hospital  una vergüenza. Mucho  clinic y poco profesionales,"After 5 hours I had to go to another hospital, a shame. Very clinical and unprofessional",4.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSdzh5a293RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDRw8ykowE%7CCgwIkoTEogYQ-IDY8QI%7C?hl=en-US,5.0,10 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSURSdzh5a293RRAB,Excelente servicio en Urgencias. Aunque tarden en atenderte (depende de tu nivel de urgencia) ha sido todo muy ameno y un buen flujo de información,Anne Gläsel,https://www.google.com/maps/contrib/112393625323717801783?hl=en-US,112393625323717801783,https://lh3.googleusercontent.com/a-/ALV-UjXm5-VHGnah_DfPiFNABZZ0zHiX1Am8LjBGsnjTYppcCUk=s40-c-rp-mo-ba3-br100,49,21.0,Excelente servicio en Urgencias. Aunque tarden en atenderte (depende de tu nivel de urgencia) ha sido todo muy ameno y un buen flujo de información,"Excellent emergency service. Although it takes them a while to assist you (it depends on your level of urgency), everything has been very pleasant and a good flow of information",,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQyX092aXVBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID2_OviuAE%7CCgwIhubCogYQ-NGr9wI%7C?hl=en-US,1.0,10 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUQyX092aXVBRRAB,"I left the hospital humiliated and condescended after being deferred treatment for accidental HIV exposure. Despite explaining that I needed treatment before a long series of flights, the infectious disease specialist deliberately refused to give me the Post exposure prophylaxis on time. The rather rude mediator said it was “my problem” that I could not wait for 4 hours to be seen. This is my worst experience ever at an Emergency room, all because I said I could not afford it (I’m a student).

It is already unbelievable that they let me leave untreated even after exposure. What’s downright criminal is that they subtly threatened for me through a lot of strong-arming and aggressive behaviour- just to avoid spending money on PEP medicine.

Is the Spanish medical system this flawed, even though they pretend to be concerned about public health?",Kush B,https://www.google.com/maps/contrib/102288562890755804839?hl=en-US,102288562890755804839,https://lh3.googleusercontent.com/a-/ALV-UjW7Ze5CkmKZfFGqpoMr7EH1jOouOBI4f7m49NfS_y25y99w=s40-c-rp-mo-br100,10,,,,13.0,
