,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,likes,extracted_snippet.original,extracted_snippet.translated,images,user.local_guide,user.photos
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1Z2Q3cW9RRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC5gd7qoQE%7CCgwIs76oqQYQuJeCoAM%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM1Z2Q3cW9RRRAB,Waited three hours and no one even came to talk to me.,Corey Brooks,https://www.google.com/maps/contrib/105248739152753896859?hl=en-US,105248739152753896859,https://lh3.googleusercontent.com/a/ACg8ocIi5bScLna4S80W1F3Sk3tpEBMgF6wvQXuWt0XTzGeY=s40-c-rp-mo-br100,15,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1X0lEVWdnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC5_IDUggE%7CCgwIgbmcqQYQqJOI-gI%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM1X0lEVWdnRRAB,"Ir de urgencias por traumatología es una locura, es como ir a la guerra… demasiadas horas de espera, mucho dolor aguantando, no hacen RMN de urgencia.. han desmontado toda la sanidad pública. Nada es grave para ellos si no se ve… hay muy mal triaje, las preguntas al entrar son de muy poca calidad para “encasillar” la urgencia del paciente… es un desastre.",Anna González,https://www.google.com/maps/contrib/104936440656522703132?hl=en-US,104936440656522703132,https://lh3.googleusercontent.com/a/ACg8ocIm26JNtbnXWPLFd1ITSi1SyQdwuSNjX5etvCbRYKeq=s40-c-rp-mo-br100,2,9.0,"Ir de urgencias por traumatología es una locura, es como ir a la guerra… demasiadas horas de espera, mucho dolor aguantando, no hacen RMN de urgencia.. han desmontado toda la sanidad pública. Nada es grave para ellos si no se ve… hay muy mal triaje, las preguntas al entrar son de muy poca calidad para “encasillar” la urgencia del paciente… es un desastre.","Going to the emergency room for trauma is crazy, it's like going to war... too many hours of waiting, a lot of pain to endure, they don't do emergency MRI... they have dismantled the entire public health system. Nothing is serious for them if it is not seen... there is very poor triage, the questions upon entry are of very low quality to ""pigeonhole"" the patient's urgency... it is a disaster.",,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM1ak5yRE93EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC5jNrDOw%7CCgsI8amaqQYQ-LKQRA%7C?hl=en-US,2.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUM1ak5yRE93EAE,En consultas externas nos han enviado a un despacho y nos ha atendido una administrativa Turigas muy desagradable y con 0 ganas de trabajar.,SM 80,https://www.google.com/maps/contrib/114424430576867636689?hl=en-US,114424430576867636689,https://lh3.googleusercontent.com/a-/ALV-UjUdttcLG359f17thCLc1VXuapiO4CyMXCKuSfDDGO_vNQ=s40-c-rp-mo-br100,2,,En consultas externas nos han enviado a un despacho y nos ha atendido una administrativa Turigas muy desagradable y con 0 ganas de trabajar.,In external consultations they have sent us to an office and we have been assisted by a very unpleasant Turigas administrator with 0 desire to work.,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1cFB6cDV3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIC5pPzp5wE%7CCgwI2o6VqQYQ0OutxQE%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM1cFB6cDV3RRAB,"Hoy día 10 de octubre, análisis de sangre de mi señora. Box núm.1 a las 7:30 h. una supongo que enfermera que no hace honor a esa profesión. Malas formas, mala praxis, una punción fuerte sin tacto (como nunca) muy dolorosa, y rebuscando torpemente una vena, se le comenta que está haciendo daño. Responde que debe ser culpa de la señora (?) y le dice que si no le gusta que no vuelva. Al salir sangre a chorro por todo el brazo, ( una carnicería) vuelta a entrar y en otro box, amablemente se lo han taponado. Esa señora no tiene vocación, ni empatía con los enfermos. Miedo da de pensar que pueda hacerse cargo nunca de personas mayores a su cuidado. Quizá pasa las noches sola y tiene alguna carencia. AVISO!!! OJO BOX 1 calle Córcega analiticas, dice que ella siempre esta ahí. Una desgracia para una Hospital tan afamado.",Pau Gea,https://www.google.com/maps/contrib/100106988687259816296?hl=en-US,100106988687259816296,https://lh3.googleusercontent.com/a-/ALV-UjXOODy9BVMphV3j4hBq-Cz0zPSRGQIL9NSgnM0sae-SNPE=s40-c-rp-mo-br100,7,6.0,"Hoy día 10 de octubre, análisis de sangre de mi señora. Box núm.1 a las 7:30 h. una supongo que enfermera que no hace honor a esa profesión. Malas formas, mala praxis, una punción fuerte sin tacto (como nunca) muy dolorosa, y rebuscando torpemente una vena, se le comenta que está haciendo daño. Responde que debe ser culpa de la señora (?) y le dice que si no le gusta que no vuelva. Al salir sangre a chorro por todo el brazo, ( una carnicería) vuelta a entrar y en otro box, amablemente se lo han taponado. Esa señora no tiene vocación, ni empatía con los enfermos. Miedo da de pensar que pueda hacerse cargo nunca de personas mayores a su cuidado. Quizá pasa las noches sola y tiene alguna carencia. AVISO!!! OJO BOX 1 calle Córcega analiticas, dice que ella siempre esta ahí. Una desgracia para una Hospital tan afamado.","Today, October 10, my wife's blood test. Box number 1 at 7:30 a.m. I suppose a nurse who does not honor that profession. Bad manners, bad practice, a strong puncture without touch (like never before) very painful, and clumsily searching for a vein, he is told that he is doing harm. He answers that it must be the lady's fault (?) and tells her that if she doesn't like it, she shouldn't come back. When blood spurted all over his arm, (a carnage) he went back in and in another box, they kindly covered it up. That lady has no vocation, nor empathy with the sick. It's scary to think that he could ever take care of elderly people in his care. Maybe she spends the nights alone and has some deficiency. WARNING!!! OJO BOX 1 calle Córcega analyticas, says that she is always there. A disgrace for such a famous hospital.",,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4LUsyZFN3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDx-K2dSw%7CCgsIvIeHqQYQuMS0PQ%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUR4LUsyZFN3EAE,"Querria agradecer todo el equipo del dia 31/05/2023 de cirujia!   Mi madre fue ingresada para protezis de cadera y quedo genial! Sirujano que le toco tiene manos de milagro, un Gran Profesional, y aparte super simpatico! Mil gracias a todo equipo!",Olga “Olgi”,https://www.google.com/maps/contrib/100650037320883408610?hl=en-US,100650037320883408610,https://lh3.googleusercontent.com/a-/ALV-UjUYmRKmDxANjhqeo8iHDhEG9EscGE2mzjMFlew8myQQzcDK=s40-c-rp-mo-ba2-br100,15,4.0,"Querria agradecer todo el equipo del dia 31/05/2023 de cirujia!   Mi madre fue ingresada para protezis de cadera y quedo genial! Sirujano que le toco tiene manos de milagro, un Gran Profesional, y aparte super simpatico! Mil gracias a todo equipo!","I would like to thank the entire surgery team on 05/31/2023!   My mother was admitted for hip replacements and she looked great! The surgeon who touched him has miraculous hands, a Great Professional, and also super nice! A thousand thanks to the entire team!",['https://lh5.googleusercontent.com/p/AF1QipMzHVfcblmy_eE0sx9cQGb0OxFEiINy2-TjZrue=w100-h100-p-n-k-no'],True,4.0
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURadVlpUVdREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZuYiQWQ%7CCgsI5ar1qAYQuPmpHw%7C?hl=en-US,3.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURadVlpUVdREAE,"It's ok.
Hospital is clean.
It took over 2 hours to get a doctor. (TBF, it's 3am in the morning).
They aligned the fracture and prepared a cast.
Weeks after, toe is feeling a lot better.",Rochell Bonamy,https://www.google.com/maps/contrib/103432718552948698687?hl=en-US,103432718552948698687,https://lh3.googleusercontent.com/a-/ALV-UjWcevG2yH4OVCOA-axojnYe2AwtGMxIQPXtSSC9wO_hjUE=s40-c-rp-mo-ba6-br100,382,,,,,True,1291.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaeWFhbXl3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZyaamywE%7CCgwIrvzwqAYQ4PXQsAI%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaeWFhbXl3RRAB,Hospital held by marketing policies. Very arrogant professionals. More worried about their own CV and career than about the patients.,Mónica Rodríguez Martín,https://www.google.com/maps/contrib/103163798955708257584?hl=en-US,103163798955708257584,https://lh3.googleusercontent.com/a-/ALV-UjVY9Dy6TwGPIghBpvLG2O3giTf5k-J8gzo2gVoURZ6Rgg=s40-c-rp-mo-br100,12,1.0,,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaaVpMSFd3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZiZLHWw%7CCgwIl6XwqAYQuIO4rAM%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaaVpMSFd3EAE,"Volia deixar constància de la gran professionalitat, empatía i vacació, de la infermera Pilar, de la unitat de cirugia-gastrointestinal, de la 3* planta de consultes externes.
Moltes gràcies per tot    no tinc paraules",MEI Bayerri,https://www.google.com/maps/contrib/100488538966949314720?hl=en-US,100488538966949314720,https://lh3.googleusercontent.com/a-/ALV-UjVrKd8HEIVwPQ82xYjjbtFNA27_W5vz-6H1IXj1hP5ahiE=s40-c-rp-mo-br100,8,,"Volia deixar constància de la gran professionalitat, empatía i vacació, de la infermera Pilar, de la unitat de cirugia-gastrointestinal, de la 3* planta de consultes externes.
Moltes gràcies per tot    no tinc paraules","I wanted to record the great professionalism, empathy and vacation of nurse Pilar, from the gastrointestinal surgery unit, from the 3* external consultation floor.
Thank you so much for everything    I have no words",,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaaVpDUU9REAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZiZCQOQ%7CCgsI2pHwqAYQkMPUAQ%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaaVpDUU9REAE,"Mai hi haurà paraules per descriure l’agraïment que sentim cap a l’UCI Hepàtica del Clínic. Absolutament TOT el personal ha estat proper, humà i alhora professional. Una situació delicada com és tenir un familiar ingressat en estat greu ha estat suavitzada per un personal sanitari més que a l’alçada de les circumstàncies. Crec que hem d’estar més que orgullosos de la sanitat que tenim. Gràcies de part de la família Altimir Echazarreta.",Xavier Altimir,https://www.google.com/maps/contrib/104717522419473501707?hl=en-US,104717522419473501707,https://lh3.googleusercontent.com/a-/ALV-UjXfgb5mWhemqHgjIwIiTCfsFQu0QkpDynAWD5R7jIDuI1c=s40-c-rp-mo-br100,31,,"Mai hi haurà paraules per descriure l’agraïment que sentim cap a l’UCI Hepàtica del Clínic. Absolutament TOT el personal ha estat proper, humà i alhora professional. Una situació delicada com és tenir un familiar ingressat en estat greu ha estat suavitzada per un personal sanitari més que a l’alçada de les circumstàncies. Crec que hem d’estar més que orgullosos de la sanitat que tenim. Gràcies de part de la família Altimir Echazarreta.","There will never be words to describe the gratitude we feel towards the Clinic's Liver ICU. Absolutely ALL the staff have been approachable, human and at the same time professional. A delicate situation such as having a family member admitted in a serious condition has been softened by a healthcare staff more than up to the circumstances. I think we should be more than proud of the healthcare we have. Thank you from the Altimir Echazarreta family.",,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaNGRUYk1nEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDZ4dTbMg%7CCgwI0u7rqAYQiKyC2gI%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaNGRUYk1nEAE,TRATO HORRIBLE,Oscar Elizondo cereza,https://www.google.com/maps/contrib/112048661614530957405?hl=en-US,112048661614530957405,https://lh3.googleusercontent.com/a/ACg8ocJFKG8XpW9lg9ZCyoV4NvXcXE1BBTvSb3uGjLD1YGST=s40-c-rp-mo-br100,2,,TRATO HORRIBLE,HORRIBLE TREATMENT,,,
