,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,snippet,user.reviews,extracted_snippet.original,extracted_snippet.translated,likes,user.local_guide,user.photos,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoMGFHNVhREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDh0aG5XQ%7CCgwIyumwoAYQ-K_77gI%7C?hl=en-US,5.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoMGFHNVhREAE,valeria villa,https://www.google.com/maps/contrib/107119888320927679432?hl=en-US,107119888320927679432,https://lh3.googleusercontent.com/a/ACg8ocLmebg1v_STRMCM87MzZQr99FP46rUnOG7667uWHs0Y=s40-c-rp-mo-br100,,,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoMnRUeGpRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDh2tTxjQE%7CCgwIz-uYoAYQsKOW6gI%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoMnRUeGpRRRAB,Julia Escoda,https://www.google.com/maps/contrib/103296320767534061548?hl=en-US,103296320767534061548,https://lh3.googleusercontent.com/a/ACg8ocLPaGCfaHqlqWfxJt98aGHphxfcBA2zbROuiejMTR4r=s40-c-rp-mo-br100,"Quant jo venia de Cambrils, a la clínica del dolor, vaig estar molt bé ,em van ajudar molt,gracies",1.0,"Quant jo venia de Cambrils, a la clínica del dolor, vaig estar molt bé ,em van ajudar molt,gracies","When I came from Cambrils, at the pain clinic, I was very well, they helped me a lot, thank you",,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoZ0xQRkRBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDhgLPFDA%7CCgwIrqHunwYQ6IjT9wI%7C?hl=en-US,5.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoZ0xQRkRBEAE,genius genius,https://www.google.com/maps/contrib/118265985703709916693?hl=en-US,118265985703709916693,https://lh3.googleusercontent.com/a/ACg8ocJ6aterHMbKYQKRA5kR1h-YjNH4d7b7fRFXf4145xNa=s40-c-rp-mo-ba4-br100,"Domingo 26 de febrero 2023. Turno mañanas : quiero mostrar mi agradecimiento por la dedicación y gran profesionalidad del equipo de urgencias ,sobre  todo a las doctoras Carolina Sánchez Marcos y Luisa Delgado Rivera y también a la enfermera que me atendió.",130.0,"Domingo 26 de febrero 2023. Turno mañanas : quiero mostrar mi agradecimiento por la dedicación y gran profesionalidad del equipo de urgencias ,sobre  todo a las doctoras Carolina Sánchez Marcos y Luisa Delgado Rivera y también a la enfermera que me atendió.","Sunday, February 26, 2023. Morning shift: I want to show my gratitude for the dedication and great professionalism of the emergency team, especially the doctors Carolina Sánchez Marcos and Luisa Delgado Rivera and also the nurse who treated me.",1.0,True,5.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoNzlUTkF3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICh79TNAw%7CCgsI5bfonwYQ2MvVCw%7C?hl=en-US,5.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNoNzlUTkF3EAE,suricato Conesa,https://www.google.com/maps/contrib/114911355434360550541?hl=en-US,114911355434360550541,https://lh3.googleusercontent.com/a-/ALV-UjUyZcDh-Ie8Tjy90xgOzTtZ2K5ohZ1P2f5fSKb_kGeI_w=s40-c-rp-mo-br100,El servicio siempre excelente 10/10,5.0,El servicio siempre excelente 10/10,Always excellent service 10/10,,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoaF9yV2FnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIChh_rWag%7CCgwIxOndnwYQ4OqC6gE%7C?hl=en-US,1.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNoaF9yV2FnEAE,M G,https://www.google.com/maps/contrib/114572197677610013295?hl=en-US,114572197677610013295,https://lh3.googleusercontent.com/a-/ALV-UjW0GKaNDH6dSbQMNDmZWYcJ7Ccdtrrxn4Z-Cw2d-0iQjQ=s40-c-rp-mo-ba4-br100,"Mi mujer tres horas de dolor, mareada de dolor, y no solo no le atienden sino que no son capaces de darle algo para aliciar la espera. Lamentable matadero, deberian encarcelar a los responsables",103.0,"Mi mujer tres horas de dolor, mareada de dolor, y no solo no le atienden sino que no son capaces de darle algo para aliciar la espera. Lamentable matadero, deberian encarcelar a los responsables","My wife has been in pain for three hours, dizzy with pain, and not only do they not attend to her but they are not able to give her anything to ease the wait. Deplorable slaughterhouse, those responsible should be imprisoned",3.0,True,17.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoODhXN2N3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICh88W7cw%7CCgwI5fzUnwYQgNGivAE%7C?hl=en-US,1.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNoODhXN2N3EAE,Natalia Ormaechea,https://www.google.com/maps/contrib/115869704977454102714?hl=en-US,115869704977454102714,https://lh3.googleusercontent.com/a-/ALV-UjUalgCjcM2DwjRyPpeyogWSwSucMSikgl_i82lmDetwDg=s40-c-rp-mo-br100,"4 horas 40 minutos esperé recién en urgencias para que puedan verme y me fui sin lograrlo, después de haber pedido a mas de 4 médicos. No volveré más",5.0,"4 horas 40 minutos esperé recién en urgencias para que puedan verme y me fui sin lograrlo, después de haber pedido a mas de 4 médicos. No volveré más","I waited 4 hours 40 minutes in the emergency room so they could see me and I left without success, after having asked more than 4 doctors. I won't come back again",4.0,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNobzhhdVZ3EAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICho8auVw%7CCgsIprLQnwYQuOecTw%7C?hl=en-US,5.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNobzhhdVZ3EAE,Atak Kara,https://www.google.com/maps/contrib/108288507444431636660?hl=en-US,108288507444431636660,https://lh3.googleusercontent.com/a-/ALV-UjVqraM8BWaU7wkQw4SeIwnvb6jaBkD3qrsBofRW9P-MMrot=s40-c-rp-mo-br100,"Came here for an emergency, very low waiting times and helpful staff who put me in touch with an English speaking doctor. Better than any public or private hospital I visited in London.",17.0,,,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoN1pyQVdBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICh7ZrAWA%7CCgwIrp7JnwYQ-JyEggE%7C?hl=en-US,5.0,a year ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNoN1pyQVdBEAE,Marcos Sancha,https://www.google.com/maps/contrib/104995958994007611864?hl=en-US,104995958994007611864,https://lh3.googleusercontent.com/a-/ALV-UjX-EH6gg-N4fpTiTFm0ZC-jJmpO0R5V7LEnsyr7kPD76g4=s40-c-rp-mo-ba4-br100,,76.0,,,,True,193.0,['https://lh5.googleusercontent.com/p/AF1QipNWaHxfJMeaZ5uN9M7qQiszJtN9lW2FEIDC-eFF=w100-h100-p-n-k-no']
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoell2cTl3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIChzYvq9wE%7CCgsIs_PHnwYQiI7fbg%7C?hl=en-US,1.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNoell2cTl3RRAB,Daniella Mora,https://www.google.com/maps/contrib/101220506328963635770?hl=en-US,101220506328963635770,https://lh3.googleusercontent.com/a-/ALV-UjU_U_60uNOrYlFwS8gCSteX3MJ0lYjFjQ8tmYr6xT8fCQ=s40-c-rp-mo-ba3-br100,"¡ATENCIÓN NEFASTA! Ingreso porque tengo una operación reciente al oído,  vivo en Madrid y por motivos de trabajo me encuentro en Barcelona y vengo al hospital a urgencias porque tengo dolor y se me pueden haber infectado los puntos; y en triaje una mujer muy borde me dice: no has debido de venir aquí porque tu no estas empadronada en Barcelona, ¿perdona? Si el personal que contratan no tienen vocación para atención al paciente pues que no trabajen, me parece nefasta la atención y discriminatoria, no por ser extranjera no van a hacer valer mis derechos porque se perfectamente cuales son, porque así como todos aquí en España contribuyo con todo lo que la ley me exige pagar. No les pongo 0 porque no se puede.",34.0,"¡ATENCIÓN NEFASTA! Ingreso porque tengo una operación reciente al oído,  vivo en Madrid y por motivos de trabajo me encuentro en Barcelona y vengo al hospital a urgencias porque tengo dolor y se me pueden haber infectado los puntos; y en triaje una mujer muy borde me dice: no has debido de venir aquí porque tu no estas empadronada en Barcelona, ¿perdona? Si el personal que contratan no tienen vocación para atención al paciente pues que no trabajen, me parece nefasta la atención y discriminatoria, no por ser extranjera no van a hacer valer mis derechos porque se perfectamente cuales son, porque así como todos aquí en España contribuyo con todo lo que la ley me exige pagar. No les pongo 0 porque no se puede.","BAD ATTENTION! I am admitted because I have a recent ear operation, I live in Madrid and for work reasons I am in Barcelona and I come to the hospital to the emergency room because I have pain and my stitches may have become infected; and in triage a very rude woman tells me: you should not have come here because you are not registered in Barcelona, ​​excuse me? If the staff they hire do not have a vocation for patient care, then they should not work, the attention seems disastrous and discriminatory to me. Just because I am a foreigner, they are not going to enforce my rights because I know perfectly well what they are, because just like everyone else here in Spain, I contribute. with everything that the law requires me to pay. I don't put 0 because you can't.",9.0,True,41.0,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoeGZ5ZF9nRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIChxfyd_gE%7CCgwIpey-nwYQ8NmIuAI%7C?hl=en-US,5.0,a year ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNoeGZ5ZF9nRRAB,Montserrat Lopez,https://www.google.com/maps/contrib/118366797003508836491?hl=en-US,118366797003508836491,https://lh3.googleusercontent.com/a/ACg8ocKcoWEZDbY_X6j0DY2VE2aKRiQqDQjC6Mh2TyCPUwv_=s40-c-rp-mo-br100,"Mi marido, aunque se retrasó un día la operación por estar completos los quirofanos por una urgencia,el trato del personal, a todos los niveles, doctores, enfermeras, limpieza, fue excelente. Y sobretodo la comida, a pesar de la mala fama que tiene la comida de hospital en general.,la del Clinic es buena, ni una queja, al contrario.
Gracias a todo el personal. Sois estupendos.",22.0,"Mi marido, aunque se retrasó un día la operación por estar completos los quirofanos por una urgencia,el trato del personal, a todos los niveles, doctores, enfermeras, limpieza, fue excelente. Y sobretodo la comida, a pesar de la mala fama que tiene la comida de hospital en general.,la del Clinic es buena, ni una queja, al contrario.
Gracias a todo el personal. Sois estupendos.","My husband, although the operation was delayed one day because the operating rooms were full due to an emergency, the treatment of the staff, at all levels, doctors, nurses, cleaning, was excellent. And above all the food, despite the bad reputation that hospital food has in general, the Clinic's food is good, not a complaint, on the contrary.
Thanks to all the staff. You are wonderful.",4.0,,1.0,
