,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,details.también_una_vez_le_pregunté_que_qué_es_lo_que_podía_hacer_para_que_no_me_doliera_tanto_el_ojo_al_llorar_y_me_dijo_literalmente,user.local_guide,user.photos,images
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaaDVPU1pBEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZh5OSZA%7CCgwIhJCmqAYQoJf_mQE%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaaDVPU1pBEAE,"Después de llevar dos años con una bola en el ojo que me dolía muchísimo y que encima me hacía ver borroso, la oftalmóloga especialista me dijo que podía vivir perfectamente con aquello y que no entendía porque me dolía.
Cuando insistí sobre el hecho de que veía borroso me dijo que era normal (entonces???? Puedo vivir tranquilamente viendo borroso???)

También, una vez, le pregunté que qué es lo que podía hacer para que no me doliera tanto el ojo al llorar y me dijo literalmente: ""dejar de llorar"".

Cuando, en recepción, pedí que me cambiaran de doctora se negaron rotundamente diciéndome que otro doctor me diagnosticaría exactamente lo mismo. (Legalmente, están obligados a dejarme cambiar de Dr. )

La operación la tuve que pagar en una clínica privada, al final resultó ser un quiste en la glándula lagrimal que me obstruía y me causaba Micro infecciones.

Si fuese por este hospital aún estaría con el ojo chungo y sin poder hacer vida normal, no se porque aguanté tantos años…",4.0,Paula Escario,https://www.google.com/maps/contrib/107976327944881523539?hl=en-US,107976327944881523539,https://lh3.googleusercontent.com/a/ACg8ocLu-TQZ_uw6D_bu86fUPMjH6Pbt3zx2-AWtr4pJhM0i=s40-c-rp-mo-br100,12,"Después de llevar dos años con una bola en el ojo que me dolía muchísimo y que encima me hacía ver borroso, la oftalmóloga especialista me dijo que podía vivir perfectamente con aquello y que no entendía porque me dolía.
Cuando insistí sobre el hecho de que veía borroso me dijo que era normal (entonces???? Puedo vivir tranquilamente viendo borroso???)

También, una vez, le pregunté que qué es lo que podía hacer para que no me doliera tanto el ojo al llorar y me dijo literalmente: ""dejar de llorar"".

Cuando, en recepción, pedí que me cambiaran de doctora se negaron rotundamente diciéndome que otro doctor me diagnosticaría exactamente lo mismo. (Legalmente, están obligados a dejarme cambiar de Dr. )

La operación la tuve que pagar en una clínica privada, al final resultó ser un quiste en la glándula lagrimal que me obstruía y me causaba Micro infecciones.

Si fuese por este hospital aún estaría con el ojo chungo y sin poder hacer vida normal, no se porque aguanté tantos años…","After having a lump in my eye for two years that hurt a lot and made me look blurry, the specialist ophthalmologist told me that I could live with it perfectly and that I didn't understand why it hurt.
When I insisted on the fact that my vision was blurry he told me that it was normal (so???? I can live peacefully seeing blurry???)

Also, once, I asked him what I could do so my eye wouldn't hurt so much when I cried and he literally told me: ""stop crying.""

When I asked at the reception to change my doctor, they flatly refused, telling me that another doctor would diagnose me with exactly the same thing. (Legally, they are required to let me change Dr.)

I had to pay for the operation at a private clinic, in the end it turned out to be a cyst in the tear gland that blocked me and caused micro infections.

If it were for this hospital I would still have a bad eye and not be able to lead a normal life, I don't know why I endured so many years...","""dejar de llorar"".",,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaaC1yaFdREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZh-rhWQ%7CCgwIouWlqAYQkIm5wgI%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaaC1yaFdREAE,"Es uno de los mejores hospitales del mundo, y el personal de 10",,Carlos Gómez Quero,https://www.google.com/maps/contrib/111886827441868844537?hl=en-US,111886827441868844537,https://lh3.googleusercontent.com/a-/ALV-UjUwImlKTCvghte5yuR0Gq-0iUMVaqKWMjDeX-eh6igV7OVy=s40-c-rp-mo-ba4-br100,100,"Es uno de los mejores hospitales del mundo, y el personal de 10","It is one of the best hospitals in the world, and the staff of 10",,True,90.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaMjVQTERREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZ25PLDQ%7CCgwIlYKjqAYQgOiyvAM%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaMjVQTERREAE,"Es horrible, hay que esperar horas y horas y horas para que te atienden si no estás literalmente muriendo en el momento mismo. Ni te toman en cuenta que si te tratan (anafilaxia) rápido, el problema sería muy menos grave al final",1.0,N G,https://www.google.com/maps/contrib/109382022705585225998?hl=en-US,109382022705585225998,https://lh3.googleusercontent.com/a/ACg8ocLDLSt0OnOO8ZonpsPV8zNT3B7kQUwRhc7U9SN-gYrA=s40-c-rp-mo-ba3-br100,68,"Es horrible, hay que esperar horas y horas y horas para que te atienden si no estás literalmente muriendo en el momento mismo. Ni te toman en cuenta que si te tratan (anafilaxia) rápido, el problema sería muy menos grave al final","It's horrible, you have to wait hours and hours and hours to be treated if you're not literally dying at the same moment. They don't even take into account that if they treat you (anaphylaxis) quickly, the problem would be much less serious in the end.",,True,6.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNaMjlYSzZnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZ29XK6gE%7CCgsImfSiqAYQ-JjmRg%7C?hl=en-US,5.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNaMjlYSzZnRRAB,Traspate de Renal fabuloso contentisimo,,Josechinchillapapaalex@gmail.com Chinchilla,https://www.google.com/maps/contrib/103487971069528344424?hl=en-US,103487971069528344424,https://lh3.googleusercontent.com/a/ACg8ocK6FsEMsMgy_d6hVCj6aQVbeYHmzul4TGNydR6pL_Nt=s40-c-rp-mo-br100,1,Traspate de Renal fabuloso contentisimo,"Fabulous kidney transplant, very happy",,,1.0,['https://lh5.googleusercontent.com/p/AF1QipOaztTjc_pv86QAiv8xLPt9YAzG07deMZZf7LUn=w100-h100-p-n-k-no']
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNabTVUR2h3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZm5TGhwE%7CCgwIvuShqAYQ8NnfngE%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNabTVUR2h3RRAB,"Fatal
3 horas de espera en urgencias para que al final me digan “hay que volver entre semana porque la farmacia está cerrada los fin de semanas” habérmelo dicho en recepción cuando explique que vine justamente por eso no pierdo 3 horas esperando!!!",2.0,Sébastien Piarulli,https://www.google.com/maps/contrib/108180286077977890773?hl=en-US,108180286077977890773,https://lh3.googleusercontent.com/a/ACg8ocI9Pl0smLLuTd-xcTn6jg9EMat-flJSv3_s5m636c7V=s40-c-rp-mo-br100,41,"Fatal
3 horas de espera en urgencias para que al final me digan “hay que volver entre semana porque la farmacia está cerrada los fin de semanas” habérmelo dicho en recepción cuando explique que vine justamente por eso no pierdo 3 horas esperando!!!","Fatal
3 hours of waiting in the emergency room so that in the end they tell me “you have to come back during the week because the pharmacy is closed on weekends” having told me this at reception when I explained that I came precisely that is why I don't waste 3 hours waiting!!!",,,1.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaNjhINk5nEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZ68H6Ng%7CCgwI37GhqAYQgJXDiAM%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaNjhINk5nEAE,"El servicio de citas del Clinic no es que sea malo, es nefasto. Me tienen que hacer una resonancia magnética dorsolumbar que mí médica de cabecera solicito en ""mayo, 2023"". Tuve una cita en julio en el que no pudieron hacerla por motivos técnicos en Sabino de Arana 1. Luego me la reprogramaron para ayer en el Hospital Platón que está a 200 m de mí domicilio (17 septiembre, 2023) y ayer me dicen que la han reprogramado para el 10 de octubre en Córsega 194. Cuando pregunto por qué me han reprogramado, me dicen que están saturados. La realidad: tanto en Sabino de Arana cómo en la Platón solo había un paciente para RM: un servidor…",3.0,Pablo Bouvier,https://www.google.com/maps/contrib/104146345239220645391?hl=en-US,104146345239220645391,https://lh3.googleusercontent.com/a-/ALV-UjVjLg0CKoHIho_P7aDeOtpACv2PVfbtpiVPJdXgz8g2WD8=s40-c-rp-mo-ba3-br100,46,"El servicio de citas del Clinic no es que sea malo, es nefasto. Me tienen que hacer una resonancia magnética dorsolumbar que mí médica de cabecera solicito en ""mayo, 2023"". Tuve una cita en julio en el que no pudieron hacerla por motivos técnicos en Sabino de Arana 1. Luego me la reprogramaron para ayer en el Hospital Platón que está a 200 m de mí domicilio (17 septiembre, 2023) y ayer me dicen que la han reprogramado para el 10 de octubre en Córsega 194. Cuando pregunto por qué me han reprogramado, me dicen que están saturados. La realidad: tanto en Sabino de Arana cómo en la Platón solo había un paciente para RM: un servidor…","The Clinic's appointment service is not bad, it is disastrous. I have to have a thoracolumbar MRI that my family doctor requested in ""May, 2023."" I had an appointment in July in which they could not make it for technical reasons at Sabino de Arana 1. Then they rescheduled it for yesterday at the Platón Hospital, which is 200 m from my home (September 17, 2023) and yesterday they told me that the They have rescheduled for October 10 on Córsega 194. When I ask why they have rescheduled me, they tell me that they are saturated. The reality: both in Sabino de Arana and in Plato there was only one patient for MRI: a servant...",,True,1.0,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNacV9iN0hnEAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZq_b7Hg%7CCgwI6digqAYQyNL3jAI%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNacV9iN0hnEAE,"Súper satisfecha de médicos y enfermeras de la Unidad Digestiva, como de la Unidad de Medicina Interna. Los valoro con un .10 (Excelentes). En cambio la Unidad de Psiquiatría la valoro con un 2, o sea suspendida",,Deva Rius,https://www.google.com/maps/contrib/108160264211071458774?hl=en-US,108160264211071458774,https://lh3.googleusercontent.com/a-/ALV-UjWqhWe6kbKeg4pwL2lGGfKEgOaqHKo1nTQNn5c-BWE__A=s40-c-rp-mo-ba3-br100,42,"Súper satisfecha de médicos y enfermeras de la Unidad Digestiva, como de la Unidad de Medicina Interna. Los valoro con un .10 (Excelentes). En cambio la Unidad de Psiquiatría la valoro con un 2, o sea suspendida","Super satisfied with the doctors and nurses of the Digestive Unit, as well as the Internal Medicine Unit. I rate them with a .10 (Excellent). On the other hand, the Psychiatry Unit rated it a 2, meaning suspended.",,True,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaX2NDTWVREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZ_cCMeQ%7CCgwIvtOWqAYQ6Lr8xQM%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNaX2NDTWVREAE,La atención es excelente de todos los docentes,,Fatima Chabou,https://www.google.com/maps/contrib/103276930499927214071?hl=en-US,103276930499927214071,https://lh3.googleusercontent.com/a-/ALV-UjX3byYBdsWASrseZ4KInGMc_8flRp5z4OT2jujB_V_P93cJ=s40-c-rp-mo-br100,5,La atención es excelente de todos los docentes,The attention is excellent from all the teachers,,,1.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNabGYzSmFREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZlf3JaQ%7CCgwI_8ONqAYQgMmmgQI%7C?hl=en-US,3.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNabGYzSmFREAE,Personal de salud muy distraídos,,Gisela Alba Méndez,https://www.google.com/maps/contrib/102668980542231779581?hl=en-US,102668980542231779581,https://lh3.googleusercontent.com/a-/ALV-UjWNfJkwebBp1mGWeCrBF7ENiPdGCTqGSlb8oD43uMPgRK4=s40-c-rp-mo-ba3-br100,26,Personal de salud muy distraídos,Health personnel very distracted,,True,6.0,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNabWNPTXFBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICZmcOMqAE%7CCgwI86-HqAYQ6OuWqgM%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNabWNPTXFBRRAB,"Cuando dos doctores de este hospital me dicen a día 13/09/2023, que el monkeypox y la sifilis los elimina solo el cuerpo, sin necesidad de medicación alguna, sabes que algo no va bien. Si puedes evita este hospital donde no te atienden y solo se te sacan de encima, sin solucionarte el problema y haciendote perder muuuuuuucho tiempo.",2.0,Nicolas Sinici,https://www.google.com/maps/contrib/103745213794611583210?hl=en-US,103745213794611583210,https://lh3.googleusercontent.com/a/ACg8ocInXwx1pzDw6aGz9yC_zazv83WXVkrb8UWJHqX-r-YO=s40-c-rp-mo-ba5-br100,547,"Cuando dos doctores de este hospital me dicen a día 13/09/2023, que el monkeypox y la sifilis los elimina solo el cuerpo, sin necesidad de medicación alguna, sabes que algo no va bien. Si puedes evita este hospital donde no te atienden y solo se te sacan de encima, sin solucionarte el problema y haciendote perder muuuuuuucho tiempo.","When two doctors at this hospital tell me on 09/13/2023 that monkeypox and syphilis are eliminated only by the body, without the need for any medication, you know that something is not right. If you can, avoid this hospital where they don't treat you and just get rid of you, without solving the problem and making you waste a lot of time.",,True,25.0,
