,link,rating,date,images,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ2c3JDbm9RRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgID6srCnoQE%7CCgwI2sfEpgYQwMTY2QI%7C?hl=en-US,1.0,6 months ago,['https://lh5.googleusercontent.com/p/AF1QipOX2j5Fhqx2wAz29isA0-3sb44xNqFf5eK5X4l1=w100-h100-p-n-k-no'],Google,ChdDSUhNMG9nS0VJQ0FnSUQ2c3JDbm9RRRAB,"Si quieres que te traten como si fueras retarted y sentir que tienen unas ganas horribles que te vayas, ves de urgencias un jueves noche y que te manden a un box de la cuarta. eso sí, enterarte de las juergas que se meten los empleados te enteras bien porque se las van pregonando entre ellos. Es un sitio que no volveré ni que mi vida dependa de ellos",1.0,Crs300,https://www.google.com/maps/contrib/112503161913294262592?hl=en-US,112503161913294262592,https://lh3.googleusercontent.com/a-/ALV-UjXLN1cEoOf9URxO84iPBVvNSJpa2leVxaHL_uF-jiordH94=s40-c-rp-mo-ba4-br100,True,205,77.0,"Si quieres que te traten como si fueras retarted y sentir que tienen unas ganas horribles que te vayas, ves de urgencias un jueves noche y que te manden a un box de la cuarta. eso sí, enterarte de las juergas que se meten los empleados te enteras bien porque se las van pregonando entre ellos. Es un sitio que no volveré ni que mi vida dependa de ellos","If you want to be treated as if you were retarded and feel like they desperately want you to leave, go to the emergency room on a Thursday night and they will send you to a box on the fourth floor. Of course, when you find out about the parties that the employees get into, you know well because they announce them to each other. It is a place that I will not return nor will my life depend on them"
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNweGRuZHVBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICpxdnduAE%7CCgwIwtPCpgYQuKDhrAI%7C?hl=en-US,5.0,6 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNweGRuZHVBRRAB,"Mi semana de vacaciones que tenía en agosto las estoy pasando aquí, no está mal aunque llevo 3 días esperando para pasar a quirófano y no he podido comer nada ni beber nada más que suero... Pensaba que iba a ser pensión completa pero de momento solo cama... Un poco incómoda aunque he dormido en sitios peores, los enfermeros y enfermeras son bastante simpáticos/as aunque hay veces que se ponen bordes de aguantar a gente como yo, la medicación no está mal y me mantienen bien drogado aunque me podrían dar algo más fuerte para pasar mejor mis vacaciones, podrían poner algo de techno o de drum and bass... No es el festival al que pensaba ir en mis vacaciones pero bueno no me puedo quejar, las drogas son buenas y está bien ver gente que sale recuperada y contenta",2.0,Javier D ́souza,https://www.google.com/maps/contrib/116923556181036984245?hl=en-US,116923556181036984245,https://lh3.googleusercontent.com/a-/ALV-UjWZ3Kfa8pJOZTcFM2AP2oa2HgqYcnzwM8QUB1amnBYKX84=s40-c-rp-mo-br100,,13,1.0,"Mi semana de vacaciones que tenía en agosto las estoy pasando aquí, no está mal aunque llevo 3 días esperando para pasar a quirófano y no he podido comer nada ni beber nada más que suero... Pensaba que iba a ser pensión completa pero de momento solo cama... Un poco incómoda aunque he dormido en sitios peores, los enfermeros y enfermeras son bastante simpáticos/as aunque hay veces que se ponen bordes de aguantar a gente como yo, la medicación no está mal y me mantienen bien drogado aunque me podrían dar algo más fuerte para pasar mejor mis vacaciones, podrían poner algo de techno o de drum and bass... No es el festival al que pensaba ir en mis vacaciones pero bueno no me puedo quejar, las drogas son buenas y está bien ver gente que sale recuperada y contenta","I'm spending my week of vacation in August here, it's not bad although I've been waiting for 3 days to go to the operating room and I haven't been able to eat anything or drink anything other than serum... I thought it was going to be full board but for now just a bed... A little uncomfortable although I have slept in worse places, the male and female nurses are quite friendly although there are times when they can't bear to put up with people like me, the medication is not bad and they keep me well drugged even though I They could play something stronger to make my vacation better, they could play some techno or drum and bass... It's not the festival I was thinking of going to on my vacation but hey, I can't complain, the drugs are good and it's good to see people who leave recovered and happy"
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwX292R3hRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICp_ovGxQE%7CCgwI6Ju1pgYQ4KG8wAI%7C?hl=en-US,5.0,7 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNwX292R3hRRRAB,"He estado con mi madre y la han atendido Claudia, R2 de reumatología y Josep enfermero. Un trato fantástico. Muchas gracias por vuestra excelencia profesional y humanidad.",1.0,T NV,https://www.google.com/maps/contrib/106881673216675460616?hl=en-US,106881673216675460616,https://lh3.googleusercontent.com/a-/ALV-UjUPFzuZW1TTisq8AKW0ArKzgHJF9LxuDVCy5tPlU-YAeBY=s40-c-rp-mo-br100,,21,,"He estado con mi madre y la han atendido Claudia, R2 de reumatología y Josep enfermero. Un trato fantástico. Muchas gracias por vuestra excelencia profesional y humanidad.","I have been with my mother and Claudia, R2 of rheumatology and Josep, nurse, have treated her. A fantastic deal. Thank you very much for your professional excellence and humanity."
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwOXJXQnh3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICp9rWBxwE%7CCgwInpOvpgYQwPnCkgM%7C?hl=en-US,5.0,7 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNwOXJXQnh3RRAB,"Muchas por gracias por el trato recibido en la UCCI. Desde los médicos, enfermeras y personal de planta.",,Mercedes Rodríguez,https://www.google.com/maps/contrib/107201549320685675314?hl=en-US,107201549320685675314,https://lh3.googleusercontent.com/a/ACg8ocJRuFjLnc1vqx0AcMdZArIIbzG7HstcAKttCoRsDeZ0=s40-c-rp-mo-br100,,1,,"Muchas por gracias por el trato recibido en la UCCI. Desde los médicos, enfermeras y personal de planta.","Thank you very much for the treatment received at the UCCI. From the doctors, nurses and plant staff."
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCOTRhUFZREAE!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgIDB94aPVQ%7CCgwIz4CppgYQqNy5qgI%7C?hl=en-US,1.0,7 months ago,,Google,ChZDSUhNMG9nS0VJQ0FnSURCOTRhUFZREAE,llevo dos años para unaarto  visitarme en medicina por una lipodistrofia mi médico de cabecera mando una petición para visita y me lo deniegan luego al año lo manda mi especialista y también me lo rechazan sin decirme porque y estoy muy delgado y las poca carnes que tengo colgando estoy muy deprimido cuando me miró en espejo me quiero morir . gracias llevo otros 3 años para y no llaman estoy harto alguien sabe lo que puedo hacer.,3.0,Juan Carlos Contreras Santiago (scorpio),https://www.google.com/maps/contrib/103181329980915302651?hl=en-US,103181329980915302651,https://lh3.googleusercontent.com/a/ACg8ocLyJBCvb4V1KzRp2Oz3-fnF-755b4xjs2TP58U1F40kHg=s40-c-rp-mo-ba3-br100,True,33,,llevo dos años para unaarto  visitarme en medicina por una lipodistrofia mi médico de cabecera mando una petición para visita y me lo deniegan luego al año lo manda mi especialista y también me lo rechazan sin decirme porque y estoy muy delgado y las poca carnes que tengo colgando estoy muy deprimido cuando me miró en espejo me quiero morir . gracias llevo otros 3 años para y no llaman estoy harto alguien sabe lo que puedo hacer.,"It took me two years to visit a doctor for lipodystrophy, my family doctor sent a request for a visit and they denied it, then after a year my specialist sent it and they also rejected it without telling me why and I am very thin and the little flesh I have hanging off I am very depressed when I looked at myself in the mirror I want to die. Thanks, I've been here for another 3 years and they haven't called, I'm fed up. Does anyone know what I can do?"
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwMnFta3pBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICp2qmkzAE%7CCgsIgbKnpgYQ0K2CeQ%7C?hl=en-US,1.0,7 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNwMnFta3pBRRAB,Es terrible que en urgencias de un hospital tan importante no haya nada en castellano. Todo esta en catalán,2.0,Yuri Cortes,https://www.google.com/maps/contrib/113458262412843921508?hl=en-US,113458262412843921508,https://lh3.googleusercontent.com/a-/ALV-UjVQFx2BjVuunSQOy-zSHdne_8ATTS8T9KJnTZWq1Jho9xs=s40-c-rp-mo-br100,,5,2.0,Es terrible que en urgencias de un hospital tan importante no haya nada en castellano. Todo esta en catalán,It is terrible that in the emergency room of such an important hospital there is nothing in Spanish. Everything is in Catalan
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwd3E3YzhBRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICpwq7c8AE%7CCgwIqZmepgYQoOi4-AI%7C?hl=en-US,1.0,7 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNwd3E3YzhBRRAB,El servicio de farmacia es absolutamente inadecuado en medios y tiempos de espera para acceder a medicación que sólo se dispensa ahí. Un cero en organización y en la falta de respeto con el tiempo de espera que puede ser de varias horas. Un cero todavía mayor a la dirección del HC,3.0,Víctor Guardiola Flores,https://www.google.com/maps/contrib/117475316055573297576?hl=en-US,117475316055573297576,https://lh3.googleusercontent.com/a-/ALV-UjVvbL5s94hYmWZHcR7KNvyThvhTsDnT-mzP9weU5fP0NFg5=s40-c-rp-mo-br100,,67,2.0,El servicio de farmacia es absolutamente inadecuado en medios y tiempos de espera para acceder a medicación que sólo se dispensa ahí. Un cero en organización y en la falta de respeto con el tiempo de espera que puede ser de varias horas. Un cero todavía mayor a la dirección del HC,The pharmacy service is absolutely inadequate in terms of resources and waiting times to access medication that is only dispensed there. A zero in organization and lack of respect for the waiting time that can be several hours. An even bigger zero to the HC leadership
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwdE03RXlnRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICptM7EygE%7CCgwIx-CUpgYQiNXLywI%7C?hl=en-US,1.0,7 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNwdE03RXlnRRAB,,,Javier Martinez - Valera,https://www.google.com/maps/contrib/115830030261675652793?hl=en-US,115830030261675652793,https://lh3.googleusercontent.com/a/ACg8ocKYpJ9PJMCCtA4NEcexaPw-0bH4rtoxwxvSoKc6oPRB=s40-c-rp-mo-br100,,2,,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwb0xEUTdRRRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICpoLDQ7QE%7CCgsIhc6EpgYQuK2qNQ%7C?hl=en-US,1.0,7 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNwb0xEUTdRRRAB,,,Victor Espadaler Cortiles,https://www.google.com/maps/contrib/107324916116850995469?hl=en-US,107324916116850995469,https://lh3.googleusercontent.com/a/ACg8ocL4r23inhvpd3VQcWC3gfEmRSYlbNDXevRLuQOv0QctuQ=s40-c-rp-mo-br100,,4,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNwZ0kzQjB3RRAB!2m1!1s0x0:0x7bacaced73cdac27!3m1!1s2@1:CIHM0ogKEICAgICpgI3B0wE%7CCgwIjduDpgYQiISjjgI%7C?hl=en-US,1.0,7 months ago,,Google,ChdDSUhNMG9nS0VJQ0FnSUNwZ0kzQjB3RRAB,Fui para hacer una prueba de alergia y casi me muero por falta de preparación del centro y profesionalidad,1.0,Pilar Gibergans,https://www.google.com/maps/contrib/101116978124941287565?hl=en-US,101116978124941287565,https://lh3.googleusercontent.com/a/ACg8ocKaRyId8LT6QfkoAtXVUB_BHRV9xUFBrHEvILX1oeKl=s40-c-rp-mo-br100,,1,,Fui para hacer una prueba de alergia y casi me muero por falta de preparación del centro y profesionalidad,I went to do an allergy test and I almost died due to the center's lack of preparation and professionalism
