,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,snippet,likes,extracted_snippet.original,extracted_snippet.translated,user.photos,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxOGEyNUZREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC18a25FQ%7CCgwInJvHrAYQwKOoxgE%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxOGEyNUZREAE,Jaime Perez Gil,https://www.google.com/maps/contrib/108672713061421674076?hl=en-US,108672713061421674076,https://lh3.googleusercontent.com/a/ACg8ocIGPw-AC1eJdnK1PmJlJ12PFIOgSrHFK_cfPoeQ_yZE=s40-c-rp-mo-br100,3,,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxenA2Ty1nRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC1zp6O-gE%7CCgsIsZC9rAYQ8K6ecw%7C?hl=en-US,5.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxenA2Ty1nRRAB,Adrian Mateo,https://www.google.com/maps/contrib/102589466045048676674?hl=en-US,102589466045048676674,https://lh3.googleusercontent.com/a/ACg8ocLTk1BzueOmgPivn3KRGkYqK6AuJi830vWf6AonILJO=s40-c-rp-mo-br100,8,,,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWcThHbEtnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDVq8GlKg%7CCgsImY29rAYQyJzNJg%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURWcThHbEtnEAE,Alex Rojas Ruiz,https://www.google.com/maps/contrib/102593639884950283057?hl=en-US,102593639884950283057,https://lh3.googleusercontent.com/a-/ALV-UjXyF_Q_Pr9x9-IRr63hRYzO6kTw8h8TXD3fwzn9e2l5jbA=s40-c-rp-mo-br100,12,En lo personal tienen una excelente atención,1.0,En lo personal tienen una excelente atención,"Personally, they have excellent service.",,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxOXBXNERREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC19pW4DQ%7CCgwIwoG8rAYQqPTdwgM%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxOXBXNERREAE,Reich C.s,https://www.google.com/maps/contrib/113849206093334525103?hl=en-US,113849206093334525103,https://lh3.googleusercontent.com/a/ACg8ocIB2trAnWK866ZIfWooJ5xwE6WuupDtR-stQ3dlafBJoPw=s40-c-rp-mo-br100,18,Llevo desde las 4 pm que me trajo el samur y sigo aqui sin saber nada ni llamarme y luego pedis mas sueldo???,1.0,Llevo desde las 4 pm que me trajo el samur y sigo aqui sin saber nada ni llamarme y luego pedis mas sueldo???,I've been here since 4 pm when the samur brought me and I'm still here without knowing anything or calling me and then you ask for more salary???,1.0,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWXzRxbTVBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDV_4qm5AE%7CCgsI8_-xrAYQgOukcw%7C?hl=en-US,2.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURWXzRxbTVBRRAB,Robert Brown,https://www.google.com/maps/contrib/102329459579073515321?hl=en-US,102329459579073515321,https://lh3.googleusercontent.com/a/ACg8ocKCR5B98nKW8N-p59uicgl94hcDIth6oxjFR0N2SdSt=s40-c-rp-mo-br100,13,"2 hospitalizados y acompañantes en 1 habitación de 4 M2 compartiendo bater, suciedad, y encima no te dejan descansar porque roncas, inhumano, creo que habrá cárceles mejores. Un auténtico suplicio.",3.0,"2 hospitalizados y acompañantes en 1 habitación de 4 M2 compartiendo bater, suciedad, y encima no te dejan descansar porque roncas, inhumano, creo que habrá cárceles mejores. Un auténtico suplicio.","2 hospitalized and companions in 1 room of 4 M2 sharing battery, dirt, and on top of that they don't let you rest because you snore, inhuman, I think there will be better prisons. A real ordeal.",2.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxeXJESlRREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC1yrDJTQ%7CCgwIrpCwrAYQyPr1oQM%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxeXJESlRREAE,braulio Dorado Garcia,https://www.google.com/maps/contrib/116613148917517220715?hl=en-US,116613148917517220715,https://lh3.googleusercontent.com/a-/ALV-UjXc4tszJlV_JcYwGdrgrADpheSjo2ds0BXcxfd342S5-PI=s40-c-rp-mo-ba3-br100,19,Regular,,,,1.0,True
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxa29XdFd3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC1koWtWw%7CCgwI0fGrrAYQ2KT2pQM%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxa29XdFd3EAE,Espe Agenjo,https://www.google.com/maps/contrib/103844700160761170055?hl=en-US,103844700160761170055,https://lh3.googleusercontent.com/a/ACg8ocKMdYesMaipx-vkYM4gKDs25p-HUO9pWb7eRyiJg7QW=s40-c-rp-mo-br100,4,"He permanecido ingresada una semana en la 5 Planta de Digestivo, podemos estar seguros de que tenemos la mejor sanidad pública gracias al maravilloso equipo humano que la forma,  que con el mínimo de recursos nos cuida y saca su trabajo. Gracias gracias siempre",1.0,"He permanecido ingresada una semana en la 5 Planta de Digestivo, podemos estar seguros de que tenemos la mejor sanidad pública gracias al maravilloso equipo humano que la forma,  que con el mínimo de recursos nos cuida y saca su trabajo. Gracias gracias siempre","I have been admitted for a week in the 5th Digestive Plant, we can be sure that we have the best public healthcare thanks to the wonderful human team that forms it, who with the minimum of resources takes care of us and does their job. Thank you thank you always",,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxd3B2LW1BRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC1wpv-mAE%7CCgsIiN2prAYQyNLGTA%7C?hl=en-US,1.0,2 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUMxd3B2LW1BRRAB,alba manzano,https://www.google.com/maps/contrib/105392014158935953466?hl=en-US,105392014158935953466,https://lh3.googleusercontent.com/a-/ALV-UjWKaW2khgAOQjpE28cLlcYi0h_a56N3YzV9SC6OpfIPGCg=s40-c-rp-mo-br100,5,"Fui a las 5 de la mañana con un cuadro gripal y nadie atendió pacientes en 2 horas en urgencias, consultas vacías y cerradas, me fui a casa sin ser atendida",2.0,"Fui a las 5 de la mañana con un cuadro gripal y nadie atendió pacientes en 2 horas en urgencias, consultas vacías y cerradas, me fui a casa sin ser atendida","I went at 5 in the morning with a flu case and no one attended to patients in 2 hours in the emergency room, consultation rooms were empty and closed, I went home without being attended to",,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxd3N2TmJBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC1wsvNbA%7CCgwI0NqprAYQgNHkowI%7C?hl=en-US,1.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxd3N2TmJBEAE,Alba Fernandez Perez,https://www.google.com/maps/contrib/105986702525390995157?hl=en-US,105986702525390995157,https://lh3.googleusercontent.com/a/ACg8ocJvvof8SWQDfH4Etmp2rFaLBNHeb5_riuVjwfzhf0tZ=s40-c-rp-mo-br100,1,"Es una vergüenza el trato del hospital, los médicos se van y no vuelven en 2 horas, te puedes morir en la sala de espera que nada se va a enterar, pasan de todo se van a desayunar entre todos los médicos y a los pacientes que les den, sinceramente para sacarte una carrera de 10 años y comportarte asi con las personas, para eso ni estudies que estas tratando con personas no con objetos que los puedes arreglar o cambiar y ni hablar de las negligencias y como se cubren entre ellos no vamos hablar de eso en fin",2.0,"Es una vergüenza el trato del hospital, los médicos se van y no vuelven en 2 horas, te puedes morir en la sala de espera que nada se va a enterar, pasan de todo se van a desayunar entre todos los médicos y a los pacientes que les den, sinceramente para sacarte una carrera de 10 años y comportarte asi con las personas, para eso ni estudies que estas tratando con personas no con objetos que los puedes arreglar o cambiar y ni hablar de las negligencias y como se cubren entre ellos no vamos hablar de eso en fin","The treatment at the hospital is a disgrace, the doctors leave and don't come back for 2 hours, you can die in the waiting room and nothing will be known, they go through everything, they go to have breakfast with all the doctors and the patients who treat them. Well, honestly, to get a 10-year career and behave like this with people, don't even study that you are dealing with people, not with objects that you can fix or change and not to mention negligence and how they cover each other, we are not going to talk of that in the end",,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxX05mWkJnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC1_NfZBg%7CCgwIg4ynrAYQwM6K5wE%7C?hl=en-US,5.0,2 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUMxX05mWkJnEAE,María M.,https://www.google.com/maps/contrib/105492221757475949708?hl=en-US,105492221757475949708,https://lh3.googleusercontent.com/a/ACg8ocLMDOEuqFdqr5zqsm8mK0JqWEvvIbuhphutsKJHgBaB=s40-c-rp-mo-ba3-br100,34,"Tanto los neurocirujanos como los oncólogos nos han tratado de una forma increíble, explicando con tacto pero transparencia una situación muy complicada. Se agradece muchísimo el cariño en estas situaciones.",3.0,"Tanto los neurocirujanos como los oncólogos nos han tratado de una forma increíble, explicando con tacto pero transparencia una situación muy complicada. Se agradece muchísimo el cariño en estas situaciones.","Both the neurosurgeons and oncologists have treated us in an incredible way, explaining a very complicated situation with tact but transparency. The affection in these situations is greatly appreciated.",,True
