,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos,likes,details.es_evidente_que_nos_cobran_de_nuestro_trabajo_y_esfuerzo_para_pagar_el_sueldo_de_estos_enfermeros_y_doctores_y_estos_aun_así_no_tienen_la_honorabilidad_de_atendernos_como_personas_y_más_en_situación_de_urgencia_como_toda_la_gente_que_ha_día_y_hora_de_hoy_22_03_2023_22,images,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSNUl6VGtRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICR5IzTkQE%7CCgwIwfH8oAYQ2Mi7kQE%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSNUl6VGtRRRAB,Estoy en urgencias y estoy desde las 15h y son las 19 h y todavía ni me han llamado están llamando a las personas que entraron a 13h urgencias un asco,GEMA JIMENEZ JIMENEZ,https://www.google.com/maps/contrib/103923323158023784148?hl=en-US,103923323158023784148,https://lh3.googleusercontent.com/a/ACg8ocJlLGGDbvp8Sy2Fl5y2AfakoDcBPfThTgs5KyLafrKn=s40-c-rp-mo-br100,3,Estoy en urgencias y estoy desde las 15h y son las 19 h y todavía ni me han llamado están llamando a las personas que entraron a 13h urgencias un asco,"I'm in the emergency room and I've been there since 3:00 p.m. and it's 7:00 p.m. and they haven't even called me yet, they're calling the people who came in at 1:00 p.m., the emergency room is disgusting.",,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSeUtxUXpRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICRyKqQzQE%7CCgwI99PyoAYQgPqXyQE%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNSeUtxUXpRRRAB,,Victor Javier San Jose,https://www.google.com/maps/contrib/106597327578729587575?hl=en-US,106597327578729587575,https://lh3.googleusercontent.com/a/ACg8ocKUCfzmhnoz3TiSR2XFzWY_aoum9wUZgmR46fGU21B7=s40-c-rp-mo-br100,24,,,29.0,,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURxOXBEU1ZREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDq9pDSVQ%7CCgwI9-TxoAYQoJfpygE%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURxOXBEU1ZREAE,"Hospital Universitario 12 de Octubre:

Dr. MENEU DÍAZ, no por favor. Por favor, no.",Aroma de mujer,https://www.google.com/maps/contrib/100584646314784135123?hl=en-US,100584646314784135123,https://lh3.googleusercontent.com/a-/ALV-UjXvg9I6ckd-nbVYVCb1n8JC7WlMolqW6Jma1WSXorgOzA=s40-c-rp-mo-br100,6,"Hospital Universitario 12 de Octubre:

Dr. MENEU DÍAZ, no por favor. Por favor, no.","12 de Octubre University Hospital:

Dr. MENEU DÍAZ, no please. Please no.",,3.0,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSb1BpTGNBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICRoPiLcA%7CCgwIw-vroAYQ8NaTjgE%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNSb1BpTGNBEAE,"Esto es una vergüenza,desde el 2021 esperando unas citas, preferentes, me decían que por la pandemia, y ahora que mis peticiones de citas han caducado y que tengo que volver a pedir cita con el especialista, pero si no me cogen el teléfono. UNA VERGÜENZA.",Abam Am,https://www.google.com/maps/contrib/117877302792329001079?hl=en-US,117877302792329001079,https://lh3.googleusercontent.com/a-/ALV-UjVfvpTMgJnMuL7MPTADz-gCZ7kIgQbLjaYvrKzUs0OV_PE=s40-c-rp-mo-br100,8,"Esto es una vergüenza,desde el 2021 esperando unas citas, preferentes, me decían que por la pandemia, y ahora que mis peticiones de citas han caducado y que tengo que volver a pedir cita con el especialista, pero si no me cogen el teléfono. UNA VERGÜENZA.","This is a shame, since 2021 I have been waiting for appointments, preferential ones, they told me that it was because of the pandemic, and now that my appointment requests have expired and that I have to make an appointment with the specialist again, but if they don't pick up the phone. A SHAME.",,1.0,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoXzlLdUNBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDh_9KuCA%7CCgsIns7ooAYQ8PDfVg%7C?hl=en-US,1.0,11 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURoXzlLdUNBEAE,"Nefasto organismo de salud,
6 horas de espera en urgencias sin importar como te encuentres,
De pie o sin ningún tipo de asistencia medica,
Por otro lado cabe destacar la atención hostil y poco profesional de los operadores sanitarios (enfermeros/as, doctores y asistentes).

Es evidente que nos cobran de nuestro trabajo y esfuerzo para pagar el sueldo de estos enfermeros y doctores y estos aun así no tienen la honorabilidad de atendernos como personas, y más en situación de urgencia como toda la gente que ha día y hora de hoy 22/03/2023, ""22:54"" se encontraba en la sala de espera para ser atendidos.
Esto seguirá así hasta que lo permitamos,
Lo correcto es solicitar la oportuna hoja de reclamación e interponerla para que las instituciones competentes inspeccionen lo que se vive en estos hospitales,
Aseguro que con la interposición de al menos 20 hojas de reclamaciones esto empieza a brindar condiciones más favorables.",Giacomo Milano,https://www.google.com/maps/contrib/108942845959316963332?hl=en-US,108942845959316963332,https://lh3.googleusercontent.com/a/ACg8ocK82SxYBKM7Xgmiznz0KF06AE221LYFr8BXX80-8S6I=s40-c-rp-mo-br100,18,"Nefasto organismo de salud,
6 horas de espera en urgencias sin importar como te encuentres,
De pie o sin ningún tipo de asistencia medica,
Por otro lado cabe destacar la atención hostil y poco profesional de los operadores sanitarios (enfermeros/as, doctores y asistentes).

Es evidente que nos cobran de nuestro trabajo y esfuerzo para pagar el sueldo de estos enfermeros y doctores y estos aun así no tienen la honorabilidad de atendernos como personas, y más en situación de urgencia como toda la gente que ha día y hora de hoy 22/03/2023, ""22:54"" se encontraba en la sala de espera para ser atendidos.
Esto seguirá así hasta que lo permitamos,
Lo correcto es solicitar la oportuna hoja de reclamación e interponerla para que las instituciones competentes inspeccionen lo que se vive en estos hospitales,
Aseguro que con la interposición de al menos 20 hojas de reclamaciones esto empieza a brindar condiciones más favorables.","Nefarious health organization,
6 hours of waiting in the emergency room no matter how you feel,
Standing or without any type of medical assistance,
On the other hand, it is worth highlighting the hostile and unprofessional attention of healthcare operators (nurses, doctors and assistants).

It is evident that they charge us for our work and effort to pay the salary of these nurses and doctors and they still do not have the honor to care for us as people, and even more so in an emergency situation like all the people who day and time today 22 /03/2023, ""22:54"" was in the waiting room to be treated.
This will continue until we allow it,
The correct thing to do is to request the appropriate claim form and file it so that the competent institutions can inspect what is happening in these hospitals.
I assure you that with the filing of at least 20 claim forms this begins to provide more favorable conditions.",1.0,7.0,"54"" se encontraba en la sala de espera para ser atendidos.",,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoXzhLc25BRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDh_8KsnAE%7CCgwIo8nooAYQ2LeCkgM%7C?hl=en-US,1.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoXzhLc25BRRAB,"Horrible la verdad, llevo mas de 3 horas en espera en urgencias y aún no me atienden, le pregunto a una enfermera y me dice que la espera es de 4h a 6h la verdad no entiendo como se le llama “URGENCIA” que es lo menos que tiene, con fiebre, dolor en el cuerpo y malestar. Ya de por si es horrible venir al médico y la pasas peor que estar en casa porque al final es lo mismo no te ayudan en NADA",Veronica Bruzual,https://www.google.com/maps/contrib/105905303560082555019?hl=en-US,105905303560082555019,https://lh3.googleusercontent.com/a/ACg8ocL_Iv_q8t3rZ2ZryJLlicX_1S69ytrPrfyh9Ri3IW-C=s40-c-rp-mo-br100,3,"Horrible la verdad, llevo mas de 3 horas en espera en urgencias y aún no me atienden, le pregunto a una enfermera y me dice que la espera es de 4h a 6h la verdad no entiendo como se le llama “URGENCIA” que es lo menos que tiene, con fiebre, dolor en el cuerpo y malestar. Ya de por si es horrible venir al médico y la pasas peor que estar en casa porque al final es lo mismo no te ayudan en NADA","The truth is horrible, I've been waiting for more than 3 hours in the emergency room and they still haven't treated me. I ask a nurse and she tells me that the wait is from 4 hours to 6 hours. The truth is, I don't understand what it's called “URGENCY” which is the least. that you have, with fever, body pain and discomfort. It's already horrible to come to the doctor and you have a worse time than being at home because in the end it's the same, they don't help you AT ALL",1.0,1.0,,,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoejltcHhnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhz9mpxgE%7CCgwI_ovjoAYQ6Jyy5wE%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoejltcHhnRRAB,"Hemos llevado a nuestra pequeña Martina de tres años el día 20 de Marzo a las 16H00 al Hospital 12 de Octubre después de haber sido  derivados del Hospital de Valdemoro por tragar una espina de pescado, estamos agradecidos por la atencion, rapidez, vocacion y paciencia con la que nos atendieron la doctora otorrinolaringologa Marina  y el equipo de enfermeras y auxiliares, inmensamente agradecidos.",fernando arreaga,https://www.google.com/maps/contrib/110104097695814053088?hl=en-US,110104097695814053088,https://lh3.googleusercontent.com/a/ACg8ocIVsREFwX0PorWVPXtNj1U8ad5lNLP-OeXybXMFhbKr=s40-c-rp-mo-br100,2,"Hemos llevado a nuestra pequeña Martina de tres años el día 20 de Marzo a las 16H00 al Hospital 12 de Octubre después de haber sido  derivados del Hospital de Valdemoro por tragar una espina de pescado, estamos agradecidos por la atencion, rapidez, vocacion y paciencia con la que nos atendieron la doctora otorrinolaringologa Marina  y el equipo de enfermeras y auxiliares, inmensamente agradecidos.","We took our little three-year-old Martina on March 20 at 4:00 p.m. to the 12 de Octubre Hospital after being referred to the Valdemoro Hospital for swallowing a fish bone. We are grateful for the attention, speed, dedication and patience with which the ENT doctor Marina and the team of nurses and assistants treated us, immensely grateful.",1.0,4.0,,['https://lh5.googleusercontent.com/p/AF1QipMhiXFwQJG1gDePpELYjGohHFUPSBPGoGHR8NfJ=w100-h100-p-n-k-no'],
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoai1qVG53RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhj-jTnwE%7CCgwI4-fhoAYQ0JWGpAE%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoai1qVG53RRAB,,Anderson Ibañez Ramirez,https://www.google.com/maps/contrib/102780548694332859065?hl=en-US,102780548694332859065,https://lh3.googleusercontent.com/a-/ALV-UjXk1SwFUqlo0QsClOMUVtjE5tRs4AXOZfI3CSQednvxrIX2=s40-c-rp-mo-ba2-br100,4,,,22.0,1.0,,,True
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoeThEeGxRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDhy8DxlQE%7CCgwI2uXSoAYQgJeO1wE%7C?hl=en-US,5.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoeThEeGxRRRAB,Excelente trato por parte de todos los profesionales. Estuvimos en el materno -infantil.,Carlos Perez,https://www.google.com/maps/contrib/118324313264430517503?hl=en-US,118324313264430517503,https://lh3.googleusercontent.com/a-/ALV-UjXKYc-lNx6ZRLBCJt3OP1f12mp2RSb-_PzCOjtiuqTlCYcY=s40-c-rp-mo-ba4-br100,71,Excelente trato por parte de todos los profesionales. Estuvimos en el materno -infantil.,Excellent treatment from all professionals. We were in the maternal and child care center.,15.0,2.0,,,True
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoODlEU3V3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDh89DSuwE%7CCgwI6aLRoAYQyPWnhwI%7C?hl=en-US,3.0,11 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURoODlEU3V3RRAB,"Hay de todo ,aun que mis ultimas experiencias fueron mejores en su mayoria ,tambien puedes encontrar lo contrario",LOBO,https://www.google.com/maps/contrib/116928604615334915591?hl=en-US,116928604615334915591,https://lh3.googleusercontent.com/a-/ALV-UjVgkL58DNZSsE5nEKWTZzKcQHBtRdiy_vHjKB8u4iKjL7CR=s40-c-rp-mo-ba5-br100,111,"Hay de todo ,aun que mis ultimas experiencias fueron mejores en su mayoria ,tambien puedes encontrar lo contrario","There is everything, although my last experiences were better for the most part, you can also find the opposite",202.0,1.0,,,True
