,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,extracted_snippet.original,extracted_snippet.translated,user.photos,likes
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1cHR2N2pBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgID5ptv7jAE%7CCgsIhKbdqQYQ8JWZMg%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1cHR2N2pBRRAB,De momento buena atención,Jose maria Gonzalez,https://www.google.com/maps/contrib/104721031348745702637?hl=en-US,104721031348745702637,https://lh3.googleusercontent.com/a-/ALV-UjWPSgQOybzKmAaazFswTSaCd58EsnjWk5RVGXdg3hoE9qs=s40-c-rp-mo-ba4-br100,True,146.0,De momento buena atención,So far good attention,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1Nm92MmRnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgID56ov2dg%7CCgwIg_PWqQYQ2M2HhgE%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQ1Nm92MmRnEAE,Si está bien   .,Andres Martin Santana,https://www.google.com/maps/contrib/106201904995842605936?hl=en-US,106201904995842605936,https://lh3.googleusercontent.com/a-/ALV-UjWZl_Rg9CuBOyTW-NLxbwqZT6Ek_w5dlyrjg4S5JeDES9k=s40-c-rp-mo-ba3-br100,True,40.0,Si está bien   .,Yes it's okay   .,13.0,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1NnFPUjVnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgID56qOR5gE%7CCgwIq-vWqQYQ4N3ZiQE%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1NnFPUjVnRRAB,Eternamente agradecido.,Jano T5,https://www.google.com/maps/contrib/104618701161497586639?hl=en-US,104618701161497586639,https://lh3.googleusercontent.com/a-/ALV-UjUCRf978ihP1kerFoBx4pahY1X3hr6Ptq0R2gYyZ3oeOu4=s40-c-rp-mo-br100,,55.0,Eternamente agradecido.,Eternally grateful.,2.0,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1NHJTbVhREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgID54rSmXQ%7CCgsImrnPqQYQ4MWlIA%7C?hl=en-US,1.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQ1NHJTbVhREAE,,Infantes,https://www.google.com/maps/contrib/115937141761045370319?hl=en-US,115937141761045370319,https://lh3.googleusercontent.com/a/ACg8ocJGQ_A46LEYDJXVm-u1YQ6UDXtYie62JOwEAFo61a_X8w=s40-c-rp-mo-br100,,,,,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1b3BTbHR3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgID5opSltwE%7CCgwI7-XOqQYQwLm-0gM%7C?hl=en-US,4.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1b3BTbHR3RRAB,,elo impresionista,https://www.google.com/maps/contrib/110040248302003452625?hl=en-US,110040248302003452625,https://lh3.googleusercontent.com/a-/ALV-UjXm4L4s9eRO_fzdx0MqBnpuA88WYXL0o1aAHlPJR_uDn94=s40-c-rp-mo-br100,,9.0,,,3.0,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1cklLVTdRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgID5rIKU7QE%7CCgsI_OjJqQYQoNiLcw%7C?hl=en-US,1.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1cklLVTdRRRAB,"Mejor morirte en casa, que en la sala de espera... no te hacen ninguna prueba, aunque estés partido por la mitad, llegas de urgencias y te ponen el último de 9 am a 6 pm esperamos y la chica de traumatología con el móvil whasapeando , pero ella no te puede informar de nada...",Jare Flores,https://www.google.com/maps/contrib/116438457808710781064?hl=en-US,116438457808710781064,https://lh3.googleusercontent.com/a-/ALV-UjVQZnIeh5PKyIJJpVSPOUNEIM2A88DbBKq0iNjsGixDckSF=s40-c-rp-mo-ba3-br100,True,50.0,"Mejor morirte en casa, que en la sala de espera... no te hacen ninguna prueba, aunque estés partido por la mitad, llegas de urgencias y te ponen el último de 9 am a 6 pm esperamos y la chica de traumatología con el móvil whasapeando , pero ella no te puede informar de nada...","Better to die at home than in the waiting room... they don't do any tests on you, even if you're split in half, you arrive from the emergency room and they give you the last one from 9 am to 6 pm we wait and the traumatology girl with the cell phone whasaping, but she can't tell you anything...",22.0,2.0
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1cUtuTXd3RRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgID5qKnMwwE%7CCgwI0f3FqQYQiIq_gQM%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUQ1cUtuTXd3RRAB,"Viva la sanidad pública y la seguridad social.
¡Abajo los buitres!",J M CÁMARA,https://www.google.com/maps/contrib/103615737570768901174?hl=en-US,103615737570768901174,https://lh3.googleusercontent.com/a-/ALV-UjUPHNUUjUiJfisuQd7laIeadsbme7kB1Pv2mvysQmIR2ds=s40-c-rp-mo-br100,,38.0,"Viva la sanidad pública y la seguridad social.
¡Abajo los buitres!","Long live public health and social security.
Down with the vultures!",254.0,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1cUlDT2JREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgID5qICObQ%7CCgwIncbFqQYQ4JKO1AE%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUQ1cUlDT2JREAE,"Muchísimas gracias por la profesionalidad,  la atención y el cariño que desde la llegada a recepción, la sala de preparación y terminando por el quirofano, MUCHAS GRACIAS A TOD@",fernando unos,https://www.google.com/maps/contrib/114964881686169408488?hl=en-US,114964881686169408488,https://lh3.googleusercontent.com/a/ACg8ocJXrvsUGSm6HnQQjK2XNN0xX9jVYS8et7bQLctMLTgA=s40-c-rp-mo-br100,,9.0,"Muchísimas gracias por la profesionalidad,  la atención y el cariño que desde la llegada a recepción, la sala de preparación y terminando por el quirofano, MUCHAS GRACIAS A TOD@","Thank you very much for the professionalism, attention and affection that from the arrival at reception, the preparation room and ending with the operating room, THANK YOU VERY MUCH TO EVERYONE",,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1NTV5Nm5RRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIC555y6nQE%7CCgwImP26qQYQsMHR0wI%7C?hl=en-US,5.0,4 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUM1NTV5Nm5RRRAB,Es el mejor hospital de Madrid a mí me están tratando de un cáncer y estoy encantada con todos el trato y los tratamientos de 10,valkiria estilistas marta,https://www.google.com/maps/contrib/101341784882425512878?hl=en-US,101341784882425512878,https://lh3.googleusercontent.com/a/ACg8ocK2pB8uKxK1AhpLIXvCmK2QfOyuF-hVSPz065pVirRD=s40-c-rp-mo-ba3-br100,True,27.0,Es el mejor hospital de Madrid a mí me están tratando de un cáncer y estoy encantada con todos el trato y los tratamientos de 10,It is the best hospital in Madrid. I am being treated for cancer and I am delighted with all the treatment and 10 treatments.,8.0,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSc3Jib0l3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICRsrboIw%7CCgsI7MC6qQYQiN74QQ%7C?hl=en-US,5.0,4 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNSc3Jib0l3EAE,"Están Los mejores especialistas con grandes equipos que realizan un buen trabajo y empatizan con los pacientes, pero deberían de meter más personal fijos, mejoras de maquinaria y más ayudas en Sanidad y en las Urgencias
más Personal para agilizar el trabajo y no estar tantas horas esperando, porqué es una Vergüenza.
Reforma General en la Zona antigua. Los ascensores deben de incluir el sistema de voz para saber por cuál planta vas y cuándo se abre y se cierra las puertas, los que tenemos problemas de visión que vamos a oftalmología no tenemos facilidades a la hora de coger el ascensor,  incluirlo también en la zona nueva y antigua, Gracias.",S,https://www.google.com/maps/contrib/116902498243112345885?hl=en-US,116902498243112345885,https://lh3.googleusercontent.com/a-/ALV-UjUAaN6QZw5OiW7fS325sxj4SLQY7cuJxFZfR-7RUt7IyIng=s40-c-rp-mo-br100,,17.0,"Están Los mejores especialistas con grandes equipos que realizan un buen trabajo y empatizan con los pacientes, pero deberían de meter más personal fijos, mejoras de maquinaria y más ayudas en Sanidad y en las Urgencias
más Personal para agilizar el trabajo y no estar tantas horas esperando, porqué es una Vergüenza.
Reforma General en la Zona antigua. Los ascensores deben de incluir el sistema de voz para saber por cuál planta vas y cuándo se abre y se cierra las puertas, los que tenemos problemas de visión que vamos a oftalmología no tenemos facilidades a la hora de coger el ascensor,  incluirlo también en la zona nueva y antigua, Gracias.","There are the best specialists with large teams who do a good job and empathize with patients, but they should add more permanent personnel, machinery improvements and more help in Health and Emergencies.
more Personnel to speed up the work and not wait so many hours, because it is a Shame.
General Reform in the old area. The elevators must include the voice system to know which floor you are going on and when the doors open and close. Those of us who have vision problems who go to ophthalmology do not have the facility when taking the elevator, also include it in the new and old area, Thank you.",8.0,3.0
