,link,rating,date,source,review_id,user.name,user.link,user.contributor_id,user.thumbnail,user.local_guide,user.reviews,user.photos,snippet,extracted_snippet.original,extracted_snippet.translated,likes,details.pd
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaNnFURTRRRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZ6qTE4QE%7CCgwIh5DXqAYQ0Nb0gwI%7C?hl=en-US,5.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaNnFURTRRRRAB,Shara Cm,https://www.google.com/maps/contrib/107754149889047121403?hl=en-US,107754149889047121403,https://lh3.googleusercontent.com/a-/ALV-UjXocvoqBycmxp2gXo9jv0cgtTioMNyvP6oxRwmcBPy9cnk=s40-c-rp-mo-ba3-br100,True,14,36.0,,,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaaXI3UkF3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZir7RAw%7CCgwI36rVqAYQ2PmQjAE%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaaXI3UkF3EAE,Maria Jose Espino Morales,https://www.google.com/maps/contrib/115850318230936789956?hl=en-US,115850318230936789956,https://lh3.googleusercontent.com/a/ACg8ocIdU7KedNPTUGO4n7y0hDWScZTb0TjXpLYuTKGRQ27A=s40-c-rp-mo-br100,,9,,Un desastre no cogen el teléfono para atención de citas ni para información,Un desastre no cogen el teléfono para atención de citas ni para información,"A disaster, they don't pick up the phone for appointments or information",,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaaXBUcjNnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZipTr3gE%7CCgwI6YjVqAYQ4Pju-QI%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaaXBUcjNnRRAB,Jose Javier Benitez Cueva,https://www.google.com/maps/contrib/114578369260973028846?hl=en-US,114578369260973028846,https://lh3.googleusercontent.com/a/ACg8ocKZEu84OuK0E0LUR9JmKvwcnHWly2z3hNhvF8YBMIgr6A=s40-c-rp-mo-br100,,2,,"Fui el otro día a urgencias ya que me detecté un bulto en la barriga, llego y lo primero que hace una medica es decirme que por que voy por esa tontería, que no es nada y que ya tengo cierta edad para acudir por tonterías.
Cabe recalcar que simplemente me tocó con la mano y era un bulto interno, podía ser perfectamente mil cosas, pero ya con su super mano sabía lo que yo tenía.
Igualmente me pasó a consulta para que me hicieran pruebas, estuve 2H esperando y me fui ya que nadie me atendía.

A lo que quiero llegar es lo subnormal de esa medica de decirme  que por que voy por una tontería de un bulto en la barriga, a ver señora amargada, por cosas mas pequeñas mueren muchas personas al año, y con lo que pago de impuestos siendo autónomo, deberías hasta de traerme de comida y bebida, no decirme que voy por esa tontería.

No te deseo nada malo a ti ni a tu familia, pero espero que no tengas que darte cuenta un día de que tienes un bulto y se rían de ti por acudir al medico.

Como dicen, mejor prevenir que curar.

PD: De la violada que me mete hacienda va el dinero para tu sueldo, así que trabaja BIEN.","Fui el otro día a urgencias ya que me detecté un bulto en la barriga, llego y lo primero que hace una medica es decirme que por que voy por esa tontería, que no es nada y que ya tengo cierta edad para acudir por tonterías.
Cabe recalcar que simplemente me tocó con la mano y era un bulto interno, podía ser perfectamente mil cosas, pero ya con su super mano sabía lo que yo tenía.
Igualmente me pasó a consulta para que me hicieran pruebas, estuve 2H esperando y me fui ya que nadie me atendía.

A lo que quiero llegar es lo subnormal de esa medica de decirme  que por que voy por una tontería de un bulto en la barriga, a ver señora amargada, por cosas mas pequeñas mueren muchas personas al año, y con lo que pago de impuestos siendo autónomo, deberías hasta de traerme de comida y bebida, no decirme que voy por esa tontería.

No te deseo nada malo a ti ni a tu familia, pero espero que no tengas que darte cuenta un día de que tienes un bulto y se rían de ti por acudir al medico.

Como dicen, mejor prevenir que curar.

PD: De la violada que me mete hacienda va el dinero para tu sueldo, así que trabaja BIEN.","I went to the emergency room the other day because I detected a lump in my belly, I arrive and the first thing a doctor does is tell me why I'm going for that nonsense, that it's nothing and that I'm already of a certain age to go for nonsense.
It should be noted that he simply touched me with his hand and it was an internal lump, it could perfectly have been a thousand things, but with his super hand he already knew what I had.
He also took me to the consultation to have tests done, I was waiting for 2 hours and I left since no one was attending to me.

What I want to get at is the abnormal thing about that doctor telling me that why am I going for something stupid about a lump in my belly, let's see, bitter lady, many people die every year because of smaller things, and with what I pay in taxes being autonomous, you should even bring me food and drink, not tell me that I'm going for that nonsense.

I don't wish anything bad on you or your family, but I hope that you don't have to realize one day that you have a lump and be laughed at for going to the doctor.

As they say, prevention is better than cure.

PS: The money that goes to my salary goes to my salary, so work WELL.",4.0,"De la violada que me mete hacienda va el dinero para tu sueldo, así que trabaja BIEN."
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaN002VU5BEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZ7M6UNA%7CCgsIi67KqAYQ-KmxOg%7C?hl=en-US,1.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaN002VU5BEAE,Noemí Romero Felipe,https://www.google.com/maps/contrib/107740667370746293915?hl=en-US,107740667370746293915,https://lh3.googleusercontent.com/a/ACg8ocIFkT9JaXI7-cbUWGaskAm2NwNtDx-Ku7HlBbUrGSeI=s40-c-rp-mo-ba3-br100,True,52,,Es una vergüenza llamar para que te cambien una cita 2 días y nada luego que si no avisamos cuando no nos presentamos una VERGÜENZA,Es una vergüenza llamar para que te cambien una cita 2 días y nada luego que si no avisamos cuando no nos presentamos una VERGÜENZA,"It is a shame to call to change an appointment for 2 days and nothing after that if we do not notify when we do not show up, it is a SHAME",,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaN05UWXpBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZ7NTYzAE%7CCgsI3pDKqAYQ8IGILA%7C?hl=en-US,4.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaN05UWXpBRRAB,LDominguez,https://www.google.com/maps/contrib/110912754824051027168?hl=en-US,110912754824051027168,https://lh3.googleusercontent.com/a-/ALV-UjXqbUu7jq1m7C-gsR1R_oUobMtJSNe8hH95SHaeBiNWkLs=s40-c-rp-mo-ba6-br100,True,528,960.0,Es un hospital de referencia del sur de Madrid con todos los servicios.,Es un hospital de referencia del sur de Madrid con todos los servicios.,It is a reference hospital in the south of Madrid with all services.,,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaakt1YXBBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZjKuapAE%7CCgsI68HHqAYQ8NudGw%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaakt1YXBBRRAB,C M,https://www.google.com/maps/contrib/114620877920002101316?hl=en-US,114620877920002101316,https://lh3.googleusercontent.com/a/ACg8ocLk-i5fBXlNO828dVafTMMqn5quLLCN13XAbE-jbsyM=s40-c-rp-mo-br100,,17,1.0,"Pésimo hospital, pésimo servicio, cometen errores tras errores, dejan abandonados a los pacientes, no les atienden, no ponen interés en nada. Pongo una estrella por que no deja no poner ninguna","Pésimo hospital, pésimo servicio, cometen errores tras errores, dejan abandonados a los pacientes, no les atienden, no ponen interés en nada. Pongo una estrella por que no deja no poner ninguna","Terrible hospital, terrible service, they make mistakes after mistakes, they leave patients abandoned, they don't care for them, they don't care about anything. I put a star because it doesn't allow me to put any",1.0,
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaMU4tLUJBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZ1N--BA%7CCgsIusfFqAYQ0I2LQg%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURaMU4tLUJBEAE,Maria Luisa Rivera Montellano,https://www.google.com/maps/contrib/106045809070059391306?hl=en-US,106045809070059391306,https://lh3.googleusercontent.com/a-/ALV-UjU7EYNe7ieAzvYuFS-P_kiHs_bj3Xyw1vyGOwYzvmFxvQo=s40-c-rp-mo-ba4-br100,True,37,112.0,,,,,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaeUkyQXlBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZyI2AyAE%7CCgwI7d66qAYQyNSXjQM%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaeUkyQXlBRRAB,Intensify,https://www.google.com/maps/contrib/101283883529026491685?hl=en-US,101283883529026491685,https://lh3.googleusercontent.com/a-/ALV-UjVrJZNPqgaHpfNEqs8ryQZL4WZchK6zoxAwAZB5B0NqzQ=s40-c-rp-mo-br100,,1,,"Sucio, me encontraba algodones con sangre de otras personas tirados en la habitacion de mi madre, gente que le sienta mal cambiar un pañal, ¿pero trabajan en traumatologia? Yo entiendo que el hospital y las condiciones sean pesimos, pero los profesionales que trabajan ahi, algun@s ya empiezan a enfocar sus frustraciones en los pacientes.Son enfermos, no van ahi a pasar el domingo.","Sucio, me encontraba algodones con sangre de otras personas tirados en la habitacion de mi madre, gente que le sienta mal cambiar un pañal, ¿pero trabajan en traumatologia? Yo entiendo que el hospital y las condiciones sean pesimos, pero los profesionales que trabajan ahi, algun@s ya empiezan a enfocar sus frustraciones en los pacientes.Son enfermos, no van ahi a pasar el domingo.","Dirty, I found cotton with other people's blood lying in my mother's room, people who feel bad about changing a diaper, but do they work in traumatology? I understand that the hospital and the conditions are terrible, but the professionals who work there, some of them are already beginning to focus their frustrations on the patients. They are sick, they don't go there to spend Sunday.",1.0,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURac0tqWEV3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZsKjXEw%7CCgwIg5a3qAYQ6KW9jwE%7C?hl=en-US,5.0,5 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURac0tqWEV3EAE,Francisco Javier Zapatero,https://www.google.com/maps/contrib/102655891470953813020?hl=en-US,102655891470953813020,https://lh3.googleusercontent.com/a/ACg8ocKlmGKLQnIxjaTfNIx0AtunFR_ujGoQB3si_sTbSqJh=s40-c-rp-mo-br100,,4,,,,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaMFBiZHpnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDZ0PbdzgE%7CCgwIq9-2qAYQ6IX0mQI%7C?hl=en-US,1.0,5 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURaMFBiZHpnRRAB,acros Jl,https://www.google.com/maps/contrib/107506243028661483007?hl=en-US,107506243028661483007,https://lh3.googleusercontent.com/a/ACg8ocIKDb6OcgQSJTBFzZXwG2MNr9ojKHS3aRb_WVKPGi9_=s40-c-rp-mo-br100,,7,,En la sala de urgencias únicamente llaman a las mujeres. Visto y comprobado.,En la sala de urgencias únicamente llaman a las mujeres. Visto y comprobado.,In the emergency room they only call women. Seen and verified.,,
