,link,rating,date,source,review_id,snippet,likes,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,extracted_snippet.original,extracted_snippet.translated,images,user.photos,user.local_guide,details.estoy_citada_para_la_tercera_dosis_y_he_llegado_a_las_2
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKMV9PZ2RnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDJ1_Ogdg%7CCgwIgNv7pQYQgJun6gE%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKMV9PZ2RnEAE,"Yo estoy en infantil, las enfermeras son majas, pero no he visto un hospital como este, no se si en las otras alas es igual, dicen que los niños menores no se pueden quedar solos sin acompañante, pero no se acuerdan de cuidar también de los padres, los padres que no viven serca se tienen que buscar la vida para poder comer algo, o tirar de las malditas maquinas expendedoras, estuve en el hospital de parla y por lo menos ellos si cudan de los padres que se quedan con el menor. Y para dormir en el cuarto con el menor tenemos una silla. Nunca he visto algo como este y después es el mejor, por eso doy esa estrella.",2.0,Ricardo Maduro,https://www.google.com/maps/contrib/104307784689301172418?hl=en-US,104307784689301172418,https://lh3.googleusercontent.com/a-/ALV-UjWAVeXAFfRa7GGzpJ9LjUm7Ruoqta6fIuNbC6XDFbj2lKo=s40-c-rp-mo-br100,3,"Yo estoy en infantil, las enfermeras son majas, pero no he visto un hospital como este, no se si en las otras alas es igual, dicen que los niños menores no se pueden quedar solos sin acompañante, pero no se acuerdan de cuidar también de los padres, los padres que no viven serca se tienen que buscar la vida para poder comer algo, o tirar de las malditas maquinas expendedoras, estuve en el hospital de parla y por lo menos ellos si cudan de los padres que se quedan con el menor. Y para dormir en el cuarto con el menor tenemos una silla. Nunca he visto algo como este y después es el mejor, por eso doy esa estrella.","I am in infant, the nurses are nice, but I have not seen a hospital like this, I don't know if it is the same in the other wings, they say that younger children cannot be left alone without a companion, but they do not remember to also take care of The parents, the parents who don't live nearby, have to make a living to be able to eat something, or use the damn vending machines. I was in the hospital in Parla and at least they do take care of the parents who stay with the minor. . And to sleep in the room with the youngest we have a chair. I have never seen anything like this and then it is the best, that's why I give that star.",,,,
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKMjdYdmRREAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDJ27XvdQ%7CCgwIoN30pQYQkLHHrgE%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKMjdYdmRREAE,"Urgencias maternidad! Horrible , tuve un ultimo control y la sala de emergencia estaba vacia y llegue a las 12h y aun son las 15:40 y no me han llamado. Paso a preguntar dos veces y lo que me dicen tienes que esperar. Enfermeras sentadas mirando el movil y conversando entre ellas. No vuelvo mas. No se merece ni una estrella.",2.0,Arlenis Alexandra Acosta Sepulveda,https://www.google.com/maps/contrib/113110342484462749869?hl=en-US,113110342484462749869,https://lh3.googleusercontent.com/a/ACg8ocKyjwK7vIW5hnIr7NRsKF1cpLEmbWJ7QAWlzMsFrzx9=s40-c-rp-mo-br100,1,"Urgencias maternidad! Horrible , tuve un ultimo control y la sala de emergencia estaba vacia y llegue a las 12h y aun son las 15:40 y no me han llamado. Paso a preguntar dos veces y lo que me dicen tienes que esperar. Enfermeras sentadas mirando el movil y conversando entre ellas. No vuelvo mas. No se merece ni una estrella.","Maternity emergencies! Horrible, I had a last check and the emergency room was empty and I arrived at 12 noon and it's still 3:40 p.m. and they haven't called me. I ask twice and what they tell me you have to wait. Nurses sitting looking at their cell phones and talking to each other. IM not coming back anymore. It doesn't deserve a single star.",,,,
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKbFpYRHBnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDJlZXDpgE%7CCgwIjNfopQYQ8JGx3AI%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKbFpYRHBnRRAB,"Si quieres ir a urgencias mejor vete a otro hospital. Tienen la poca decencia de hacerte esperar más de 13h ahí para hacer una simple ecografía. En atender a los pacientes recién llegados tardan desde 4 a 6 horas mínimo. Y la gente se marcha disgustada por ello. Para un informe que tenia que hacer corta y pega según el médico tardó más de 4h y es una tomadura de pelo. Entiendo que sea urgencias y a veces se abastezca, pero tendrían que poner más médicos porque 2 para la cantidad de pacientes no eran suficientes.",13.0,PATRICIA IORGA,https://www.google.com/maps/contrib/103563149171745307910?hl=en-US,103563149171745307910,https://lh3.googleusercontent.com/a-/ALV-UjVaN8VQLNBV6W0z8VgjGRhUpPov2UX3E3SQpW2gy7TIpA=s40-c-rp-mo-br100,4,"Si quieres ir a urgencias mejor vete a otro hospital. Tienen la poca decencia de hacerte esperar más de 13h ahí para hacer una simple ecografía. En atender a los pacientes recién llegados tardan desde 4 a 6 horas mínimo. Y la gente se marcha disgustada por ello. Para un informe que tenia que hacer corta y pega según el médico tardó más de 4h y es una tomadura de pelo. Entiendo que sea urgencias y a veces se abastezca, pero tendrían que poner más médicos porque 2 para la cantidad de pacientes no eran suficientes.","If you want to go to the emergency room, better go to another hospital. They have the lack of decency to make you wait more than 13 hours there to do a simple ultrasound. It takes from 4 to 6 hours minimum to treat newly arrived patients. And people leave upset about it. For a report that I had to do cut and paste according to the doctor, it took more than 4 hours and it is a joke. I understand that it is an emergency room and sometimes it is supplied, but they would have to put more doctors because 2 for the number of patients were not enough.",,,,
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKMGF2d2RBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDJ0avwdA%7CCgwI6qzcpQYQsOmkqQE%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKMGF2d2RBEAE,"Fuera de los buenos, los medicos y todo el mundo descuidan a sus pacientes aunque haya un timbre dentro de la habitacion no sirve de nada los medicos se enojan y aunque la enfermedad de un paciente sea grave se aprovechan de los desvergonzados medicos estudia si no tienes paciencia . Ustedes es inútil.Las cosas cuál quier sitio d igual si ya se ha caído siguen utilizando que asco! Que vergüenza.! sus cosas están desordenadas.y los médicos na mas de paseando encima son muchas pero no vale pa na!",12.0,Nhina R G Channel,https://www.google.com/maps/contrib/106177453897183028063?hl=en-US,106177453897183028063,https://lh3.googleusercontent.com/a-/ALV-UjVzRvkDjxgBXeY5_bOZNyUWVwq2UuSqHd3unBdnEkEecmg=s40-c-rp-mo-br100,3,"Fuera de los buenos, los medicos y todo el mundo descuidan a sus pacientes aunque haya un timbre dentro de la habitacion no sirve de nada los medicos se enojan y aunque la enfermedad de un paciente sea grave se aprovechan de los desvergonzados medicos estudia si no tienes paciencia . Ustedes es inútil.Las cosas cuál quier sitio d igual si ya se ha caído siguen utilizando que asco! Que vergüenza.! sus cosas están desordenadas.y los médicos na mas de paseando encima son muchas pero no vale pa na!","Outside of the good ones, the doctors and everyone else neglect their patients, even if there is a bell inside the room, it is of no use, the doctors get angry and even if a patient's illness is serious, they take advantage of the shameless doctors, study if you don't have patience . You guys are useless. Things no matter where they are are still being used, disgusting! What a shame.! Their things are in disarray. And the doctors are just walking around, there are a lot of them but it's not worth anything!","['https://lh5.googleusercontent.com/p/AF1QipPtIqjtPsRbrThxKDzdn7seOf0xuoAj-_9VtBVx=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMJ8b9U3k179zleg0jxI78B4GshXizBy-1099M3=w100-h100-p-n-k-no']",2.0,,
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKbnE2RFp3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDJnq6DZw%7CCgsIgsTVpQYQqMChSQ%7C?hl=en-US,4.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSURKbnE2RFp3EAE,,,julio santoja moreno,https://www.google.com/maps/contrib/110180878597793291980?hl=en-US,110180878597793291980,https://lh3.googleusercontent.com/a-/ALV-UjWJrBwC-yoobHTIj6TUQb77puVV0BEMRms41nv8f3GOaP0=s40-c-rp-mo-ba3-br100,49,,,,24.0,True,
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURteWFpYThnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDmyaia8gE%7CCgsIrLm-pQYQwKnFFQ%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURteWFpYThnRRAB,"Edit: reseña de hace meses que Google no publicó, no se por que.

Estoy citada para la tercera dosis y he llegado a las 2:20, resulta que el hospital de 2:20 a 3:00 no atiende para las vacunas pese a que el horario es de todo el día. Me parece bien que los médicos y auxiliares vayan a comer. Pero han de irse todos a la vez? No estamos hablando de unas oficinas, sino de una cosa relacionada con la salud.",,Sherry Birkin,https://www.google.com/maps/contrib/115287311138724563261?hl=en-US,115287311138724563261,https://lh3.googleusercontent.com/a-/ALV-UjVgGjE3w4q2OZkbPEXosGLcwdyOfps0vuVO9Qhdj54F0lc=s40-c-rp-mo-br100,5,"Edit: reseña de hace meses que Google no publicó, no se por que.

Estoy citada para la tercera dosis y he llegado a las 2:20, resulta que el hospital de 2:20 a 3:00 no atiende para las vacunas pese a que el horario es de todo el día. Me parece bien que los médicos y auxiliares vayan a comer. Pero han de irse todos a la vez? No estamos hablando de unas oficinas, sino de una cosa relacionada con la salud.","Edit: review from months ago that Google didn't publish, I don't know why.

I am scheduled for the third dose and I arrived at 2:20, it turns out that the hospital is not open for vaccines from 2:20 to 3:00 even though the schedule is all day. I think it's good that the doctors and assistants go to eat. But do they all have to leave at the same time? We are not talking about offices, but about something related to health.",,,,"20, resulta que el hospital de 220 a 300 no atiende para las vacunas pese a que el horario es de todo el día. Me parece bien que los médicos y auxiliares vayan a comer. Pero han de irse todos a la vez? No estamos hablando de unas oficinas, sino de una cosa relacionada con la salud."
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURKMktLU3VnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDJ2KKSugE%7CCgwI_vGvpQYQ8L6YjwE%7C?hl=en-US,5.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSURKMktLU3VnRRAB,,,Gabriel Manquillo,https://www.google.com/maps/contrib/100308903178243622224?hl=en-US,100308903178243622224,https://lh3.googleusercontent.com/a-/ALV-UjXwj3oaNDHPNajOgQX7zCXSwcOXlqW1WQySh2h1HjckyeU=s40-c-rp-mo-ba7-br100,213,,,,7824.0,True,
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKdDZXMDlnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICJt6W09gE%7CCgsI296dpQYQyO3NHQ%7C?hl=en-US,1.0,7 months ago,Google,ChdDSUhNMG9nS0VJQ0FnSUNKdDZXMDlnRRAB,Es una porquería el servicio que dan en este hospital.,,Carlos Prida Fernández,https://www.google.com/maps/contrib/110629565417483417328?hl=en-US,110629565417483417328,https://lh3.googleusercontent.com/a/ACg8ocJQxcGqLCqfX0ZVoPWRCkJBZoDZG9No1NK9LjvkFeKn=s40-c-rp-mo-br100,7,Es una porquería el servicio que dan en este hospital.,The service they provide in this hospital is rubbish.,,5.0,,
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKdTZPRFRBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICJu6ODTA%7CCgwI5piXpQYQwJOQrgM%7C?hl=en-US,1.0,7 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKdTZPRFRBEAE,"Me parece increible que para que me pauten un antibiotico por una infeccion se tarde mas de 8h, una doctora me dice que ya lo tengo pautado, se cambia el turno y coge el doctor y me dice que no lo tiene pautado y que espere pasan 2h mas .....10h para un antibiotico? Me parece vergonzoso.",2.0,Adel Ezzat,https://www.google.com/maps/contrib/111003750981326820937?hl=en-US,111003750981326820937,https://lh3.googleusercontent.com/a/ACg8ocKnhRAnDoT9XkjLxor2WBGqvq-RfT2o8VPN4aKGCJpJ=s40-c-rp-mo-br100,4,"Me parece increible que para que me pauten un antibiotico por una infeccion se tarde mas de 8h, una doctora me dice que ya lo tengo pautado, se cambia el turno y coge el doctor y me dice que no lo tiene pautado y que espere pasan 2h mas .....10h para un antibiotico? Me parece vergonzoso.","I find it incredible that for me to be prescribed an antibiotic for an infection it takes more than 8 hours, a doctor tells me that I have already scheduled it, the shift changes and the doctor takes it and tells me that he has not scheduled it and that it takes 2 hours to wait. more.....10h for an antibiotic? I find it embarrassing.",,,,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKMDVLcExnEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICJ05KpLg%7CCgwI9I6QpQYQuO28lAI%7C?hl=en-US,1.0,8 months ago,Google,ChZDSUhNMG9nS0VJQ0FnSUNKMDVLcExnEAE,No lo sé. Solo ido de visita,,Juan Perez,https://www.google.com/maps/contrib/110937217827803277883?hl=en-US,110937217827803277883,https://lh3.googleusercontent.com/a-/ALV-UjXCJ10UVva18kVEqihLzo4hvjYqo2Xdj2-Td2vyeV1I9Ew=s40-c-rp-mo-ba4-br100,74,No lo sé. Solo ido de visita,Don't know. Just gone to visit,,,True,
