,link,rating,date,source,review_id,snippet,user.name,user.link,user.contributor_id,user.thumbnail,user.reviews,user.photos,extracted_snippet.original,extracted_snippet.translated,user.local_guide
0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR0d01HSW9nRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDtwMGIogE%7CCgsI97PwrQYQsOfeCw%7C?hl=en-US,4.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUR0d01HSW9nRRAB,"Después de venir de otro hospital público llamado Carlos III, donde la atención a mi padre fue nefasta desde que entró por la puerta hasta que consiguieron echarle, me gustaría destacar la profesionalidad y coordinación de los diferentes departamentos del Hospital 12 de Octubre.

Mi padre, en estado grave y con múltiples patologías, ingresó por tres veces en cuestión de dos meses, pasando de urgencias a planta y permaneciendo varias semanas en cada ingreso.
Siempre dimos con alguien empático y profesional que nos supo tranquilizar e informar de buenas maneras, lo cual agradecimos infinito dadas las circunstancias que llevábamos.

Dar las gracias en general, por la atención recibida, pero destacar y agradecer especialmente al Doctor Francisco José Soria Perdomo (Geriatría), por su cariño e interés mostrado, así como a la Doctora Laura Corbella Vázquez (Medicina Interna), por su total empatía, comprensión y buen hacer en todo lo que estuvo en su mano para ayudarnos.

Es en los momentos difíciles que se pasan en los hospitales cuando se siente y valora la profesionalidad de sus trabajadores. Desde personal de limpieza hasta el neurocirujano con más galones, las titulitis dan igual, lo que se necesita es un trato humano y una buena dosis de empatía.",Almudena Gutiérrez Díaz,https://www.google.com/maps/contrib/110839875200828881553?hl=en-US,110839875200828881553,https://lh3.googleusercontent.com/a/ACg8ocKJctHaaEb1J46m-4AEbof6Tx9UrTh5_YaGRQlDKjT1=s40-c-rp-mo-br100,3,2.0,"Después de venir de otro hospital público llamado Carlos III, donde la atención a mi padre fue nefasta desde que entró por la puerta hasta que consiguieron echarle, me gustaría destacar la profesionalidad y coordinación de los diferentes departamentos del Hospital 12 de Octubre.

Mi padre, en estado grave y con múltiples patologías, ingresó por tres veces en cuestión de dos meses, pasando de urgencias a planta y permaneciendo varias semanas en cada ingreso.
Siempre dimos con alguien empático y profesional que nos supo tranquilizar e informar de buenas maneras, lo cual agradecimos infinito dadas las circunstancias que llevábamos.

Dar las gracias en general, por la atención recibida, pero destacar y agradecer especialmente al Doctor Francisco José Soria Perdomo (Geriatría), por su cariño e interés mostrado, así como a la Doctora Laura Corbella Vázquez (Medicina Interna), por su total empatía, comprensión y buen hacer en todo lo que estuvo en su mano para ayudarnos.

Es en los momentos difíciles que se pasan en los hospitales cuando se siente y valora la profesionalidad de sus trabajadores. Desde personal de limpieza hasta el neurocirujano con más galones, las titulitis dan igual, lo que se necesita es un trato humano y una buena dosis de empatía.","After coming from another public hospital called Carlos III, where the care given to my father was disastrous from the moment he entered the door until they managed to kick him out, I would like to highlight the professionalism and coordination of the different departments of the 12 de Octubre Hospital.

My father, in serious condition and with multiple pathologies, was admitted three times in a matter of two months, going from the emergency room to the ward and staying several weeks at each admission.
We always found someone empathetic and professional who knew how to reassure us and inform us in a good manner, which we were infinitely grateful given the circumstances we were in.

Thank you in general for the attention received, but especially highlight and thank Doctor Francisco José Soria Perdomo (Geriatrics), for his affection and interest shown, as well as Doctor Laura Corbella Vázquez (Internal Medicine), for her total empathy. , understanding and good work in everything he could to help us.

It is in the difficult moments spent in hospitals when the professionalism of their workers is felt and valued. From cleaning staff to the neurosurgeon with the most stripes, titulitis does not matter, what is needed is humane treatment and a good dose of empathy.",
1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN0bmZPWVBBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICtnfOYPA%7CCgwIqY3prQYQyPeV8QE%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN0bmZPWVBBEAE,"No sé puede generalizar porque habrá profesionales de todo tipo y valor humano en el hospital,pero el servicio de atención al paciente , especialmente una señora de pelo corto gritándo y tratando mal a los pacientes presentes es vergonzoso como mínimo",Ángel Fresneda Lozano,https://www.google.com/maps/contrib/104934977571566201218?hl=en-US,104934977571566201218,https://lh3.googleusercontent.com/a/ACg8ocIufXkOvTYBgQz4pycSxhQT0orhCxz76eeqcIQG0_na=s40-c-rp-mo-br100,3,,"No sé puede generalizar porque habrá profesionales de todo tipo y valor humano en el hospital,pero el servicio de atención al paciente , especialmente una señora de pelo corto gritándo y tratando mal a los pacientes presentes es vergonzoso como mínimo","I don't know how to generalize because there will be professionals of all types and human values ​​in the hospital, but the patient care service, especially a lady with short hair yelling and treating the patients present badly, is embarrassing to say the least.",
2,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN0cHRtbzZBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICtptmo6AE%7CCgwIqKDirQYQyIinpAE%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUN0cHRtbzZBRRAB,,José María Moreno campos,https://www.google.com/maps/contrib/107833276228214550146?hl=en-US,107833276228214550146,https://lh3.googleusercontent.com/a-/ALV-UjX3tmV-prYF_9ukw9NuvduDP8Hk4GPL2W_oVt3mnglSkw=s40-c-rp-mo-ba4-br100,33,32.0,,,True
3,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN0NnRMaVlBEAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICt6tLiYA%7CCgwIga3hrQYQiOan4wI%7C?hl=en-US,1.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN0NnRMaVlBEAE,"TRATO   MALISIMO URGENCIAS llegas   a alta hora de la  madrugada  por  urgencias porque  uno  se encuentra    fatal al llegar te reciben  con  mal  humor  ,,la    doctora  de urgencias en lugar    de tranquilizarte  sales   TOTAL  desanimada   sin  indicaciones   un trato malisimo sin  solucionar  tus dolores   a esperar  que haga efecto los antibióticos después   de tres días   sigo igual   sin mejoría  me acerco  al centro de salud  y no hay  medico  con lo cual   nuevamente   a urgencias     de día  igual  el trato Fatal  ,no  suelo usar    urgencias ni el centro de salud   pero    si alguna vez lo   necesita    se va , LA SANIDAD  DE HACE   20 AÑOS  ATRAS YA NO   ES LO MISMO  ,TODA UNA VIDA  PAGANDO   NUESTROS  SEGUROS PARA QUE  !!!!! ES UNA  PENA .",FABRIZIO APLIQUE,https://www.google.com/maps/contrib/102297504725228629572?hl=en-US,102297504725228629572,https://lh3.googleusercontent.com/a/ACg8ocLGJG7GQd1bSb1SULDHynD5DN2Y8cQYynqymozmAjnmXNo=s40-c-rp-mo-br100,2,,"TRATO   MALISIMO URGENCIAS llegas   a alta hora de la  madrugada  por  urgencias porque  uno  se encuentra    fatal al llegar te reciben  con  mal  humor  ,,la    doctora  de urgencias en lugar    de tranquilizarte  sales   TOTAL  desanimada   sin  indicaciones   un trato malisimo sin  solucionar  tus dolores   a esperar  que haga efecto los antibióticos después   de tres días   sigo igual   sin mejoría  me acerco  al centro de salud  y no hay  medico  con lo cual   nuevamente   a urgencias     de día  igual  el trato Fatal  ,no  suelo usar    urgencias ni el centro de salud   pero    si alguna vez lo   necesita    se va , LA SANIDAD  DE HACE   20 AÑOS  ATRAS YA NO   ES LO MISMO  ,TODA UNA VIDA  PAGANDO   NUESTROS  SEGUROS PARA QUE  !!!!! ES UNA  PENA .","VERY BAD TREATMENT EMERGENCIES You arrive at the wee hours of the morning for the emergency room because you feel terrible upon arrival, they receive you in a bad mood, the emergency doctor instead of reassuring you you leave TOTALLY discouraged without indications, very bad treatment without solving your pain, waiting for her to do effect of the antibiotics after three days I'm still the same without improvement I go to the health center and there is no doctor so again I go to the emergency room the same day the treatment is Fatal, I don't usually use the emergency room or the health center but if you ever need it I Wow, THE HEALTH OF 20 YEARS AGO IS NO LONGER THE SAME, A LIFETIME PAYING FOR OUR INSURANCE FOR THAT!!!!! IT IS A PITY .",
4,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN0OU1yMVl3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgICt9Mr1Yw%7CCgwIpqjerQYQ8IDxkQI%7C?hl=en-US,4.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUN0OU1yMVl3EAE,"Lo que es el servicio de enfermería y sanitarios genial ,muy amables y eficientes ,eso sí el servicio administrativo ya se pueden poner las pilas ,he preguntado hasta en tres ventanillas donde era mi cita y hasta que la última se le a ocurrido meter la tarjeta en la máquina,eso sí ya me conozco el hospital de las vueltas que he dado",Carlos José De Las Heras,https://www.google.com/maps/contrib/110449172452760923248?hl=en-US,110449172452760923248,https://lh3.googleusercontent.com/a/ACg8ocLqaVB7bMzVLFOqeaViaSfB6O9oLRjDuFHJSDj-VX8Q=s40-c-rp-mo-br100,17,,"Lo que es el servicio de enfermería y sanitarios genial ,muy amables y eficientes ,eso sí el servicio administrativo ya se pueden poner las pilas ,he preguntado hasta en tres ventanillas donde era mi cita y hasta que la última se le a ocurrido meter la tarjeta en la máquina,eso sí ya me conozco el hospital de las vueltas que he dado","The nursing and health service is great, very friendly and efficient, but the administrative service can now get its act together. I have asked up to three windows where my appointment was and until the last one thought to insert the card on the machine, yes, I already know the hospital from the laps I have taken",
5,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURObjRUWnBBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDNn4TZpAE%7CCgwIkIbUrQYQ6ImqzQI%7C?hl=en-US,1.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSURObjRUWnBBRRAB,"Lo peor que puede haber,despues de 4 horas en urgencias sin que te atiendan,te dicen que es lo que hay. No te dan ninguna explicacion",Jose Ramon Sanchez Rojo,https://www.google.com/maps/contrib/114238255487508957239?hl=en-US,114238255487508957239,https://lh3.googleusercontent.com/a-/ALV-UjX2xHhGtdrHwxACcjx4OgCs4RL04Ug1KN1-TP4MSHNiew=s40-c-rp-mo-ba3-br100,8,,"Lo peor que puede haber,despues de 4 horas en urgencias sin que te atiendan,te dicen que es lo que hay. No te dan ninguna explicacion","The worst thing that can happen, after 4 hours in the emergency room without being attended to, they tell you what it is. They don't give you any explanation",True
6,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROMi1PWDdBRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDN2-OX7AE%7CCgwI8JzOrQYQuNiJzgM%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUROMi1PWDdBRRAB,,Pietro Prozzillo,https://www.google.com/maps/contrib/103711194221966390774?hl=en-US,103711194221966390774,https://lh3.googleusercontent.com/a-/ALV-UjVnrgHTYuuoJcCdGApBZZaSz32t-8pYZrVa2HE257wp8g=s40-c-rp-mo-ba4-br100,71,386.0,,,True
7,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROOF9QOVp3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDN8_P9Zw%7CCgwI3uXLrQYQkN601gI%7C?hl=en-US,3.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUROOF9QOVp3EAE,"Y pongo 3 estrellas porque la atención de todo el equipo de Urgencias Materna fue maravilloso tanto con mi esposa como conmigo.
Al llegar a las habitaciones ya es otra cosa.
Después de más de dos dias de ingreso,sin poder casi dormir y sin poder ducharnos,al llegar a las habitaciones solo podría usar la ducha mi esposa por ser la paciente,yo que llevo el mismo tiempo que ella no tenia derecho a uso de dicha ducha.
Encima la pediatra borde y desagradable.
Y por no hablar de un sofá que tienen más duro que el mármol para que tu puedas descansar.
Una maravilla vamos.",Victor Moreno,https://www.google.com/maps/contrib/109116209966760218876?hl=en-US,109116209966760218876,https://lh3.googleusercontent.com/a-/ALV-UjVT2SRMzNzFDF4ndg6LM7MC_yGMUHo1RvwsQuyeHdYjK-w=s40-c-rp-mo-br100,11,,"Y pongo 3 estrellas porque la atención de todo el equipo de Urgencias Materna fue maravilloso tanto con mi esposa como conmigo.
Al llegar a las habitaciones ya es otra cosa.
Después de más de dos dias de ingreso,sin poder casi dormir y sin poder ducharnos,al llegar a las habitaciones solo podría usar la ducha mi esposa por ser la paciente,yo que llevo el mismo tiempo que ella no tenia derecho a uso de dicha ducha.
Encima la pediatra borde y desagradable.
Y por no hablar de un sofá que tienen más duro que el mármol para que tu puedas descansar.
Una maravilla vamos.","And I give 3 stars because the attention of the entire Maternal Emergency team was wonderful to both my wife and me.
When you get to the rooms it is something else.
After more than two days of admission, without almost being able to sleep and without being able to shower, upon arriving at the rooms only my wife could use the shower because she was the patient, I, who had been there for the same amount of time as her, did not have the right to use said shower. shower.
On top of that the pediatrician is borderline and unpleasant.
And not to mention a sofa that is harder than marble so you can rest.
Let's go wonderfully.",
8,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROby1yYnBnRRAB!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDNo-rbpgE%7CCgwIjNLJrQYQ4Jjo3AI%7C?hl=en-US,5.0,a month ago,Google,ChdDSUhNMG9nS0VJQ0FnSUROby1yYnBnRRAB,quiero felicitar al equipo de DUEs y técnicos en imagen y diagnóstico por su profesionalidad y amabilidad en el trato recibido hoy con mi hijo al que tenía que someterse a una prueba de RMN. Es muy gratificante saber que estamos en manos de unos grandes profesionales de la Sanidad Madrileña.,Oscar Aliste,https://www.google.com/maps/contrib/113842667779022869453?hl=en-US,113842667779022869453,https://lh3.googleusercontent.com/a-/ALV-UjU2vyzjGCQEYnFRgNP0_M2mXJdluo8ExpvbjnIaLRmtC58=s40-c-rp-mo-br100,4,,quiero felicitar al equipo de DUEs y técnicos en imagen y diagnóstico por su profesionalidad y amabilidad en el trato recibido hoy con mi hijo al que tenía que someterse a una prueba de RMN. Es muy gratificante saber que estamos en manos de unos grandes profesionales de la Sanidad Madrileña.,I want to congratulate the team of DUEs and imaging and diagnostic technicians for their professionalism and kindness in the treatment received today with my son who had to undergo an MRI test. It is very gratifying to know that we are in the hands of some great Madrid Health professionals.,
9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUROdzR6X0Z3EAE!2m1!1s0x0:0x3fc04c6571b3029!3m1!1s2@1:CIHM0ogKEICAgIDNw4z_Fw%7CCgsI953JrQYQ4LORfA%7C?hl=en-US,5.0,a month ago,Google,ChZDSUhNMG9nS0VJQ0FnSUROdzR6X0Z3EAE,"Doy mi enhorabuena a todo el equipo médico, enferm@s, auxiliares, celadores, personal de limpieza por su labor...y a los alumnos de enfermería y auxiliar de enfermería. Cómo siempre, en todos los cocidos hay un garbanzo negro pero no se estropea la comida. Debemos valorar más en positivo, ya que tenemos la gran suerte de tener sanidad pública, con unos profesionales como la copa de un pino. Nuestras vidas están en sus manos en muchas ocasiones. Ellos también están desbordados y con unos sueldos ridículos estando por debajo de muchos países, desmotivados pero cumplen a fuego con nosotros. Por último, GRACIAS por salvar la vida de mi padre, por el trato recibido tanto a él cómo a la familia y por la paciencia en los momentos más críticos y duros. Gracias.",MARIA ISABEL BALMONT LOPEZ,https://www.google.com/maps/contrib/116275877554783414445?hl=en-US,116275877554783414445,https://lh3.googleusercontent.com/a/ACg8ocIhyuwY3QMHB4qYZDCwq_q4Aevx1hMeHNgxQco-01eY=s40-c-rp-mo-br100,1,,"Doy mi enhorabuena a todo el equipo médico, enferm@s, auxiliares, celadores, personal de limpieza por su labor...y a los alumnos de enfermería y auxiliar de enfermería. Cómo siempre, en todos los cocidos hay un garbanzo negro pero no se estropea la comida. Debemos valorar más en positivo, ya que tenemos la gran suerte de tener sanidad pública, con unos profesionales como la copa de un pino. Nuestras vidas están en sus manos en muchas ocasiones. Ellos también están desbordados y con unos sueldos ridículos estando por debajo de muchos países, desmotivados pero cumplen a fuego con nosotros. Por último, GRACIAS por salvar la vida de mi padre, por el trato recibido tanto a él cómo a la familia y por la paciencia en los momentos más críticos y duros. Gracias.","I congratulate the entire medical team, nurses, assistants, guards, cleaning staff for their work...and to the nursing students and nursing assistants. As always, in all the stews there is a black chickpea but it does not spoil the food. We must value more positively, since we are very lucky to have public health, with professionals like the top of a pine tree. Our lives are in their hands on many occasions. They are also overwhelmed and with ridiculous salaries, being below many countries, unmotivated but they comply with us like hell. Finally, THANK YOU for saving my father's life, for the treatment received by both him and the family and for your patience in the most critical and difficult moments. Thank you.",
